,n,k,n_changes_eadam,n_matches,n_iterations
0,292,3,0,250,9
1,292,3,0,248,7
2,292,3,0,244,12
3,292,3,0,252,10
4,292,3,0,250,9
5,292,3,0,247,8
6,292,3,0,241,9
7,292,3,8,249,8
8,292,3,0,243,7
9,292,3,0,245,10
10,292,3,0,252,7
11,292,3,0,238,9
12,292,3,0,249,8
13,292,3,0,246,11
14,292,3,0,251,9
15,292,3,0,241,6
16,292,3,6,234,13
17,292,3,0,237,9
18,292,3,6,248,11
19,292,3,0,247,7
20,292,3,4,239,10
21,292,3,0,254,7
22,292,3,0,251,8
23,292,3,6,245,7
24,292,3,6,246,6
25,292,3,0,246,8
26,292,3,0,251,7
27,292,3,0,254,7
28,292,3,4,247,8
29,292,3,0,255,11
30,292,3,0,252,15
31,292,3,0,246,8
32,292,3,0,246,14
33,292,3,0,236,12
34,292,3,0,240,10
35,292,3,0,247,9
36,292,3,6,248,10
37,292,3,4,248,9
38,292,3,0,242,9
39,292,3,0,241,9
40,292,3,0,246,13
41,292,3,6,243,8
42,292,3,0,248,12
43,292,3,0,245,8
44,292,3,0,245,11
45,292,3,0,245,16
46,292,3,0,244,9
47,292,3,0,249,10
48,292,3,0,244,6
49,292,3,4,249,15
50,292,3,10,243,8
51,292,3,6,242,12
52,292,3,0,245,10
53,292,3,8,251,8
54,292,3,0,244,8
55,292,3,0,243,9
56,292,3,4,248,9
57,292,3,0,246,6
58,292,3,0,245,9
59,292,3,0,242,6
60,292,3,0,248,11
61,292,3,0,238,9
62,292,3,8,247,8
63,292,3,4,251,10
64,292,3,0,245,8
65,292,3,4,247,7
66,292,3,0,243,8
67,292,3,0,243,13
68,292,3,0,244,7
69,292,3,0,246,10
70,292,3,0,246,8
71,292,3,0,245,11
72,292,3,0,245,10
73,292,3,0,241,7
74,292,3,0,244,6
75,292,3,0,246,14
76,292,3,6,245,8
77,292,3,10,245,6
78,292,3,0,247,9
79,292,3,8,248,10
80,292,3,0,243,8
81,292,3,0,246,6
82,292,3,0,246,9
83,292,3,4,244,11
84,292,3,8,243,12
85,292,3,0,246,10
86,292,3,0,237,9
87,292,3,0,246,10
88,292,3,0,242,8
89,292,3,0,251,8
90,292,3,0,244,10
91,292,3,0,248,7
92,292,3,0,243,12
93,292,3,0,246,11
94,292,3,0,249,8
95,292,3,0,239,7
96,292,3,4,246,10
97,292,3,0,244,8
98,292,3,0,253,11
99,292,3,0,238,10
