,n,k,n_changes_eadam,n_matches,n_iterations
0,292,6,42,267,23
1,292,6,22,273,24
2,292,6,64,271,21
3,292,6,24,272,16
4,292,6,74,271,21
5,292,6,30,268,24
6,292,6,28,268,21
7,292,6,14,268,17
8,292,6,52,276,19
9,292,6,24,272,28
10,292,6,16,272,23
11,292,6,92,272,16
12,292,6,46,273,13
13,292,6,0,269,26
14,292,6,52,277,32
15,292,6,70,272,26
16,292,6,38,272,21
17,292,6,46,269,23
18,292,6,36,273,27
19,292,6,20,265,27
20,292,6,58,269,18
21,292,6,44,270,18
22,292,6,66,269,27
23,292,6,70,266,15
24,292,6,40,274,26
25,292,6,30,270,24
26,292,6,50,275,20
27,292,6,28,270,20
28,292,6,76,274,18
29,292,6,32,272,24
30,292,6,36,260,20
31,292,6,28,272,19
32,292,6,10,274,14
33,292,6,20,264,19
34,292,6,10,274,24
35,292,6,36,266,17
36,292,6,80,269,25
37,292,6,32,270,29
38,292,6,26,273,19
39,292,6,14,273,21
40,292,6,50,272,17
41,292,6,6,276,15
42,292,6,38,274,17
43,292,6,26,272,16
44,292,6,30,274,21
45,292,6,74,267,22
46,292,6,42,269,17
47,292,6,66,273,21
48,292,6,62,269,22
49,292,6,58,269,22
50,292,6,36,267,15
51,292,6,0,274,23
52,292,6,70,266,17
53,292,6,24,275,21
54,292,6,70,274,21
55,292,6,58,269,17
56,292,6,44,271,20
57,292,6,32,274,23
58,292,6,56,273,27
59,292,6,26,269,22
60,292,6,72,270,19
61,292,6,70,268,23
62,292,6,30,269,18
63,292,6,30,269,16
64,292,6,80,274,15
65,292,6,0,270,24
66,292,6,10,272,19
67,292,6,64,273,11
68,292,6,40,271,20
69,292,6,48,273,16
70,292,6,78,265,12
71,292,6,42,266,25
72,292,6,20,270,26
73,292,6,12,273,22
74,292,6,56,271,23
75,292,6,34,272,24
76,292,6,74,269,17
77,292,6,44,273,20
78,292,6,22,267,17
79,292,6,38,273,17
80,292,6,64,273,21
81,292,6,80,271,22
82,292,6,50,275,11
83,292,6,78,271,17
84,292,6,24,273,20
85,292,6,44,266,11
86,292,6,34,273,23
87,292,6,46,273,15
88,292,6,16,268,22
89,292,6,52,274,22
90,292,6,22,274,22
91,292,6,16,268,19
92,292,6,12,273,17
93,292,6,76,272,17
94,292,6,64,275,16
95,292,6,20,269,18
96,292,6,30,270,31
97,292,6,84,272,20
98,292,6,28,274,23
99,292,6,42,271,30
