,n,k,n_changes_eadam,n_matches,n_iterations
0,3325,4,0,2935,28
1,3325,4,0,2933,25
2,3325,4,0,2933,32
3,3325,4,48,2934,22
4,3325,4,12,2920,23
5,3325,4,8,2930,28
6,3325,4,24,2937,43
7,3325,4,4,2957,29
8,3325,4,4,2903,60
9,3325,4,10,2934,39
10,3325,4,0,2945,26
11,3325,4,0,2932,26
12,3325,4,30,2923,23
13,3325,4,6,2931,37
14,3325,4,44,2962,19
15,3325,4,0,2949,25
16,3325,4,0,2943,31
17,3325,4,34,2947,21
18,3325,4,8,2933,20
19,3325,4,30,2937,22
20,3325,4,4,2922,23
21,3325,4,18,2920,21
22,3325,4,16,2932,24
23,3325,4,14,2930,23
24,3325,4,16,2956,25
25,3325,4,22,2934,26
26,3325,4,0,2925,28
27,3325,4,6,2926,18
28,3325,4,74,2935,27
29,3325,4,4,2927,22
30,3325,4,0,2920,35
31,3325,4,8,2928,30
32,3325,4,0,2908,30
33,3325,4,0,2959,30
34,3325,4,0,2945,21
35,3325,4,22,2933,17
36,3325,4,0,2950,23
37,3325,4,10,2921,23
38,3325,4,0,2912,32
39,3325,4,22,2934,36
40,3325,4,0,2942,29
41,3325,4,40,2937,33
42,3325,4,0,2955,21
43,3325,4,32,2937,20
44,3325,4,14,2917,23
45,3325,4,8,2931,42
46,3325,4,14,2938,29
47,3325,4,0,2914,21
48,3325,4,12,2930,29
49,3325,4,6,2931,24
50,3325,4,6,2946,28
51,3325,4,0,2923,33
52,3325,4,4,2940,50
53,3325,4,0,2953,19
54,3325,4,26,2948,20
55,3325,4,10,2934,21
56,3325,4,22,2913,19
57,3325,4,0,2918,23
58,3325,4,0,2932,17
59,3325,4,10,2926,21
60,3325,4,4,2925,25
61,3325,4,4,2917,22
62,3325,4,10,2944,38
63,3325,4,8,2935,17
64,3325,4,14,2904,19
65,3325,4,10,2935,24
66,3325,4,54,2926,21
67,3325,4,0,2922,21
68,3325,4,16,2932,22
69,3325,4,0,2934,25
70,3325,4,4,2931,43
71,3325,4,0,2934,32
72,3325,4,4,2935,39
73,3325,4,4,2933,22
74,3325,4,0,2944,16
75,3325,4,0,2913,29
76,3325,4,6,2943,40
77,3325,4,6,2937,32
78,3325,4,4,2927,24
79,3325,4,18,2933,26
80,3325,4,24,2941,39
81,3325,4,0,2911,25
82,3325,4,12,2953,28
83,3325,4,20,2947,31
84,3325,4,0,2921,23
85,3325,4,0,2933,24
86,3325,4,14,2919,22
87,3325,4,10,2931,29
88,3325,4,6,2910,26
89,3325,4,0,2937,20
90,3325,4,0,2918,23
91,3325,4,26,2931,22
92,3325,4,0,2936,21
93,3325,4,0,2943,30
94,3325,4,0,2935,23
95,3325,4,4,2944,22
96,3325,4,8,2936,28
97,3325,4,6,2932,21
98,3325,4,10,2925,29
99,3325,4,6,2935,24
