,n,k,n_in_cycles
0,1,5,23
1,0,5,0
2,2,5,30
3,2,5,10
4,0,5,0
5,0,5,0
6,1,5,16
7,1,5,35
8,2,5,10
9,0,5,0
10,1,5,20
11,2,5,16
12,0,5,0
13,1,5,3
14,1,5,14
15,2,5,6
16,1,5,4
17,3,5,18
18,3,5,11
19,0,5,0
20,2,5,7
21,1,5,10
22,1,5,30
23,0,5,0
24,1,5,6
25,2,5,8
26,1,5,11
27,1,5,17
28,2,5,6
29,1,5,2
30,1,5,16
31,3,5,24
32,1,5,10
33,2,5,10
34,1,5,3
35,1,5,6
36,0,5,0
37,2,5,9
38,2,5,12
39,1,5,4
40,3,5,8
41,1,5,27
42,0,5,0
43,1,5,15
44,1,5,4
45,1,5,16
46,2,5,4
47,1,5,9
48,3,5,16
49,2,5,11
50,2,5,16
51,1,5,4
52,1,5,20
53,1,5,18
54,2,5,18
55,2,5,11
56,1,5,7
57,1,5,6
58,0,5,0
59,2,5,14
60,1,5,4
61,1,5,8
62,2,5,10
63,1,5,28
64,2,5,10
65,1,5,6
66,3,5,7
67,0,5,0
68,0,5,0
69,1,5,4
70,1,5,14
71,1,5,9
72,2,5,27
73,0,5,0
74,2,5,9
75,2,5,5
76,1,5,32
77,1,5,15
78,2,5,28
79,1,5,3
80,1,5,3
81,2,5,8
82,1,5,5
83,1,5,2
84,2,5,5
85,1,5,6
86,2,5,11
87,3,5,11
88,2,5,5
89,0,5,0
90,1,5,7
91,1,5,5
92,1,5,3
93,1,5,7
94,0,5,0
95,1,5,3
96,0,5,0
97,2,5,4
98,4,5,10
99,1,5,13
