,n,k,n_in_cycles
0,1,8,253
1,1,8,236
2,1,8,209
3,1,8,224
4,1,8,199
5,1,8,147
6,1,8,123
7,1,8,126
8,1,8,207
9,2,8,107
10,1,8,193
11,1,8,208
12,2,8,159
13,1,8,146
14,1,8,185
15,1,8,231
16,1,8,193
17,1,8,190
18,1,8,182
19,1,8,213
20,2,8,225
21,1,8,207
22,1,8,245
23,1,8,197
24,1,8,170
25,1,8,183
26,1,8,175
27,1,8,205
28,1,8,261
29,1,8,256
30,1,8,263
31,1,8,181
32,1,8,188
33,1,8,216
34,1,8,193
35,1,8,207
36,1,8,249
37,1,8,163
38,2,8,236
39,1,8,161
40,1,8,236
41,1,8,257
42,1,8,227
43,2,8,147
44,2,8,197
45,1,8,192
46,2,8,196
47,1,8,197
48,2,8,148
49,1,8,187
50,1,8,263
51,1,8,204
52,1,8,189
53,1,8,190
54,1,8,219
55,1,8,214
56,2,8,162
57,3,8,251
58,1,8,226
59,1,8,243
60,1,8,180
61,1,8,183
62,1,8,174
63,1,8,175
64,1,8,231
65,2,8,160
66,1,8,229
67,1,8,224
68,1,8,238
69,1,8,215
70,2,8,110
71,2,8,221
72,2,8,243
73,1,8,161
74,1,8,193
75,1,8,217
76,1,8,159
77,1,8,194
78,1,8,221
79,1,8,225
80,2,8,261
81,1,8,188
82,5,8,165
83,1,8,156
84,2,8,182
85,1,8,189
86,1,8,274
87,2,8,190
88,1,8,212
89,2,8,192
90,2,8,196
91,1,8,227
92,2,8,145
93,1,8,179
94,1,8,180
95,1,8,190
96,1,8,166
97,1,8,214
98,2,8,172
99,1,8,249
