,n,k,n_in_cycles
0,3,4,10
1,1,4,3
2,0,4,0
3,1,4,2
4,0,4,0
5,1,4,4
6,1,4,3
7,0,4,0
8,1,4,2
9,0,4,0
10,0,4,0
11,0,4,0
12,0,4,0
13,1,4,4
14,0,4,0
15,0,4,0
16,0,4,0
17,0,4,0
18,3,4,14
19,0,4,0
20,2,4,5
21,2,4,4
22,1,4,2
23,1,4,2
24,3,4,11
25,0,4,0
26,1,4,12
27,0,4,0
28,1,4,8
29,1,4,4
30,0,4,0
31,1,4,18
32,0,4,0
33,0,4,0
34,2,4,5
35,1,4,4
36,0,4,0
37,0,4,0
38,1,4,2
39,2,4,8
40,1,4,2
41,0,4,0
42,0,4,0
43,1,4,5
44,0,4,0
45,1,4,3
46,0,4,0
47,0,4,0
48,1,4,14
49,2,4,23
50,1,4,2
51,2,4,7
52,0,4,0
53,2,4,14
54,1,4,2
55,1,4,7
56,0,4,0
57,1,4,7
58,1,4,3
59,0,4,0
60,1,4,2
61,0,4,0
62,1,4,2
63,0,4,0
64,0,4,0
65,0,4,0
66,0,4,0
67,0,4,0
68,0,4,0
69,1,4,2
70,1,4,2
71,0,4,0
72,1,4,3
73,0,4,0
74,1,4,2
75,2,4,4
76,2,4,7
77,1,4,6
78,0,4,0
79,1,4,2
80,0,4,0
81,0,4,0
82,1,4,4
83,0,4,0
84,0,4,0
85,1,4,5
86,2,4,5
87,0,4,0
88,0,4,0
89,0,4,0
90,0,4,0
91,2,4,6
92,1,4,3
93,1,4,7
94,1,4,8
95,0,4,0
96,0,4,0
97,0,4,0
98,0,4,0
99,1,4,3
