,n,k,cycle_lengths,as_percent_of_matches
0,56815,5,553,0.010706265004259273
1,56815,5,225,0.004356075272980717
2,56815,5,25,0.00048400836366452413
3,56815,5,12,0.00023232401455897158
4,56815,5,2,3.872066909316193e-05
5,56815,5,4,7.744133818632385e-05
6,56815,5,151,0.002925449473031618
7,56815,5,183,0.0035454122752634843
8,56815,5,410,0.007943273403595784
9,56815,5,196,0.00379727216367018
10,56815,5,88,0.0017048977061376318
11,56815,5,53,0.0010268133911965282
12,56815,5,78,0.0015111593304401737
13,56815,5,67,0.0012980471171729696
14,56815,5,7,0.0001356168629882207
15,56815,5,3,5.8121512709237446e-05
16,56815,5,2,3.874767513949163e-05
17,56815,5,51,0.0009876447577365506
18,56815,5,1099,0.021282776250048412
19,56815,5,2,3.873116697006081e-05
20,56815,5,2,3.873116697006081e-05
21,56815,5,3,5.809675045509121e-05
22,56815,5,270,0.005229517722254503
23,56815,5,307,0.005946155336044935
24,56815,5,79,0.0015301181483633546
25,56815,5,58,0.0011233778810768934
26,56815,5,107,0.002072438504745303
27,56815,5,579,0.011229635376260667
28,56815,5,167,0.003238944918541505
29,56815,5,270,0.005236617532971295
30,56815,5,60,0.0011636927851047323
31,56815,5,35,0.0006788207913110939
32,56815,5,3,5.818463925523662e-05
33,56815,5,13,0.000252133436772692
34,56815,5,27,0.00052285050348567
35,56815,5,785,0.015201394268009295
36,56815,5,36,0.0006971340046475601
37,56815,5,7,0.00013555383423702555
38,56815,5,971,0.018809809771027856
39,56815,5,377,0.007303087830769827
40,56815,5,106,0.002053388090349076
41,56815,5,23,0.00044554647243423345
42,56815,5,4,7.748634303204061e-05
43,56815,5,4,7.748634303204061e-05
44,56815,5,8,0.00015497268606408122
45,56815,5,4,7.748634303204061e-05
46,56815,5,147,0.0028496656004652517
47,56815,5,16,0.0003101676844043811
48,56815,5,506,0.009809053019288553
49,56815,5,12,0.00023262576330328584
50,56815,5,9,0.00017446932247746437
51,56815,5,55,0.00106620141514006
52,56815,5,20,0.0003877096055054764
53,56815,5,6,0.00011631288165164292
54,56815,5,7,0.00013569836192691673
55,56815,5,672,0.01304018784080104
56,56815,5,78,0.0015135932315215493
57,56815,5,9,0.00017464537286787107
58,56815,5,11,0.00021345545572739797
59,56815,5,3,5.821512428929036e-05
60,56815,5,2,3.881008285952691e-05
61,56815,5,118,0.0022855371980863466
62,56815,5,776,0.015030312421313603
63,56815,5,60,0.0011621375583489898
64,56815,5,94,0.0018206821747467508
65,56815,5,117,0.0022661682387805303
66,56815,5,11,0.00021305855236398148
67,56815,5,4,7.747583722326599e-05
68,56815,5,6,0.00011621375583489899
69,56815,5,201,0.0038936887373600404
70,56815,5,625,0.012107241098756345
71,56815,5,49,0.0009492077021424973
72,56815,5,203,0.003937084230329125
73,56815,5,473,0.009173600201702837
74,56815,5,251,0.004868020403017785
75,56815,5,4,7.757801439072167e-05
76,56815,5,8,0.00015515602878144334
77,56815,5,5,9.697251798840208e-05
78,56815,5,3,5.8183510793041255e-05
79,56815,5,11,0.0002133395395744846
80,56815,5,2,3.8789007195360834e-05
81,56815,5,189,0.003658465767213178
82,56815,5,490,0.009484911248330462
83,56815,5,89,0.0017227695940845126
84,56815,5,112,0.0021679797139041055
85,56815,5,21,0.0004064961963570198
86,56815,5,17,0.00032906834943187315
87,56815,5,3,5.807088519385997e-05
88,56815,5,2,3.871392346257332e-05
89,56815,5,187,0.00362227602905569
90,56815,5,457,0.00885230024213075
91,56815,5,134,0.002595641646489104
92,56815,5,47,0.0009104116222760291
93,56815,5,44,0.0008523002421307506
94,56815,5,5,9.685230024213075e-05
95,56815,5,3,5.811138014527845e-05
96,56815,5,5,9.685230024213075e-05
97,56815,5,569,0.011009209813481928
98,56815,5,87,0.0016833062456466218
99,56815,5,178,0.003444005881897686
100,56815,5,36,0.0006965405154399814
101,56815,5,21,0.0004063153006733225
102,56815,5,76,0.0014704744214844051
103,56815,5,10,0.00019348347651110595
104,56815,5,6,0.00011609008590666357
105,56815,5,350,0.006777691711851278
106,56815,5,442,0.008559256390395042
107,56815,5,15,0.0002904725019364833
108,56815,5,45,0.0008714175058094501
109,56815,5,14,0.0002711076684740511
110,56815,5,5,9.682416731216112e-05
111,56815,5,4,7.745933384972889e-05
112,56815,5,2,3.872966692486444e-05
113,56815,5,599,0.011621139220859849
114,56815,5,314,0.0060918826633555795
115,56815,5,42,0.0008148378084743132
116,56815,5,56,0.0010864504112990843
117,56815,5,6,0.00011640540121061617
118,56815,5,11,0.00021340990221946297
119,56815,5,11,0.00021340990221946297
120,56815,5,17,0.00032981530343007914
121,56815,5,2,3.8801800403538726e-05
122,56815,5,97,0.0018803186849400042
123,56815,5,764,0.014809932734991373
124,56815,5,66,0.0012793920949076317
125,56815,5,56,0.0010855448078004148
126,56815,5,4,7.753891484288678e-05
127,56815,5,949,0.018383278771090406
128,56815,5,42,0.0008135908412916723
129,56815,5,47,0.0009104468938263953
130,56815,5,5,9.685605253472289e-05
131,56815,5,185,0.0035863138509256566
132,56815,5,306,0.005931956964233789
133,56815,5,120,0.0023262576330328583
134,56815,5,11,0.000213240283028012
135,56815,5,5,9.69274013763691e-05
136,56815,5,2,3.877096055054764e-05
137,56815,5,265,0.005136355707169578
138,56815,5,202,0.003915259822068885
139,56815,5,11,0.00021320721803345415
140,56815,5,270,0.005233268079002966
141,56815,5,133,0.0025778690907681274
142,56815,5,44,0.0008528288721338166
143,56815,5,10,0.0001938247436667765
144,56815,5,13,0.00025197216676680945
145,56815,5,17,0.00032950206423352005
146,56815,5,2,3.87649487333553e-05
