,n,k,n_in_cycles
0,0,3,0
1,1,3,2
2,0,3,0
3,0,3,0
4,1,3,2
5,1,3,3
6,0,3,0
7,0,3,0
8,0,3,0
9,0,3,0
10,0,3,0
11,0,3,0
12,0,3,0
13,0,3,0
14,0,3,0
15,0,3,0
16,0,3,0
17,1,3,2
18,0,3,0
19,0,3,0
20,0,3,0
21,0,3,0
22,0,3,0
23,1,3,6
24,0,3,0
25,0,3,0
26,0,3,0
27,1,3,2
28,0,3,0
29,0,3,0
30,0,3,0
31,0,3,0
32,1,3,4
33,0,3,0
34,1,3,2
35,0,3,0
36,0,3,0
37,1,3,2
38,0,3,0
39,0,3,0
40,0,3,0
41,0,3,0
42,0,3,0
43,0,3,0
44,1,3,4
45,0,3,0
46,0,3,0
47,0,3,0
48,0,3,0
49,1,3,3
50,0,3,0
51,0,3,0
52,0,3,0
53,0,3,0
54,0,3,0
55,0,3,0
56,0,3,0
57,0,3,0
58,0,3,0
59,1,3,7
60,0,3,0
61,1,3,2
62,2,3,8
63,1,3,3
64,0,3,0
65,1,3,4
66,0,3,0
67,2,3,5
68,0,3,0
69,0,3,0
70,0,3,0
71,0,3,0
72,0,3,0
73,0,3,0
74,0,3,0
75,0,3,0
76,1,3,2
77,0,3,0
78,1,3,5
79,1,3,3
80,1,3,2
81,1,3,3
82,0,3,0
83,1,3,2
84,0,3,0
85,0,3,0
86,0,3,0
87,0,3,0
88,1,3,3
89,0,3,0
90,0,3,0
91,0,3,0
92,0,3,0
93,0,3,0
94,2,3,9
95,0,3,0
96,0,3,0
97,2,3,4
98,1,3,2
99,0,3,0
