,n,k,n_changes,n_matches
0,438,5,46,397
1,438,5,34,397
2,438,5,6,401
3,438,5,26,398
4,438,5,7,399
5,438,5,0,395
6,438,5,46,404
7,438,5,0,398
8,438,5,20,393
9,438,5,20,402
10,438,5,25,401
11,438,5,15,392
12,438,5,21,397
13,438,5,2,392
14,438,5,28,400
15,438,5,30,402
16,438,5,2,405
17,438,5,40,395
18,438,5,7,399
19,438,5,0,403
20,438,5,4,399
21,438,5,7,406
22,438,5,43,393
23,438,5,0,404
24,438,5,12,399
25,438,5,10,393
26,438,5,33,400
27,438,5,17,394
28,438,5,20,409
29,438,5,4,393
30,438,5,4,395
31,438,5,8,403
32,438,5,7,400
33,438,5,0,403
34,438,5,25,397
35,438,5,15,398
36,438,5,7,404
37,438,5,15,398
38,438,5,33,400
39,438,5,22,395
40,438,5,14,399
41,438,5,34,393
42,438,5,2,394
43,438,5,28,396
44,438,5,2,401
45,438,5,2,396
46,438,5,2,400
47,438,5,11,395
48,438,5,16,400
49,438,5,11,398
50,438,5,7,397
51,438,5,8,395
52,438,5,0,394
53,438,5,39,401
54,438,5,9,400
55,438,5,0,397
56,438,5,44,396
57,438,5,10,401
58,438,5,0,398
59,438,5,30,395
60,438,5,34,402
61,438,5,43,406
62,438,5,11,397
63,438,5,0,392
64,438,5,6,393
65,438,5,10,396
66,438,5,0,404
67,438,5,14,399
68,438,5,5,399
69,438,5,5,391
70,438,5,18,403
71,438,5,2,403
72,438,5,9,404
73,438,5,41,395
74,438,5,12,397
75,438,5,24,399
76,438,5,8,395
77,438,5,22,394
78,438,5,15,396
79,438,5,12,400
80,438,5,2,399
81,438,5,18,400
82,438,5,21,394
83,438,5,0,396
84,438,5,46,402
85,438,5,23,398
86,438,5,5,397
87,438,5,14,395
88,438,5,27,396
89,438,5,12,398
90,438,5,31,396
91,438,5,11,393
92,438,5,19,393
93,438,5,23,405
94,438,5,5,394
95,438,5,21,407
96,438,5,42,393
97,438,5,3,399
98,438,5,13,393
99,438,5,7,393
