,n,k,n_in_cycles
0,1,4,2
1,1,4,3
2,0,4,0
3,0,4,0
4,2,4,8
5,1,4,2
6,2,4,20
7,0,4,0
8,2,4,10
9,1,4,2
10,3,4,13
11,1,4,5
12,0,4,0
13,0,4,0
14,0,4,0
15,2,4,6
16,1,4,3
17,0,4,0
18,0,4,0
19,2,4,8
20,1,4,2
21,1,4,2
22,2,4,10
23,0,4,0
24,1,4,3
25,2,4,8
26,0,4,0
27,0,4,0
28,3,4,22
29,1,4,2
30,0,4,0
31,1,4,2
32,1,4,3
33,0,4,0
34,1,4,2
35,1,4,9
36,1,4,2
37,0,4,0
38,1,4,2
39,0,4,0
40,0,4,0
41,1,4,15
42,0,4,0
43,1,4,4
44,1,4,2
45,0,4,0
46,2,4,19
47,0,4,0
48,2,4,6
49,1,4,2
50,1,4,3
51,0,4,0
52,0,4,0
53,0,4,0
54,4,4,26
55,2,4,11
56,1,4,3
57,0,4,0
58,3,4,13
59,1,4,4
60,1,4,4
61,0,4,0
62,3,4,13
63,1,4,2
64,0,4,0
65,0,4,0
66,1,4,3
67,0,4,0
68,2,4,4
69,2,4,10
70,1,4,2
71,1,4,2
72,1,4,7
73,0,4,0
74,2,4,8
75,1,4,6
76,0,4,0
77,2,4,12
78,0,4,0
79,1,4,3
80,0,4,0
81,0,4,0
82,1,4,3
83,0,4,0
84,0,4,0
85,1,4,8
86,2,4,5
87,3,4,17
88,0,4,0
89,0,4,0
90,2,4,26
91,2,4,13
92,0,4,0
93,2,4,18
94,1,4,2
95,2,4,11
96,1,4,2
97,1,4,3
98,0,4,0
99,2,4,6
