,n,k,n_in_cycles
0,2,5,50
1,4,5,42
2,2,5,6
3,3,5,32
4,2,5,8
5,0,5,0
6,3,5,60
7,0,5,0
8,2,5,24
9,1,5,31
10,1,5,31
11,2,5,16
12,2,5,25
13,1,5,2
14,1,5,48
15,4,5,35
16,1,5,2
17,3,5,49
18,2,5,7
19,0,5,0
20,1,5,4
21,1,5,9
22,1,5,61
23,0,5,0
24,3,5,13
25,1,5,10
26,2,5,48
27,4,5,17
28,2,5,20
29,1,5,4
30,1,5,4
31,3,5,8
32,1,5,10
33,0,5,0
34,1,5,31
35,2,5,15
36,2,5,9
37,2,5,23
38,1,5,43
39,3,5,22
40,3,5,16
41,2,5,68
42,1,5,2
43,1,5,48
44,1,5,2
45,1,5,2
46,1,5,2
47,2,5,13
48,2,5,20
49,2,5,13
50,2,5,7
51,2,5,8
52,0,5,0
53,1,5,55
54,2,5,9
55,0,5,0
56,2,5,59
57,2,5,10
58,0,5,0
59,3,5,47
60,2,5,45
61,6,5,48
62,1,5,15
63,0,5,0
64,3,5,6
65,2,5,10
66,0,5,0
67,1,5,15
68,1,5,5
69,1,5,5
70,1,5,18
71,1,5,2
72,2,5,13
73,2,5,43
74,1,5,12
75,2,5,32
76,2,5,8
77,5,5,22
78,1,5,15
79,1,5,14
80,1,5,2
81,2,5,18
82,4,5,23
83,0,5,0
84,1,5,71
85,3,5,28
86,2,5,5
87,2,5,14
88,2,5,28
89,2,5,12
90,1,5,48
91,3,5,11
92,2,5,20
93,3,5,23
94,1,5,5
95,3,5,31
96,1,5,56
97,1,5,3
98,1,5,15
99,1,5,9
