,n,k,n_in_cycles
0,6,5,201
1,3,5,168
2,1,5,335
3,2,5,29
4,4,5,199
5,2,5,217
6,4,5,164
7,4,5,283
8,6,5,75
9,3,5,215
10,2,5,43
11,1,5,327
12,2,5,289
13,3,5,292
14,2,5,178
15,3,5,226
16,2,5,415
17,5,5,134
18,4,5,92
19,3,5,292
20,5,5,131
21,1,5,354
22,4,5,67
23,3,5,228
24,4,5,117
25,2,5,267
26,2,5,185
27,2,5,256
28,3,5,239
29,7,5,213
30,3,5,332
31,1,5,219
32,1,5,174
33,1,5,342
34,1,5,127
35,4,5,330
36,2,5,284
37,4,5,158
38,2,5,23
39,4,5,294
40,3,5,326
41,5,5,101
42,3,5,192
43,3,5,372
44,5,5,52
45,5,5,101
46,2,5,289
47,3,5,153
48,1,5,191
49,3,5,93
50,4,5,224
51,3,5,306
52,3,5,282
53,2,5,99
54,2,5,234
55,3,5,31
56,3,5,192
57,2,5,288
58,3,5,100
59,3,5,118
60,2,5,229
61,5,5,91
62,2,5,435
63,4,5,54
64,4,5,103
65,4,5,231
66,4,5,61
67,3,5,206
68,4,5,215
69,3,5,236
70,3,5,89
71,1,5,220
72,3,5,429
73,1,5,254
74,3,5,574
75,2,5,303
76,4,5,69
77,1,5,235
78,3,5,216
79,3,5,226
80,4,5,131
81,1,5,273
82,4,5,282
83,3,5,313
84,2,5,209
85,2,5,407
86,1,5,412
87,2,5,183
88,3,5,87
89,3,5,225
90,2,5,169
91,3,5,303
92,2,5,197
93,2,5,92
94,2,5,324
95,4,5,148
96,4,5,132
97,6,5,95
98,1,5,242
99,3,5,197
