,n,k,n_in_cycles
0,2,5,57
1,1,5,26
2,2,5,4
3,3,5,17
4,2,5,10
5,3,5,83
6,3,5,41
7,1,5,87
8,3,5,70
9,5,5,31
10,3,5,27
11,3,5,80
12,2,5,11
13,2,5,6
14,1,5,65
15,3,5,54
16,5,5,16
17,1,5,35
18,1,5,139
19,4,5,31
20,3,5,42
21,1,5,20
22,2,5,67
23,4,5,46
24,3,5,101
25,2,5,19
26,1,5,16
27,2,5,87
28,1,5,2
29,3,5,43
30,1,5,17
31,1,5,33
32,2,5,6
33,3,5,22
34,2,5,89
35,2,5,9
36,3,5,70
37,1,5,2
38,1,5,73
39,4,5,36
40,1,5,3
41,4,5,64
42,3,5,35
43,0,5,0
44,2,5,19
45,3,5,33
46,2,5,85
47,1,5,14
48,1,5,13
49,2,5,12
50,1,5,6
51,3,5,25
52,2,5,91
53,2,5,39
54,2,5,74
55,3,5,89
56,2,5,27
57,2,5,9
58,1,5,97
59,4,5,51
60,1,5,21
61,4,5,48
62,2,5,99
63,4,5,19
64,2,5,30
65,3,5,27
66,2,5,19
67,1,5,4
68,6,5,48
69,6,5,44
70,0,5,0
71,3,5,16
72,3,5,37
73,2,5,39
74,2,5,37
75,1,5,95
76,1,5,44
77,2,5,47
78,0,5,0
79,1,5,8
80,3,5,21
81,2,5,90
82,3,5,25
83,2,5,5
84,4,5,32
85,1,5,64
86,4,5,70
87,3,5,27
88,2,5,44
89,3,5,69
90,1,5,47
91,3,5,19
92,3,5,43
93,5,5,44
94,1,5,23
95,1,5,71
96,2,5,21
97,2,5,13
98,3,5,27
99,5,5,25
