,n,k,n_in_cycles
0,1,6,127
1,1,6,81
2,4,6,57
3,1,6,77
4,1,6,52
5,2,6,100
6,1,6,93
7,3,6,39
8,3,6,82
9,2,6,125
10,2,6,100
11,3,6,24
12,2,6,65
13,2,6,54
14,3,6,69
15,4,6,74
16,2,6,97
17,4,6,21
18,2,6,64
19,2,6,128
20,3,6,100
21,2,6,80
22,1,6,113
23,2,6,142
24,5,6,31
25,3,6,97
26,4,6,63
27,2,6,112
28,6,6,55
29,2,6,29
30,2,6,12
31,2,6,88
32,1,6,87
33,1,6,107
34,1,6,91
35,1,6,31
36,1,6,66
37,3,6,67
38,1,6,106
39,1,6,130
40,3,6,54
41,2,6,66
42,1,6,98
43,1,6,145
44,1,6,66
45,2,6,96
46,2,6,37
47,2,6,89
48,1,6,92
49,1,6,126
50,3,6,27
51,1,6,6
52,3,6,75
53,1,6,105
54,1,6,3
55,2,6,51
56,1,6,87
57,3,6,97
58,2,6,75
59,1,6,101
60,1,6,124
61,4,6,64
62,3,6,48
63,2,6,86
64,2,6,93
65,1,6,103
66,3,6,54
67,1,6,76
68,2,6,11
69,3,6,49
70,1,6,79
71,1,6,19
72,1,6,118
73,1,6,82
74,1,6,68
75,2,6,97
76,1,6,75
77,4,6,94
78,7,6,30
79,2,6,34
80,1,6,130
81,3,6,65
82,1,6,3
83,1,6,112
84,2,6,89
85,1,6,110
86,2,6,6
87,1,6,126
88,1,6,116
89,2,6,73
90,1,6,152
91,2,6,61
92,2,6,28
93,1,6,138
94,4,6,45
95,3,6,95
96,1,6,118
97,2,6,55
98,1,6,92
99,1,6,44
