,n,k,n_in_cycles
0,1,6,35
1,2,6,34
2,2,6,67
3,2,6,12
4,2,6,66
5,2,6,37
6,3,6,45
7,2,6,7
8,2,6,43
9,4,6,21
10,2,6,8
11,6,6,56
12,1,6,29
13,0,6,0
14,1,6,67
15,1,6,86
16,2,6,47
17,1,6,42
18,3,6,18
19,3,6,28
20,3,6,39
21,2,6,41
22,1,6,78
23,1,6,60
24,3,6,43
25,2,6,15
26,3,6,32
27,1,6,25
28,2,6,65
29,1,6,35
30,3,6,20
31,1,6,56
32,2,6,5
33,2,6,10
34,1,6,14
35,4,6,24
36,2,6,75
37,1,6,53
38,3,6,13
39,2,6,8
40,3,6,49
41,1,6,3
42,1,6,29
43,2,6,17
44,2,6,43
45,1,6,70
46,4,6,23
47,2,6,52
48,2,6,53
49,4,6,47
50,3,6,25
51,0,6,0
52,1,6,58
53,3,6,25
54,1,6,53
55,1,6,39
56,2,6,39
57,3,6,20
58,1,6,66
59,2,6,15
60,2,6,53
61,2,6,63
62,3,6,16
63,1,6,21
64,3,6,54
65,0,6,0
66,2,6,5
67,4,6,33
68,1,6,48
69,2,6,45
70,4,6,47
71,3,6,34
72,4,6,10
73,1,6,17
74,1,6,63
75,1,6,31
76,1,6,67
77,1,6,35
78,3,6,17
79,1,6,22
80,2,6,60
81,1,6,59
82,2,6,36
83,1,6,73
84,2,6,18
85,3,6,22
86,3,6,27
87,1,6,25
88,1,6,8
89,2,6,45
90,1,6,19
91,1,6,19
92,1,6,6
93,2,6,69
94,2,6,43
95,3,6,11
96,3,6,30
97,1,6,72
98,1,6,33
99,1,6,48
