,n,k,n_in_cycles
0,1,6,1551
1,2,6,1546
2,1,6,1560
3,2,6,1411
4,3,6,1531
5,1,6,1580
6,1,6,1491
7,1,6,1354
8,1,6,1492
9,3,6,1477
10,2,6,1283
11,2,6,1483
12,2,6,1382
13,1,6,1602
14,1,6,1859
15,1,6,1525
16,3,6,1398
17,4,6,1339
18,2,6,1478
19,3,6,1366
20,3,6,1431
21,4,6,1622
22,1,6,1555
23,3,6,1574
24,2,6,1594
25,2,6,1409
26,1,6,1329
27,2,6,1064
28,2,6,1459
29,2,6,1731
30,1,6,1403
31,3,6,1545
32,1,6,1404
33,1,6,1649
34,1,6,1561
35,3,6,1070
36,1,6,1520
37,2,6,1407
38,2,6,1452
39,2,6,1382
40,1,6,1459
41,2,6,1336
42,5,6,1597
43,1,6,1472
44,3,6,1443
45,2,6,1675
46,1,6,1813
47,2,6,1811
48,2,6,1507
49,3,6,1380
50,3,6,1433
51,2,6,1418
52,2,6,1612
53,2,6,1436
54,1,6,1029
55,2,6,1503
56,2,6,1651
57,5,6,1250
58,1,6,1442
59,1,6,1607
60,1,6,1429
61,1,6,1597
62,2,6,1389
63,1,6,1143
64,4,6,1300
65,1,6,1346
66,2,6,1362
67,1,6,1770
68,3,6,1468
69,1,6,1619
70,1,6,1386
71,1,6,1436
72,1,6,1475
73,1,6,1606
74,2,6,1391
75,1,6,1533
76,1,6,1543
77,1,6,1240
78,3,6,1458
79,1,6,1623
80,2,6,1528
81,1,6,1536
82,2,6,1417
83,3,6,1363
84,5,6,1199
85,5,6,1405
86,1,6,1445
87,1,6,1574
88,3,6,1314
89,2,6,1691
90,2,6,1448
91,1,6,1716
92,1,6,1364
93,1,6,1544
94,2,6,1517
95,2,6,1585
96,3,6,1528
97,1,6,1405
98,2,6,1357
99,3,6,1567
