,n,k,n_changes,n_matches
0,292,7,67,272
1,292,7,15,275
2,292,7,33,275
3,292,7,38,277
4,292,7,40,273
5,292,7,42,273
6,292,7,25,271
7,292,7,57,277
8,292,7,67,275
9,292,7,66,275
10,292,7,43,276
11,292,7,37,278
12,292,7,60,279
13,292,7,42,272
14,292,7,63,274
15,292,7,50,275
16,292,7,42,280
17,292,7,39,277
18,292,7,13,273
19,292,7,77,273
20,292,7,28,274
21,292,7,52,276
22,292,7,40,271
23,292,7,22,274
24,292,7,29,276
25,292,7,30,276
26,292,7,79,271
27,292,7,71,279
28,292,7,26,274
29,292,7,92,275
30,292,7,83,275
31,292,7,40,276
32,292,7,46,281
33,292,7,61,277
34,292,7,66,278
35,292,7,68,274
36,292,7,63,274
37,292,7,36,276
38,292,7,34,272
39,292,7,78,279
40,292,7,49,276
41,292,7,50,279
42,292,7,52,278
43,292,7,46,277
44,292,7,46,279
45,292,7,56,274
46,292,7,45,276
47,292,7,44,276
48,292,7,48,278
49,292,7,62,272
50,292,7,34,273
51,292,7,56,275
52,292,7,57,275
53,292,7,55,274
54,292,7,37,270
55,292,7,38,278
56,292,7,24,277
57,292,7,34,275
58,292,7,56,273
59,292,7,39,273
60,292,7,44,272
61,292,7,58,274
62,292,7,35,276
63,292,7,44,279
64,292,7,90,276
65,292,7,33,273
66,292,7,46,272
67,292,7,58,276
68,292,7,50,275
69,292,7,49,275
70,292,7,46,274
71,292,7,32,271
72,292,7,81,276
73,292,7,79,274
74,292,7,51,277
75,292,7,23,273
76,292,7,34,276
77,292,7,48,277
78,292,7,48,276
79,292,7,34,278
80,292,7,61,280
81,292,7,52,271
82,292,7,52,275
83,292,7,30,272
84,292,7,44,276
85,292,7,64,273
86,292,7,31,273
87,292,7,45,274
88,292,7,51,274
89,292,7,55,277
90,292,7,37,275
91,292,7,41,279
92,292,7,26,275
93,292,7,33,276
94,292,7,27,270
95,292,7,63,273
96,292,7,49,277
97,292,7,48,279
98,292,7,32,276
99,292,7,32,271
