,n,k,n_in_cycles
0,1,4,4
1,3,4,19
2,0,4,0
3,1,4,3
4,0,4,0
5,0,4,0
6,0,4,0
7,0,4,0
8,1,4,10
9,2,4,10
10,0,4,0
11,3,4,6
12,2,4,9
13,2,4,15
14,2,4,4
15,0,4,0
16,0,4,0
17,0,4,0
18,0,4,0
19,2,4,4
20,0,4,0
21,0,4,0
22,0,4,0
23,0,4,0
24,1,4,2
25,2,4,14
26,3,4,16
27,0,4,0
28,1,4,6
29,0,4,0
30,0,4,0
31,3,4,18
32,3,4,8
33,0,4,0
34,0,4,0
35,3,4,14
36,0,4,0
37,1,4,7
38,1,4,2
39,0,4,0
40,0,4,0
41,4,4,14
42,0,4,0
43,2,4,10
44,1,4,11
45,1,4,3
46,1,4,6
47,1,4,2
48,1,4,2
49,0,4,0
50,1,4,3
51,0,4,0
52,0,4,0
53,0,4,0
54,2,4,5
55,1,4,2
56,1,4,16
57,0,4,0
58,0,4,0
59,1,4,2
60,1,4,2
61,1,4,12
62,2,4,20
63,2,4,4
64,2,4,12
65,1,4,14
66,1,4,3
67,1,4,2
68,1,4,2
69,0,4,0
70,2,4,13
71,2,4,5
72,0,4,0
73,0,4,0
74,0,4,0
75,1,4,11
76,1,4,2
77,1,4,2
78,2,4,6
79,1,4,7
80,1,4,7
81,1,4,3
82,2,4,15
83,1,4,2
84,0,4,0
85,0,4,0
86,0,4,0
87,0,4,0
88,2,4,22
89,1,4,4
90,0,4,0
91,0,4,0
92,1,4,3
93,1,4,2
94,1,4,3
95,0,4,0
96,0,4,0
97,2,4,5
98,1,4,6
99,1,4,2
