,n,k,n_in_cycles
0,1,7,783
1,1,7,706
2,2,7,661
3,2,7,784
4,1,7,838
5,1,7,785
6,3,7,708
7,2,7,783
8,2,7,711
9,2,7,854
10,1,7,754
11,2,7,861
12,1,7,791
13,1,7,668
14,3,7,709
15,1,7,865
16,3,7,748
17,1,7,891
18,2,7,768
19,2,7,787
20,1,7,750
21,2,7,752
22,3,7,634
23,1,7,756
24,1,7,909
25,1,7,745
26,1,7,643
27,1,7,832
28,1,7,642
29,1,7,701
30,3,7,795
31,1,7,766
32,1,7,754
33,1,7,860
34,2,7,767
35,2,7,723
36,1,7,730
37,1,7,717
38,3,7,841
39,1,7,805
40,2,7,813
41,1,7,524
42,1,7,607
43,1,7,669
44,1,7,881
45,1,7,821
46,1,7,796
47,1,7,679
48,2,7,925
49,1,7,622
50,1,7,612
51,1,7,734
52,2,7,779
53,2,7,769
54,1,7,802
55,1,7,959
56,2,7,823
57,1,7,843
58,4,7,687
59,1,7,761
60,1,7,875
61,1,7,730
62,2,7,708
63,3,7,805
64,2,7,843
65,1,7,818
66,1,7,666
67,2,7,769
68,2,7,804
69,2,7,818
70,1,7,863
71,3,7,738
72,1,7,615
73,1,7,792
74,1,7,581
75,1,7,770
76,1,7,695
77,2,7,869
78,1,7,898
79,1,7,755
80,1,7,847
81,3,7,733
82,2,7,796
83,2,7,728
84,1,7,873
85,1,7,783
86,1,7,844
87,2,7,780
88,2,7,685
89,3,7,898
90,1,7,764
91,1,7,828
92,1,7,868
93,1,7,875
94,2,7,546
95,1,7,744
96,1,7,763
97,2,7,640
98,1,7,835
99,2,7,710
