,n,k,n_in_cycles
0,5,5,914
1,1,5,1086
2,4,5,661
3,2,5,473
4,3,5,457
5,1,5,690
6,9,5,397
7,5,5,338
8,3,5,583
9,2,5,571
10,1,5,681
11,2,5,907
12,4,5,715
13,2,5,987
14,3,5,661
15,2,5,514
16,3,5,653
17,5,5,629
18,2,5,1026
19,2,5,950
20,3,5,568
21,2,5,949
22,3,5,593
23,3,5,776
24,4,5,820
25,3,5,568
26,2,5,613
27,3,5,355
28,2,5,830
29,1,5,644
30,3,5,810
31,1,5,981
32,4,5,828
33,1,5,482
34,5,5,424
35,3,5,475
36,3,5,589
37,3,5,212
38,5,5,392
39,3,5,667
40,1,5,600
41,1,5,723
42,2,5,455
43,2,5,1000
44,3,5,811
45,3,5,820
46,3,5,674
47,4,5,712
48,5,5,494
49,2,5,1041
50,2,5,1031
51,3,5,643
52,4,5,642
53,2,5,966
54,3,5,1033
55,4,5,196
56,3,5,963
57,5,5,715
58,3,5,775
59,2,5,667
60,3,5,510
61,5,5,295
62,4,5,948
63,3,5,519
64,1,5,1335
65,1,5,630
66,3,5,388
67,3,5,905
68,2,5,830
69,3,5,807
70,4,5,478
71,3,5,682
72,2,5,977
73,5,5,657
74,2,5,617
75,3,5,841
76,2,5,725
77,3,5,472
78,2,5,908
79,3,5,983
80,3,5,850
81,3,5,468
82,5,5,1020
83,1,5,379
84,5,5,699
85,4,5,806
86,5,5,714
87,4,5,705
88,2,5,760
89,3,5,532
90,2,5,829
91,2,5,567
92,3,5,969
93,4,5,870
94,3,5,834
95,1,5,645
96,4,5,484
97,4,5,601
98,3,5,985
99,3,5,1184
