,n,k,n_changes_eadam,n_matches,n_iterations
0,1478,4,8,1314,27
1,1478,4,38,1303,34
2,1478,4,0,1314,22
3,1478,4,6,1305,19
4,1478,4,0,1299,22
5,1478,4,0,1301,19
6,1478,4,0,1300,20
7,1478,4,0,1307,17
8,1478,4,16,1315,34
9,1478,4,20,1306,14
10,1478,4,0,1326,20
11,1478,4,12,1303,20
12,1478,4,18,1286,18
13,1478,4,30,1307,28
14,1478,4,8,1297,15
15,1478,4,0,1303,17
16,1478,4,0,1305,27
17,1478,4,0,1293,20
18,1478,4,0,1312,16
19,1478,4,8,1290,24
20,1478,4,0,1292,23
21,1478,4,0,1311,16
22,1478,4,0,1309,25
23,1478,4,0,1304,22
24,1478,4,4,1301,35
25,1478,4,28,1319,25
26,1478,4,32,1299,24
27,1478,4,0,1310,24
28,1478,4,10,1288,26
29,1478,4,0,1305,17
30,1478,4,0,1316,23
31,1478,4,36,1306,15
32,1478,4,16,1289,28
33,1478,4,0,1294,14
34,1478,4,0,1299,25
35,1478,4,28,1314,18
36,1478,4,0,1311,17
37,1478,4,14,1289,22
38,1478,4,4,1301,16
39,1478,4,0,1307,20
40,1478,4,0,1304,14
41,1478,4,28,1310,17
42,1478,4,0,1307,20
43,1478,4,20,1288,28
44,1478,4,22,1288,21
45,1478,4,6,1303,23
46,1478,4,12,1308,20
47,1478,4,4,1314,18
48,1478,4,4,1306,25
49,1478,4,0,1312,27
50,1478,4,6,1308,17
51,1478,4,0,1302,19
52,1478,4,0,1317,12
53,1478,4,0,1306,26
54,1478,4,10,1318,30
55,1478,4,4,1294,21
56,1478,4,22,1318,23
57,1478,4,0,1316,32
58,1478,4,0,1291,18
59,1478,4,4,1282,39
60,1478,4,4,1307,16
61,1478,4,24,1313,23
62,1478,4,40,1300,20
63,1478,4,8,1314,20
64,1478,4,24,1309,22
65,1478,4,28,1307,26
66,1478,4,6,1300,32
67,1478,4,4,1302,19
68,1478,4,4,1319,16
69,1478,4,0,1304,21
70,1478,4,26,1305,23
71,1478,4,10,1297,18
72,1478,4,0,1308,24
73,1478,4,0,1312,28
74,1478,4,0,1293,19
75,1478,4,22,1304,28
76,1478,4,4,1311,13
77,1478,4,4,1312,22
78,1478,4,12,1294,30
79,1478,4,14,1318,18
80,1478,4,14,1297,28
81,1478,4,6,1302,18
82,1478,4,20,1307,25
83,1478,4,4,1314,21
84,1478,4,0,1303,21
85,1478,4,0,1296,24
86,1478,4,0,1295,18
87,1478,4,0,1290,21
88,1478,4,44,1294,21
89,1478,4,8,1308,17
90,1478,4,0,1302,26
91,1478,4,0,1288,19
92,1478,4,6,1303,15
93,1478,4,4,1312,32
94,1478,4,6,1306,15
95,1478,4,0,1306,17
96,1478,4,0,1316,28
97,1478,4,10,1303,22
98,1478,4,12,1299,19
99,1478,4,4,1312,19
