,n,k,cycle_lengths_eadam,as_percent_of_matches_eadam
0,2217,7,115,0.05518234165067178
1,2217,7,20,0.009596928982725527
2,2217,7,30,0.014395393474088292
3,2217,7,14,0.0067178502879078695
4,2217,7,22,0.01055662188099808
5,2217,7,3,0.0014395393474088292
6,2217,7,9,0.004318618042226488
7,2217,7,23,0.010941960038058992
8,2217,7,43,0.020456707897240724
9,2217,7,7,0.003330161750713606
10,2217,7,30,0.014272121788772598
11,2217,7,92,0.04376784015223597
12,2217,7,12,0.005708848715509039
13,2217,7,10,0.004757373929590866
14,2217,7,4,0.0019147917663954045
15,2217,7,96,0.04595500239348971
16,2217,7,45,0.0215414073719483
17,2217,7,14,0.006701771182383916
18,2217,7,16,0.007659167065581618
19,2217,7,9,0.00430828147438966
20,2217,7,18,0.00861656294877932
21,2217,7,119,0.05723905723905724
22,2217,7,72,0.03463203463203463
23,2217,7,12,0.005772005772005772
24,2217,7,21,0.010101010101010102
25,2217,7,10,0.00481000481000481
26,2217,7,4,0.001924001924001924
27,2217,7,2,0.000962000962000962
28,2217,7,13,0.006253006253006253
29,2217,7,63,0.030201342281879196
30,2217,7,51,0.02444870565675935
31,2217,7,26,0.012464046021093002
32,2217,7,10,0.004793863854266539
33,2217,7,26,0.012464046021093002
34,2217,7,11,0.0052732502396931925
35,2217,7,5,0.0023969319271332696
36,2217,7,6,0.0028763183125599234
37,2217,7,7,0.003355704697986577
38,2217,7,16,0.007670182166826462
39,2217,7,8,0.003835091083413231
40,2217,7,39,0.01875
41,2217,7,58,0.027884615384615386
42,2217,7,10,0.004807692307692308
43,2217,7,84,0.04038461538461539
44,2217,7,28,0.013461538461538462
45,2217,7,4,0.0019230769230769232
46,2217,7,4,0.0019230769230769232
47,2217,7,112,0.053588516746411484
48,2217,7,21,0.010047846889952153
49,2217,7,22,0.010526315789473684
50,2217,7,25,0.011961722488038277
51,2217,7,26,0.012440191387559809
52,2217,7,2,0.0009569377990430622
53,2217,7,8,0.003827751196172249
54,2217,7,3,0.0014354066985645933
55,2217,7,3,0.0014354066985645933
56,2217,7,2,0.0009569377990430622
57,2217,7,7,0.0033460803059273425
58,2217,7,51,0.024378585086042064
59,2217,7,43,0.02055449330783939
60,2217,7,10,0.004780114722753346
61,2217,7,45,0.021510516252390057
62,2217,7,33,0.01577437858508604
63,2217,7,8,0.0038240917782026767
64,2217,7,5,0.002390057361376673
65,2217,7,3,0.0014340344168260039
66,2217,7,6,0.0028680688336520078
67,2217,7,9,0.004302103250478011
68,2217,7,53,0.025493025493025494
69,2217,7,67,0.03222703222703223
70,2217,7,7,0.003367003367003367
71,2217,7,12,0.005772005772005772
72,2217,7,18,0.008658008658008658
73,2217,7,24,0.011544011544011544
74,2217,7,43,0.02068302068302068
75,2217,7,30,0.01443001443001443
76,2217,7,3,0.001443001443001443
77,2217,7,2,0.000962000962000962
78,2217,7,88,0.04216578821274557
79,2217,7,5,0.0023957834211787254
80,2217,7,64,0.030666027791087687
81,2217,7,14,0.006708193579300431
82,2217,7,12,0.005749880210828941
83,2217,7,4,0.0019166267369429804
84,2217,7,29,0.013895543842836608
85,2217,7,4,0.0019166267369429804
86,2217,7,2,0.0009583133684714902
87,2217,7,13,0.006229036895064686
88,2217,7,4,0.0019166267369429804
89,2217,7,9,0.004312410158121706
90,2217,7,108,0.05157593123209169
91,2217,7,125,0.059694364851957976
92,2217,7,17,0.008118433619866285
93,2217,7,4,0.0019102196752626551
94,2217,7,3,0.0014326647564469914
95,2217,7,5,0.002387774594078319
96,2217,7,6,0.0028653295128939827
97,2217,7,3,0.0014326647564469914
98,2217,7,3,0.0014326647564469914
99,2217,7,35,0.016778523489932886
100,2217,7,31,0.014860977948226271
101,2217,7,17,0.008149568552253116
102,2217,7,26,0.012464046021093002
103,2217,7,8,0.003835091083413231
104,2217,7,13,0.006232023010546501
105,2217,7,17,0.008149568552253116
106,2217,7,3,0.0014381591562799617
107,2217,7,5,0.0023969319271332696
108,2217,7,5,0.0023969319271332696
109,2217,7,6,0.0028763183125599234
110,2217,7,6,0.0028763183125599234
111,2217,7,4,0.0019175455417066154
112,2217,7,86,0.04132628543969245
113,2217,7,20,0.009610764055742432
114,2217,7,52,0.024987986544930323
115,2217,7,11,0.005285920230658337
116,2217,7,8,0.0038443056222969728
117,2217,7,3,0.0014416146083613647
118,2217,7,7,0.003363767419509851
119,2217,7,36,0.017241379310344827
120,2217,7,76,0.03639846743295019
121,2217,7,77,0.036877394636015325
122,2217,7,20,0.009578544061302681
123,2217,7,11,0.005268199233716475
124,2217,7,4,0.0019157088122605363
125,2217,7,9,0.004310344827586207
126,2217,7,14,0.006708193579300431
