,n,k,n_changes_eadam,n_matches,n_iterations
0,657,4,4,568,20
1,657,4,6,575,26
2,657,4,0,580,15
3,657,4,0,568,28
4,657,4,12,582,19
5,657,4,4,591,19
6,657,4,28,574,27
7,657,4,0,572,12
8,657,4,20,586,19
9,657,4,4,574,9
10,657,4,26,586,26
11,657,4,10,585,13
12,657,4,0,589,11
13,657,4,0,578,17
14,657,4,0,576,22
15,657,4,12,580,12
16,657,4,6,575,17
17,657,4,0,570,30
18,657,4,0,576,19
19,657,4,16,575,16
20,657,4,4,574,15
21,657,4,4,563,15
22,657,4,20,582,28
23,657,4,0,583,14
24,657,4,6,579,24
25,657,4,16,581,23
26,657,4,0,582,17
27,657,4,0,564,24
28,657,4,44,567,16
29,657,4,4,579,16
30,657,4,0,577,18
31,657,4,4,587,13
32,657,4,6,581,15
33,657,4,0,577,28
34,657,4,4,583,18
35,657,4,8,581,24
36,657,4,4,574,17
37,657,4,0,585,14
38,657,4,4,582,17
39,657,4,0,582,19
40,657,4,0,580,12
41,657,4,14,569,17
42,657,4,0,586,19
43,657,4,8,580,15
44,657,4,4,584,15
45,657,4,0,584,14
46,657,4,24,581,19
47,657,4,0,578,16
48,657,4,12,578,17
49,657,4,4,579,12
50,657,4,6,578,16
51,657,4,0,596,16
52,657,4,0,587,20
53,657,4,0,592,25
54,657,4,48,567,15
55,657,4,18,580,25
56,657,4,6,575,15
57,657,4,0,582,16
58,657,4,22,573,22
59,657,4,8,578,30
60,657,4,8,565,11
61,657,4,0,580,16
62,657,4,26,580,22
63,657,4,4,581,16
64,657,4,0,577,12
65,657,4,0,571,28
66,657,4,6,567,15
67,657,4,0,579,19
68,657,4,8,579,19
69,657,4,20,579,14
70,657,4,4,591,16
71,657,4,4,579,16
72,657,4,14,584,15
73,657,4,0,569,13
74,657,4,16,584,18
75,657,4,12,582,18
76,657,4,0,579,13
77,657,4,24,570,19
78,657,4,0,582,18
79,657,4,6,579,21
80,657,4,0,575,17
81,657,4,0,573,14
82,657,4,6,580,22
83,657,4,0,578,13
84,657,4,0,578,24
85,657,4,16,575,11
86,657,4,10,571,17
87,657,4,22,587,16
88,657,4,0,591,15
89,657,4,0,575,15
90,657,4,40,584,14
91,657,4,26,581,20
92,657,4,0,578,13
93,657,4,36,577,13
94,657,4,4,579,15
95,657,4,16,584,17
96,657,4,4,582,18
97,657,4,6,585,20
98,657,4,0,579,14
99,657,4,12,578,28
