,n,k,n_in_cycles
0,2,6,217
1,3,6,174
2,1,6,178
3,2,6,127
4,1,6,273
5,1,6,134
6,2,6,242
7,3,6,138
8,1,6,232
9,3,6,248
10,2,6,203
11,1,6,183
12,2,6,210
13,2,6,207
14,1,6,176
15,1,6,150
16,3,6,183
17,3,6,208
18,1,6,273
19,1,6,246
20,1,6,140
21,1,6,195
22,2,6,169
23,1,6,158
24,3,6,176
25,3,6,222
26,1,6,257
27,8,6,122
28,1,6,216
29,4,6,92
30,4,6,205
31,2,6,226
32,4,6,79
33,4,6,229
34,3,6,78
35,2,6,156
36,2,6,249
37,1,6,108
38,4,6,164
39,2,6,215
40,2,6,245
41,2,6,168
42,2,6,257
43,2,6,243
44,1,6,202
45,1,6,108
46,2,6,165
47,1,6,141
48,1,6,256
49,1,6,212
50,1,6,245
51,6,6,252
52,1,6,138
53,1,6,272
54,2,6,168
55,3,6,116
56,2,6,213
57,1,6,189
58,1,6,183
59,2,6,156
60,2,6,230
61,3,6,138
62,1,6,92
63,3,6,158
64,3,6,112
65,3,6,124
66,1,6,255
67,1,6,136
68,3,6,190
69,2,6,221
70,1,6,181
71,1,6,162
72,1,6,162
73,2,6,232
74,2,6,242
75,2,6,239
76,2,6,242
77,2,6,174
78,3,6,181
79,3,6,254
80,3,6,207
81,2,6,167
82,2,6,199
83,2,6,121
84,4,6,174
85,2,6,249
86,2,6,249
87,2,6,210
88,3,6,146
89,1,6,276
90,6,6,96
91,1,6,242
92,1,6,114
93,1,6,196
94,5,6,129
95,1,6,159
96,1,6,202
97,2,6,160
98,1,6,212
99,2,6,281
