,n,k,n_in_cycles
0,3,6,411
1,1,6,549
2,2,6,456
3,1,6,545
4,1,6,482
5,4,6,407
6,1,6,325
7,2,6,459
8,2,6,247
9,2,6,369
10,2,6,583
11,2,6,525
12,1,6,435
13,2,6,302
14,1,6,398
15,1,6,448
16,2,6,460
17,1,6,405
18,2,6,507
19,2,6,626
20,1,6,512
21,3,6,337
22,3,6,389
23,1,6,479
24,1,6,375
25,2,6,535
26,2,6,643
27,3,6,413
28,2,6,444
29,1,6,440
30,2,6,341
31,2,6,468
32,4,6,493
33,4,6,456
34,1,6,487
35,3,6,418
36,2,6,434
37,1,6,553
38,1,6,513
39,1,6,451
40,3,6,456
41,1,6,362
42,1,6,335
43,3,6,348
44,1,6,550
45,1,6,381
46,1,6,497
47,1,6,633
48,1,6,405
49,2,6,367
50,1,6,353
51,1,6,402
52,2,6,456
53,1,6,424
54,1,6,607
55,4,6,388
56,2,6,462
57,2,6,463
58,1,6,411
59,1,6,387
60,2,6,434
61,1,6,379
62,2,6,393
63,1,6,414
64,1,6,547
65,3,6,388
66,1,6,507
67,2,6,496
68,2,6,312
69,1,6,595
70,2,6,578
71,2,6,448
72,1,6,420
73,5,6,332
74,1,6,444
75,2,6,457
76,1,6,487
77,1,6,499
78,3,6,422
79,2,6,485
80,2,6,392
81,4,6,415
82,1,6,396
83,1,6,375
84,2,6,344
85,1,6,544
86,1,6,510
87,4,6,399
88,3,6,377
89,1,6,447
90,1,6,414
91,2,6,421
92,1,6,338
93,2,6,541
94,1,6,500
95,2,6,459
96,4,6,384
97,3,6,331
98,1,6,262
99,1,6,449
