,n,k,n_changes_eadam,n_matches,n_iterations
0,985,6,158,919,27
1,985,6,54,912,35
2,985,6,162,918,36
3,985,6,142,912,44
4,985,6,104,899,50
5,985,6,240,912,29
6,985,6,138,907,37
7,985,6,138,920,24
8,985,6,100,916,30
9,985,6,106,920,36
10,985,6,102,913,30
11,985,6,128,917,41
12,985,6,128,913,42
13,985,6,142,911,46
14,985,6,118,897,31
15,985,6,66,908,48
16,985,6,126,914,30
17,985,6,214,913,31
18,985,6,116,921,56
19,985,6,104,908,32
20,985,6,176,909,36
21,985,6,124,910,32
22,985,6,174,919,31
23,985,6,130,913,37
24,985,6,82,906,38
25,985,6,116,910,34
26,985,6,98,910,34
27,985,6,88,910,24
28,985,6,130,911,37
29,985,6,100,918,29
30,985,6,68,916,28
31,985,6,160,916,41
32,985,6,118,916,29
33,985,6,66,912,31
34,985,6,66,912,27
35,985,6,174,910,22
36,985,6,150,906,47
37,985,6,112,916,29
38,985,6,118,912,47
39,985,6,236,912,32
40,985,6,120,910,48
41,985,6,174,902,37
42,985,6,132,914,32
43,985,6,112,918,23
44,985,6,116,915,27
45,985,6,50,921,50
46,985,6,72,913,51
47,985,6,96,906,27
48,985,6,144,921,39
49,985,6,28,906,36
50,985,6,156,921,52
51,985,6,122,914,37
52,985,6,60,910,35
53,985,6,100,909,42
54,985,6,60,921,61
55,985,6,82,921,55
56,985,6,156,920,34
57,985,6,124,912,34
58,985,6,160,917,51
59,985,6,102,916,57
60,985,6,144,914,26
61,985,6,18,913,37
62,985,6,170,916,35
63,985,6,100,915,20
64,985,6,46,913,40
65,985,6,52,903,25
66,985,6,36,915,24
67,985,6,92,909,48
68,985,6,162,912,40
69,985,6,182,919,32
70,985,6,86,910,42
71,985,6,148,919,34
72,985,6,116,915,26
73,985,6,38,909,46
74,985,6,82,909,49
75,985,6,154,919,47
76,985,6,142,921,49
77,985,6,64,911,30
78,985,6,90,914,33
79,985,6,124,919,25
80,985,6,188,911,29
81,985,6,196,912,41
82,985,6,60,909,38
83,985,6,180,908,46
84,985,6,132,912,35
85,985,6,78,898,34
86,985,6,186,916,35
87,985,6,196,921,35
88,985,6,92,910,40
89,985,6,172,912,42
90,985,6,132,909,38
91,985,6,78,915,39
92,985,6,144,911,22
93,985,6,70,918,42
94,985,6,96,909,46
95,985,6,56,909,34
96,985,6,120,911,27
97,985,6,152,912,30
98,985,6,112,911,58
99,985,6,66,914,30
