,n,k,n_in_cycles
0,1,8,994
1,1,8,1020
2,1,8,1101
3,1,8,1100
4,1,8,1026
5,1,8,992
6,1,8,1142
7,1,8,1004
8,2,8,941
9,2,8,1215
10,1,8,960
11,2,8,1006
12,1,8,1082
13,2,8,1043
14,1,8,1147
15,1,8,952
16,2,8,1043
17,1,8,977
18,1,8,1010
19,1,8,1082
20,2,8,1022
21,1,8,1042
22,1,8,1047
23,1,8,1008
24,1,8,1000
25,1,8,1046
26,2,8,1034
27,1,8,1120
28,2,8,1065
29,1,8,984
30,2,8,997
31,2,8,970
32,1,8,1035
33,1,8,1071
34,1,8,1070
35,1,8,1014
36,1,8,1126
37,1,8,969
38,1,8,1037
39,1,8,955
40,3,8,1151
41,1,8,1003
42,2,8,867
43,1,8,1050
44,1,8,1024
45,1,8,957
46,1,8,1080
47,1,8,1112
48,1,8,1114
49,2,8,1046
50,1,8,1025
51,1,8,1160
52,1,8,948
53,2,8,990
54,1,8,1102
55,1,8,1004
56,1,8,1147
57,1,8,1041
58,1,8,1135
59,1,8,1038
60,1,8,1147
61,1,8,1042
62,3,8,1127
63,1,8,971
64,1,8,954
65,2,8,1054
66,1,8,1043
67,1,8,1077
68,1,8,1072
69,1,8,1114
70,1,8,958
71,1,8,924
72,1,8,1071
73,1,8,1049
74,2,8,1017
75,1,8,931
76,2,8,1048
77,1,8,1009
78,1,8,1005
79,1,8,1013
80,1,8,988
81,1,8,985
82,1,8,984
83,1,8,938
84,1,8,1040
85,1,8,910
86,2,8,1088
87,1,8,1091
88,2,8,883
89,1,8,941
90,1,8,1047
91,1,8,989
92,1,8,995
93,2,8,928
94,1,8,1040
95,1,8,982
96,1,8,1042
97,2,8,1008
98,2,8,895
99,1,8,1149
