,n,k,n_in_cycles
0,2,8,92
1,2,8,78
2,1,8,96
3,1,8,86
4,1,8,69
5,3,8,71
6,1,8,83
7,1,8,140
8,1,8,92
9,2,8,69
10,3,8,40
11,1,8,105
12,2,8,106
13,1,8,106
14,4,8,68
15,3,8,71
16,1,8,98
17,1,8,104
18,2,8,27
19,2,8,62
20,1,8,95
21,1,8,84
22,1,8,95
23,1,8,99
24,1,8,81
25,1,8,109
26,1,8,63
27,2,8,113
28,1,8,113
29,1,8,102
30,1,8,103
31,2,8,98
32,2,8,86
33,2,8,67
34,1,8,63
35,2,8,67
36,1,8,99
37,1,8,99
38,2,8,90
39,1,8,111
40,1,8,113
41,1,8,76
42,1,8,123
43,2,8,119
44,1,8,69
45,1,8,87
46,1,8,91
47,1,8,150
48,3,8,35
49,1,8,108
50,2,8,56
51,1,8,95
52,2,8,77
53,1,8,49
54,1,8,75
55,2,8,35
56,1,8,115
57,1,8,87
58,2,8,79
59,2,8,101
60,1,8,71
61,1,8,112
62,2,8,65
63,1,8,72
64,1,8,36
65,2,8,90
66,3,8,31
67,2,8,71
68,1,8,64
69,1,8,76
70,1,8,105
71,1,8,85
72,1,8,81
73,1,8,147
74,1,8,111
75,1,8,111
76,1,8,94
77,4,8,23
78,2,8,129
79,2,8,73
80,1,8,106
81,1,8,68
82,2,8,90
83,1,8,87
84,1,8,71
85,2,8,74
86,1,8,102
87,1,8,70
88,1,8,102
89,1,8,129
90,1,8,50
91,1,8,74
92,1,8,113
93,2,8,91
94,3,8,48
95,1,8,85
96,3,8,84
97,3,8,30
98,2,8,96
99,1,8,60
