,n,k,n_changes,n_matches
0,56815,5,821,51652
1,56815,5,1238,51616
2,56815,5,1157,51638
3,56815,5,821,51630
4,56815,5,1127,51560
5,56815,5,855,51640
6,56815,5,1497,51622
7,56815,5,778,51585
8,56815,5,775,51533
9,56815,5,1186,51629
10,56815,5,875,51622
11,56815,5,960,51561
12,56815,5,923,51661
13,56815,5,882,51625
14,56815,5,983,51684
15,56815,5,877,51640
16,56815,5,1058,51544
17,56815,5,987,51587
18,56815,5,1043,51623
19,56815,5,629,51585
20,56815,5,975,51593
21,56815,5,935,51570
22,56815,5,614,51652
23,56815,5,1236,51647
24,56815,5,674,51713
25,56815,5,840,51549
26,56815,5,718,51704
27,56815,5,1201,51583
28,56815,5,1074,51618
29,56815,5,906,51652
30,56815,5,913,51710
31,56815,5,1188,51661
32,56815,5,905,51586
33,56815,5,892,51700
34,56815,5,899,51654
35,56815,5,530,51659
36,56815,5,999,51599
37,56815,5,834,51642
38,56815,5,671,51669
39,56815,5,860,51567
40,56815,5,1126,51639
41,56815,5,673,51520
42,56815,5,996,51674
43,56815,5,920,51594
44,56815,5,1058,51614
45,56815,5,793,51592
46,56815,5,877,51618
47,56815,5,976,51609
48,56815,5,1236,51645
49,56815,5,928,51551
50,56815,5,925,51545
51,56815,5,1075,51640
52,56815,5,798,51559
53,56815,5,921,51546
54,56815,5,877,51614
55,56815,5,594,51470
56,56815,5,1108,51608
57,56815,5,1072,51632
58,56815,5,948,51623
59,56815,5,720,51644
60,56815,5,817,51633
61,56815,5,936,51576
62,56815,5,678,51633
63,56815,5,1056,51515
64,56815,5,944,51661
65,56815,5,768,51564
66,56815,5,728,51624
67,56815,5,1025,51608
68,56815,5,757,51579
69,56815,5,992,51647
70,56815,5,901,51620
71,56815,5,918,51642
72,56815,5,866,51564
73,56815,5,974,51575
74,56815,5,1197,51751
75,56815,5,1397,51642
76,56815,5,743,51637
77,56815,5,504,51576
78,56815,5,733,51614
79,56815,5,798,51584
80,56815,5,843,51567
81,56815,5,1161,51644
82,56815,5,1083,51677
83,56815,5,763,51595
84,56815,5,963,51674
85,56815,5,732,51655
86,56815,5,936,51532
87,56815,5,1105,51606
88,56815,5,1200,51583
89,56815,5,1047,51636
90,56815,5,743,51611
91,56815,5,1049,51668
92,56815,5,997,51617
93,56815,5,836,51685
94,56815,5,1114,51609
95,56815,5,756,51598
96,56815,5,829,51626
97,56815,5,832,51581
98,56815,5,470,51647
99,56815,5,745,51563
