,n,k,differences,percent_diff,matches
398,5000,3,0,0.0,4222
399,5000,3,0,0.0,4203
400,5000,3,0,0.0,4228
401,5000,3,0,0.0,4202
402,5000,3,0,0.0,4198
403,5000,3,0,0.0,4206
404,5000,3,0,0.0,4190
405,5000,3,0,0.0,4202
406,5000,3,0,0.0,4203
407,5000,3,6,0.0014381591562799617,4172
408,5000,3,0,0.0,4232
409,5000,3,0,0.0,4224
410,5000,3,0,0.0,4196
411,5000,3,0,0.0,4192
412,5000,3,0,0.0,4196
413,5000,3,0,0.0,4201
414,5000,3,0,0.0,4199
415,5000,3,0,0.0,4209
416,5000,3,0,0.0,4203
417,5000,3,0,0.0,4213
418,5000,3,0,0.0,4206
419,5000,3,0,0.0,4222
420,5000,3,4,0.0009567089213106913,4181
421,5000,3,0,0.0,4191
422,5000,3,0,0.0,4214
423,5000,3,0,0.0,4188
424,5000,3,0,0.0,4201
425,5000,3,0,0.0,4211
426,5000,3,0,0.0,4204
427,5000,3,0,0.0,4202
428,5000,3,0,0.0,4186
429,5000,3,0,0.0,4213
430,5000,3,0,0.0,4189
431,5000,3,0,0.0,4165
432,5000,3,0,0.0,4203
433,5000,3,0,0.0,4244
434,5000,3,0,0.0,4206
435,5000,3,0,0.0,4210
436,5000,3,0,0.0,4200
437,5000,3,0,0.0,4203
438,5000,3,0,0.0,4204
439,5000,3,0,0.0,4218
440,5000,3,0,0.0,4216
441,5000,3,0,0.0,4206
442,5000,3,0,0.0,4204
443,5000,3,0,0.0,4212
444,5000,3,0,0.0,4188
445,5000,3,0,0.0,4202
446,5000,3,0,0.0,4201
447,5000,3,0,0.0,4175
448,5000,3,0,0.0,4210
449,5000,3,0,0.0,4226
450,5000,3,0,0.0,4192
451,5000,3,0,0.0,4220
452,5000,3,0,0.0,4217
453,5000,3,0,0.0,4236
454,5000,3,0,0.0,4223
455,5000,3,0,0.0,4235
456,5000,3,0,0.0,4189
457,5000,3,0,0.0,4203
458,5000,3,0,0.0,4217
459,5000,3,0,0.0,4183
460,5000,3,0,0.0,4210
461,5000,3,0,0.0,4207
462,5000,3,0,0.0,4181
463,5000,3,0,0.0,4190
464,5000,3,4,0.000957166786312515,4179
465,5000,3,0,0.0,4188
466,5000,3,0,0.0,4232
467,5000,3,0,0.0,4209
468,5000,3,0,0.0,4203
469,5000,3,0,0.0,4202
470,5000,3,0,0.0,4227
471,5000,3,0,0.0,4213
472,5000,3,0,0.0,4215
473,5000,3,0,0.0,4188
474,5000,3,0,0.0,4199
475,5000,3,0,0.0,4211
476,5000,3,0,0.0,4220
477,5000,3,0,0.0,4209
478,5000,3,0,0.0,4181
479,5000,3,0,0.0,4192
480,5000,3,4,0.0009532888465204957,4196
481,5000,3,0,0.0,4207
482,5000,3,0,0.0,4195
483,5000,3,0,0.0,4201
484,5000,3,0,0.0,4213
485,5000,3,0,0.0,4181
486,5000,3,0,0.0,4180
487,5000,3,0,0.0,4232
488,5000,3,0,0.0,4213
489,5000,3,6,0.0014261944378416924,4207
490,5000,3,0,0.0,4227
491,5000,3,0,0.0,4179
492,5000,3,6,0.0014292520247737017,4198
493,5000,3,0,0.0,4215
494,5000,3,0,0.0,4208
495,5000,3,0,0.0,4181
496,5000,3,0,0.0,4227
497,5000,3,4,0.0009541984732824427,4192
498,5000,3,0,0.0,4205
499,5000,3,0,0.0,4222
500,5000,3,0,0.0,4198
501,5000,3,0,0.0,4188
502,5000,3,0,0.0,4189
503,5000,3,0,0.0,4194
504,5000,3,0,0.0,4220
505,5000,3,0,0.0,4220
506,5000,3,0,0.0,4189
507,5000,3,0,0.0,4221
508,5000,3,0,0.0,4202
509,5000,3,0,0.0,4217
510,5000,3,0,0.0,4182
511,5000,3,0,0.0,4180
512,5000,3,0,0.0,4202
513,5000,3,0,0.0,4217
514,5000,3,0,0.0,4202
515,5000,3,0,0.0,4198
516,5000,3,0,0.0,4225
517,5000,3,0,0.0,4189
518,5000,3,0,0.0,4206
519,5000,3,4,0.0009494422027059103,4213
520,5000,3,0,0.0,4202
521,5000,3,0,0.0,4188
522,5000,3,0,0.0,4200
523,5000,3,0,0.0,4170
524,5000,3,0,0.0,4193
525,5000,3,0,0.0,4217
526,5000,3,0,0.0,4210
527,5000,3,0,0.0,4209
528,5000,3,0,0.0,4232
529,5000,3,0,0.0,4212
530,5000,3,0,0.0,4209
531,5000,3,0,0.0,4193
532,5000,3,0,0.0,4193
533,5000,3,0,0.0,4208
534,5000,3,0,0.0,4209
535,5000,3,8,0.0019147917663954045,4178
536,5000,3,0,0.0,4244
537,5000,3,0,0.0,4193
538,5000,3,0,0.0,4213
539,5000,3,0,0.0,4212
540,5000,3,0,0.0,4142
541,5000,3,0,0.0,4168
542,5000,3,0,0.0,4211
543,5000,3,0,0.0,4252
544,5000,3,4,0.000949893137022085,4211
545,5000,3,10,0.002382654276864427,4197
546,5000,3,0,0.0,4160
547,5000,3,8,0.0019002375296912114,4210
548,5000,3,0,0.0,4202
549,5000,3,0,0.0,4216
550,5000,3,0,0.0,4195
551,5000,3,0,0.0,4177
552,5000,3,0,0.0,4208
553,5000,3,0,0.0,4231
554,5000,3,0,0.0,4200
555,5000,3,0,0.0,4181
556,5000,3,0,0.0,4203
557,5000,3,0,0.0,4232
558,5000,3,0,0.0,4192
559,5000,3,0,0.0,4199
560,5000,3,0,0.0,4199
561,5000,3,0,0.0,4224
562,5000,3,0,0.0,4209
563,5000,3,0,0.0,4191
564,5000,3,0,0.0,4229
565,5000,3,0,0.0,4195
566,5000,3,0,0.0,4202
567,5000,3,0,0.0,4216
568,5000,3,0,0.0,4226
569,5000,3,14,0.0033460803059273425,4184
570,5000,3,0,0.0,4185
571,5000,3,0,0.0,4200
572,5000,3,0,0.0,4217
573,5000,3,0,0.0,4225
574,5000,3,0,0.0,4188
575,5000,3,0,0.0,4222
576,5000,3,0,0.0,4219
577,5000,3,0,0.0,4202
578,5000,3,0,0.0,4207
579,5000,3,0,0.0,4207
