,n,k,n_cycles,n_agents_in_cycles,n_matches,percent_in_cycles
0,10000,2,0,0,7733,0.0
1,10000,2,0,0,7718,0.0
2,10000,2,0,0,7691,0.0
3,10000,2,0,0,7733,0.0
4,10000,2,1,2,7733,0.000258631837579206
5,10000,2,0,0,7658,0.0
6,10000,2,0,0,7733,0.0
7,10000,2,0,0,7746,0.0
8,10000,2,0,0,7749,0.0
9,10000,2,0,0,7731,0.0
10,10000,2,0,0,7694,0.0
11,10000,2,0,0,7691,0.0
12,10000,2,0,0,7731,0.0
13,10000,2,0,0,7709,0.0
14,10000,2,0,0,7698,0.0
15,10000,2,0,0,7719,0.0
16,10000,2,0,0,7715,0.0
17,10000,2,0,0,7731,0.0
18,10000,2,0,0,7688,0.0
19,10000,2,0,0,7713,0.0
20,10000,2,0,0,7733,0.0
21,10000,2,0,0,7717,0.0
22,10000,2,0,0,7718,0.0
23,10000,2,0,0,7704,0.0
24,10000,2,0,0,7727,0.0
25,10000,2,0,0,7666,0.0
26,10000,2,0,0,7721,0.0
27,10000,2,0,0,7713,0.0
28,10000,2,0,0,7708,0.0
29,10000,2,0,0,7712,0.0
30,10000,2,0,0,7756,0.0
31,10000,2,0,0,7765,0.0
32,10000,2,1,2,7717,0.0002591680704937152
33,10000,2,0,0,7710,0.0
34,10000,2,0,0,7740,0.0
35,10000,2,0,0,7716,0.0
36,10000,2,0,0,7662,0.0
37,10000,2,0,0,7713,0.0
38,10000,2,0,0,7666,0.0
39,10000,2,0,0,7700,0.0
40,10000,2,0,0,7706,0.0
41,10000,2,0,0,7727,0.0
42,10000,2,0,0,7719,0.0
43,10000,2,0,0,7711,0.0
44,10000,2,0,0,7738,0.0
45,10000,2,0,0,7702,0.0
46,10000,2,0,0,7725,0.0
47,10000,2,1,2,7701,0.0002597065316192702
48,10000,2,0,0,7748,0.0
49,10000,2,0,0,7739,0.0
50,10000,2,0,0,7700,0.0
51,10000,2,0,0,7725,0.0
52,10000,2,0,0,7737,0.0
53,10000,2,0,0,7751,0.0
54,10000,2,0,0,7695,0.0
55,10000,2,0,0,7697,0.0
56,10000,2,0,0,7741,0.0
57,10000,2,0,0,7729,0.0
58,10000,2,0,0,7727,0.0
59,10000,2,0,0,7722,0.0
60,10000,2,0,0,7717,0.0
61,10000,2,0,0,7708,0.0
62,10000,2,0,0,7678,0.0
63,10000,2,0,0,7746,0.0
64,10000,2,0,0,7728,0.0
65,10000,2,0,0,7735,0.0
66,10000,2,0,0,7709,0.0
67,10000,2,0,0,7691,0.0
68,10000,2,0,0,7668,0.0
69,10000,2,0,0,7676,0.0
70,10000,2,1,2,7747,0.000258164450755131
71,10000,2,0,0,7698,0.0
72,10000,2,0,0,7734,0.0
73,10000,2,0,0,7712,0.0
74,10000,2,0,0,7728,0.0
75,10000,2,1,2,7712,0.00025933609958506224
76,10000,2,0,0,7694,0.0
77,10000,2,0,0,7749,0.0
78,10000,2,0,0,7728,0.0
79,10000,2,0,0,7696,0.0
80,10000,2,0,0,7725,0.0
81,10000,2,0,0,7732,0.0
82,10000,2,0,0,7700,0.0
83,10000,2,0,0,7726,0.0
84,10000,2,0,0,7685,0.0
85,10000,2,0,0,7646,0.0
86,10000,2,0,0,7702,0.0
87,10000,2,0,0,7723,0.0
88,10000,2,0,0,7653,0.0
89,10000,2,0,0,7726,0.0
90,10000,2,0,0,7732,0.0
91,10000,2,0,0,7708,0.0
92,10000,2,0,0,7720,0.0
93,10000,2,0,0,7719,0.0
94,10000,2,1,2,7741,0.000258364552383413
95,10000,2,0,0,7766,0.0
96,10000,2,0,0,7745,0.0
97,10000,2,0,0,7654,0.0
98,10000,2,0,0,7674,0.0
99,10000,2,0,0,7724,0.0
