,n,k,n_cycles,n_agents_in_cycles,n_matches,percent_in_cycles
0,9000,7,2,2039,8454,0.24118760350130117
1,9000,7,1,2263,8482,0.2668002829521339
2,9000,7,3,1957,8468,0.23110533774208786
3,9000,7,1,2188,8487,0.2578060563214328
4,9000,7,1,2518,8459,0.2976711195176735
5,9000,7,1,1749,8449,0.20700674636051603
6,9000,7,2,2098,8460,0.24799054373522458
7,9000,7,1,2235,8431,0.26509310876527103
8,9000,7,1,2144,8485,0.25268120212139067
9,9000,7,2,1932,8480,0.2278301886792453
10,9000,7,1,1828,8443,0.21651071893876583
11,9000,7,1,2025,8481,0.23876901308807924
12,9000,7,1,2195,8475,0.25899705014749264
13,9000,7,1,1761,8443,0.2085751510126732
14,9000,7,3,2128,8493,0.2505592841163311
15,9000,7,1,2017,8464,0.23830340264650285
16,9000,7,1,2258,8478,0.2663364000943619
17,9000,7,1,2241,8479,0.26430003538153085
18,9000,7,3,1844,8464,0.21786389413988658
19,9000,7,1,2042,8475,0.2409439528023599
20,9000,7,1,2074,8474,0.24474864290771772
21,9000,7,1,2028,8482,0.23909455317142184
22,9000,7,2,2004,8478,0.23637650389242745
23,9000,7,1,2190,8479,0.2582851751385777
24,9000,7,1,1993,8456,0.2356906338694418
25,9000,7,2,1939,8467,0.22900673201842447
26,9000,7,1,2098,8467,0.24778552025510805
27,9000,7,2,1895,8451,0.22423381848301976
28,9000,7,1,1931,8476,0.22781972628598396
29,9000,7,2,1996,8483,0.23529411764705882
30,9000,7,1,2092,8419,0.24848556835728708
31,9000,7,2,1961,8451,0.23204354514258668
32,9000,7,2,2193,8463,0.2591279688053882
33,9000,7,1,2141,8451,0.2533427996686783
34,9000,7,3,1760,8486,0.20740042422814048
35,9000,7,1,2036,8486,0.23992458166391703
36,9000,7,2,1969,8478,0.2322481717386176
37,9000,7,1,2013,8460,0.23794326241134753
38,9000,7,2,1881,8452,0.22255087553241837
39,9000,7,1,1996,8475,0.23551622418879056
40,9000,7,3,2149,8486,0.2532406316285647
41,9000,7,1,2049,8467,0.24199834652179048
42,9000,7,1,2047,8471,0.24164797544563807
43,9000,7,1,2096,8501,0.2465592283260793
44,9000,7,2,2107,8477,0.24855491329479767
45,9000,7,2,1908,8456,0.22563859981078524
46,9000,7,4,2053,8458,0.24272877748876803
47,9000,7,1,2103,8477,0.24808304824820102
48,9000,7,2,2119,8477,0.2499705084345877
49,9000,7,3,2226,8455,0.26327616794795977
50,9000,7,2,2155,8502,0.2534697718183957
51,9000,7,2,1990,8456,0.23533585619678335
52,9000,7,1,2042,8487,0.24060327559797337
53,9000,7,1,1890,8461,0.22337785131781113
54,9000,7,1,2035,8435,0.24125666864256076
55,9000,7,3,2057,8472,0.24279981114258734
56,9000,7,1,1897,8455,0.22436428149024246
57,9000,7,1,2390,8467,0.2822723514822251
58,9000,7,1,1973,8457,0.23329785976114462
59,9000,7,1,2027,8469,0.23934348801511396
60,9000,7,2,2108,8455,0.24931992903607333
61,9000,7,2,2200,8466,0.25986298133711316
62,9000,7,2,2204,8462,0.2604585204443394
63,9000,7,1,2127,8487,0.25061859314245316
64,9000,7,2,2155,8444,0.25521080056845097
65,9000,7,1,1820,8471,0.21485066698146618
66,9000,7,2,2361,8464,0.2789461247637051
67,9000,7,3,2100,8476,0.24775837659273242
68,9000,7,1,1856,8484,0.21876473361621876
69,9000,7,1,2035,8484,0.23986327204148986
70,9000,7,1,1891,8490,0.22273262661955243
71,9000,7,3,2211,8499,0.260148252735616
72,9000,7,1,2066,8486,0.2434598161678058
73,9000,7,1,2026,8458,0.23953653345944667
74,9000,7,2,1841,8460,0.21761229314420805
75,9000,7,1,2044,8475,0.24117994100294984
76,9000,7,1,2382,8470,0.28122786304604486
77,9000,7,1,1901,8472,0.2243862134088763
78,9000,7,1,2118,8503,0.24908855697988946
79,9000,7,1,2174,8473,0.25657972382863214
80,9000,7,1,2077,8490,0.244640753828033
81,9000,7,1,1977,8465,0.23354991139988188
82,9000,7,1,1966,8483,0.2317576329128846
83,9000,7,1,2068,8455,0.24458900059136607
84,9000,7,2,2035,8446,0.240942457968269
85,9000,7,1,2033,8472,0.23996694995278564
86,9000,7,1,2147,8468,0.2535427491733585
87,9000,7,1,2202,8468,0.2600377893245158
88,9000,7,2,1927,8474,0.22740146329950436
89,9000,7,1,2044,8475,0.24117994100294984
90,9000,7,2,1866,8483,0.21996935046563715
91,9000,7,1,2030,8472,0.23961284230406044
92,9000,7,2,1867,8503,0.21956956368340586
93,9000,7,1,2189,8467,0.2585331286169836
94,9000,7,2,2296,8462,0.27133065469156226
95,9000,7,2,1874,8471,0.2212253571006965
96,9000,7,2,2025,8468,0.2391355692017005
97,9000,7,1,1944,8470,0.22951593860684769
98,9000,7,2,2049,8445,0.24262877442273534
99,9000,7,1,2182,8473,0.2575238994452968
