,cycle_length,sim_id
6,9,0
9,9,0
12,7,0
14,4,0
24,4,0
31,4,0
32,8,0
33,4,0
39,3,0
44,12,0
45,9,0
46,4,0
47,13,0
50,11,0
54,4,0
63,3,0
68,9,0
69,9,0
85,8,0
87,8,0
90,3,0
96,9,0
107,10,0
109,3,0
117,8,0
119,8,0
121,8,0
125,7,0
129,8,0
135,4,0
136,7,0
139,14,0
143,14,0
148,4,0
157,6,0
158,6,0
166,14,0
167,14,0
172,11,0
174,10,0
175,6,0
179,4,0
180,4,0
181,9,0
183,4,0
184,6,0
187,3,0
192,9,0
197,8,0
199,8,0
200,8,0
202,6,0
203,7,0
204,3,0
205,3,0
209,7,0
210,7,0
215,11,0
229,2,0
230,4,0
231,10,0
232,9,0
236,3,0
238,3,0
242,2,0
245,8,0
251,8,0
252,8,0
265,10,0
268,8,0
273,8,0
274,8,0
275,11,0
297,9,0
310,14,0
321,10,0
345,6,0
354,11,1
355,13,1
358,11,1
362,6,1
364,6,1
365,12,1
366,11,1
367,7,1
368,6,1
370,11,1
373,7,1
374,7,1
379,14,1
380,14,1
388,8,1
389,10,1
390,13,1
392,11,1
394,5,1
396,8,1
401,11,1
406,11,1
411,12,1
412,12,1
414,13,1
416,10,1
417,17,1
423,14,1
430,8,1
440,12,1
443,9,1
445,13,1
451,11,1
454,10,1
456,11,1
457,11,1
465,14,1
466,11,1
467,4,1
468,11,1
470,11,1
472,15,1
473,8,1
474,3,1
475,3,1
480,11,1
481,11,1
482,11,1
494,14,1
495,8,1
496,8,1
499,9,1
500,14,1
508,11,1
509,6,1
510,17,1
513,11,1
515,13,1
516,9,1
520,14,1
525,12,1
527,12,1
531,16,1
541,4,1
546,13,1
547,6,1
548,15,1
550,6,1
551,5,1
553,5,1
569,8,1
570,8,1
572,10,1
574,10,1
576,6,1
578,13,1
580,13,1
584,8,1
586,23,1
587,10,1
588,8,1
589,13,1
592,6,1
593,10,1
598,13,1
600,6,1
601,3,1
602,14,1
615,5,1
616,4,1
617,4,1
619,11,1
622,8,1
627,11,1
633,6,1
634,7,1
635,7,1
653,5,1
654,13,1
660,11,1
687,13,1
718,6,2
720,12,2
721,13,2
722,2,2
728,12,2
729,12,2
733,6,2
735,12,2
736,7,2
737,3,2
738,3,2
739,5,2
742,5,2
743,15,2
744,15,2
745,5,2
747,5,2
756,10,2
757,10,2
759,10,2
760,10,2
761,9,2
763,3,2
764,3,2
765,13,2
766,9,2
767,3,2
781,10,2
782,11,2
783,7,2
784,12,2
785,3,2
788,5,2
791,7,2
794,3,2
795,12,2
796,13,2
798,13,2
799,8,2
800,8,2
803,12,2
805,12,2
811,17,2
812,17,2
822,12,2
823,3,2
828,18,2
831,12,2
835,14,2
836,14,2
838,10,2
840,9,2
842,3,2
845,7,2
847,5,2
852,7,2
854,11,2
856,12,2
864,7,2
866,3,2
868,5,2
869,10,2
870,5,2
871,5,2
873,5,2
874,11,2
878,12,2
883,5,2
892,12,2
895,9,2
899,18,2
900,9,2
901,7,2
902,3,2
903,3,2
904,8,2
905,3,2
906,10,2
907,3,2
910,3,2
922,2,2
937,6,2
943,2,2
947,12,2
948,11,2
949,3,2
951,6,2
960,9,2
965,7,2
968,3,2
969,7,2
987,3,2
989,9,2
997,18,2
998,6,2
999,10,2
1009,13,2
1013,2,2
1031,6,2
1032,6,2
1036,5,3
1037,5,3
1038,6,3
1039,6,3
1040,5,3
1041,5,3
1042,8,3
1043,5,3
1044,3,3
1049,10,3
1051,10,3
1052,5,3
1056,5,3
1058,6,3
1059,2,3
1061,7,3
1062,7,3
1068,2,3
1074,7,3
1075,14,3
1080,7,3
1082,4,3
1088,10,3
1089,10,3
1091,6,3
1092,6,3
1100,4,3
1101,4,3
1104,8,3
1117,5,3
1136,10,3
1141,8,3
1144,8,3
1148,12,3
1149,5,3
1156,3,3
1157,2,3
1161,5,3
1163,7,3
1164,8,3
1165,7,3
1166,6,3
1172,7,3
1173,7,3
1175,10,3
1176,9,3
1179,8,3
1180,6,3
1181,11,3
1183,4,3
1185,11,3
1186,11,3
1187,11,3
1190,2,3
1191,11,3
1193,10,3
1195,4,3
1197,10,3
1206,14,3
1207,7,3
1209,7,3
1211,3,3
1212,8,3
1217,6,3
1223,4,3
1224,4,3
1225,6,3
1231,3,3
1234,14,3
1236,11,3
1237,5,3
1240,7,3
1243,4,3
1244,4,3
1250,5,3
1252,4,3
1255,3,3
1261,4,3
1265,5,3
1267,5,3
1268,6,3
1272,3,3
1274,6,3
1280,6,3
1281,10,3
1282,7,3
1285,6,3
1287,6,3
1288,8,3
1293,11,3
1294,9,3
1297,5,3
1313,6,3
1316,4,3
1326,7,3
1328,5,3
1329,5,3
1335,9,3
1336,9,3
1340,10,3
1341,5,3
1343,4,3
1355,10,3
1370,8,3
