,cycle_length,sim_id
0,4,0
3,3,0
5,4,0
6,4,0
7,4,0
9,3,0
11,6,0
12,6,0
13,4,0
16,4,0
17,5,0
18,7,0
19,3,0
20,4,0
21,3,0
25,4,0
28,4,0
29,3,0
30,4,0
31,4,0
32,4,0
37,6,0
38,4,0
40,5,0
41,7,0
44,7,0
45,4,0
51,4,0
52,5,0
55,8,0
57,3,0
58,5,0
59,4,0
60,5,0
62,4,0
63,5,0
64,4,0
65,5,0
67,4,0
68,5,0
69,7,0
72,4,0
77,5,0
82,8,0
85,7,0
96,4,1
97,4,1
99,9,1
102,4,1
105,3,1
106,4,1
107,9,1
108,4,1
109,7,1
114,4,1
115,11,1
117,3,1
120,13,1
122,9,1
123,8,1
124,7,1
125,4,1
126,7,1
127,8,1
130,13,1
133,3,1
135,3,1
140,9,1
142,4,1
145,4,1
147,6,1
152,13,1
159,6,1
161,3,1
162,3,1
167,8,1
169,4,1
170,8,1
172,4,1
185,4,2
186,7,2
187,2,2
188,6,2
190,5,2
192,3,2
195,4,2
196,7,2
197,6,2
199,4,2
202,5,2
204,6,2
205,5,2
207,5,2
208,3,2
209,6,2
210,5,2
211,3,2
212,2,2
213,4,2
216,4,2
218,4,2
219,3,2
220,3,2
221,3,2
223,6,2
225,6,2
226,5,2
229,4,2
232,4,2
233,6,2
234,2,2
235,5,2
236,2,2
239,4,2
240,4,2
241,3,2
242,4,2
248,4,2
253,4,2
255,4,2
260,3,2
262,9,2
263,4,2
264,9,2
269,5,2
271,4,2
275,5,2
276,5,2
277,4,2
280,7,3
282,7,3
283,4,3
284,5,3
285,5,3
286,4,3
289,4,3
293,4,3
295,12,3
297,12,3
304,11,3
309,4,3
310,5,3
315,4,3
319,5,3
320,4,3
322,8,3
325,7,3
326,7,3
328,5,3
336,4,3
339,10,3
350,11,3
367,6,4
370,6,4
371,6,4
372,6,4
374,9,4
375,9,4
379,10,4
381,7,4
382,3,4
383,3,4
384,7,4
385,7,4
389,8,4
390,6,4
392,6,4
394,6,4
395,6,4
396,8,4
397,7,4
398,3,4
399,10,4
401,7,4
402,10,4
403,9,4
405,7,4
411,6,4
413,4,4
417,7,4
419,4,4
420,6,4
421,4,4
422,6,4
423,4,4
425,4,4
427,4,4
429,8,4
432,6,4
433,6,4
434,6,4
437,6,4
440,4,4
443,4,4
444,8,4
445,6,4
460,2,5
462,3,5
463,3,5
464,2,5
465,2,5
466,3,5
467,3,5
469,2,5
471,9,5
472,6,5
473,5,5
477,3,5
479,5,5
482,8,5
488,3,5
490,5,5
491,5,5
494,5,5
498,8,5
501,6,5
502,5,5
503,5,5
505,6,5
506,5,5
507,5,5
508,5,5
511,6,5
513,5,5
517,5,5
521,5,5
522,7,5
525,5,5
526,8,5
528,7,5
529,7,5
530,5,5
531,6,5
534,2,5
536,2,5
537,3,5
540,7,5
541,2,5
542,5,5
544,5,5
548,8,5
552,2,6
554,2,6
555,2,6
557,2,6
558,4,6
559,6,6
560,6,6
561,3,6
562,5,6
563,4,6
565,5,6
566,5,6
567,5,6
568,4,6
569,4,6
570,4,6
571,3,6
572,2,6
574,4,6
575,3,6
576,6,6
577,6,6
578,3,6
580,4,6
581,3,6
582,5,6
585,5,6
586,5,6
588,7,6
591,6,6
592,7,6
593,4,6
594,5,6
595,5,6
597,6,6
598,6,6
599,3,6
600,5,6
603,6,6
604,4,6
605,3,6
606,5,6
607,4,6
608,3,6
609,6,6
612,4,6
614,3,6
615,4,6
616,7,6
617,4,6
621,5,6
623,4,6
625,2,6
626,4,6
628,3,6
629,3,6
630,6,6
638,3,6
645,4,7
646,5,7
647,4,7
650,5,7
651,4,7
652,8,7
653,7,7
656,6,7
657,3,7
658,3,7
659,4,7
661,2,7
664,4,7
665,2,7
666,4,7
667,5,7
668,4,7
669,4,7
670,5,7
671,5,7
678,7,7
680,5,7
681,5,7
682,5,7
683,3,7
684,5,7
685,4,7
686,4,7
687,5,7
688,6,7
694,4,7
696,5,7
697,5,7
698,6,7
699,8,7
700,4,7
702,5,7
703,5,7
704,5,7
706,5,7
708,5,7
709,5,7
710,5,7
711,5,7
712,5,7
713,5,7
714,5,7
715,5,7
716,4,7
721,2,7
723,2,7
724,7,7
725,4,7
726,5,7
727,8,7
729,6,7
734,4,7
736,5,7
742,5,8
743,2,8
744,5,8
748,4,8
749,4,8
754,4,8
756,2,8
757,6,8
759,2,8
760,5,8
764,6,8
766,6,8
768,4,8
770,5,8
779,5,8
785,6,8
786,4,8
787,4,8
788,5,8
793,2,8
795,5,8
797,4,8
810,5,8
811,4,8
814,6,8
815,6,8
816,9,8
818,6,8
820,9,8
821,5,8
822,9,8
827,5,8
835,4,9
836,4,9
838,4,9
840,7,9
842,7,9
843,4,9
844,4,9
846,3,9
847,6,9
850,3,9
851,7,9
853,4,9
858,7,9
859,4,9
860,4,9
861,4,9
864,5,9
865,5,9
866,6,9
867,7,9
868,6,9
869,4,9
871,5,9
872,4,9
875,4,9
878,5,9
879,4,9
880,7,9
881,7,9
883,5,9
887,5,9
889,6,9
891,4,9
894,7,9
895,4,9
896,5,9
899,8,9
900,5,9
903,5,9
913,3,9
914,5,9
917,4,9
919,4,9
920,5,9
924,4,9
925,4,9
927,4,10
928,4,10
929,2,10
930,3,10
933,3,10
934,4,10
935,5,10
937,4,10
938,2,10
941,3,10
942,2,10
943,4,10
945,4,10
950,6,10
951,4,10
952,6,10
953,4,10
955,4,10
959,6,10
960,3,10
961,3,10
963,3,10
965,3,10
966,7,10
967,5,10
969,5,10
971,5,10
972,3,10
973,5,10
974,5,10
975,7,10
976,3,10
982,3,10
983,2,10
984,3,10
985,6,10
986,7,10
987,3,10
989,2,10
992,6,10
994,7,10
995,4,10
998,4,10
999,3,10
1003,2,10
1007,3,10
1011,6,10
1018,4,11
1019,6,11
1020,6,11
1021,6,11
1022,7,11
1023,3,11
1028,8,11
1029,8,11
1031,5,11
1034,3,11
1037,9,11
1040,7,11
1045,8,11
1048,7,11
1049,7,11
1050,10,11
1053,4,11
1054,4,11
1056,6,11
1057,7,11
1058,6,11
1059,6,11
1060,8,11
1062,7,11
1063,7,11
1070,4,11
1071,4,11
1073,6,11
1074,6,11
1077,6,11
1079,8,11
1080,5,11
1081,4,11
1083,5,11
1085,7,11
1087,7,11
1088,3,11
1089,4,11
1090,7,11
1094,6,11
1096,5,11
1102,6,11
1105,3,12
1106,3,12
1108,5,12
1115,6,12
1116,6,12
1118,4,12
1119,9,12
1120,6,12
1122,7,12
1131,2,12
1136,4,12
1137,6,12
1138,7,12
1139,4,12
1140,7,12
1141,5,12
1143,7,12
1144,5,12
1147,5,12
1148,3,12
1150,3,12
1152,7,12
1153,8,12
1155,4,12
1157,5,12
1158,6,12
1162,5,12
1164,4,12
1165,4,12
1166,3,12
1167,4,12
1168,8,12
1169,2,12
1173,8,12
1182,7,12
1183,3,12
1185,4,12
1187,5,12
1189,4,12
1196,5,13
1197,5,13
1198,5,13
1199,2,13
1202,5,13
1203,5,13
1205,6,13
1206,7,13
1207,5,13
1208,6,13
1209,6,13
1212,5,13
1213,2,13
1214,5,13
1220,10,13
1221,5,13
1224,7,13
1225,8,13
1226,6,13
1232,4,13
1234,3,13
1235,9,13
1238,7,13
1239,8,13
1240,5,13
1242,5,13
1244,2,13
1245,2,13
1247,5,13
1248,8,13
1249,6,13
1251,11,13
1252,9,13
1254,4,13
1255,4,13
1257,8,13
1259,3,13
1263,2,13
1264,2,13
1265,4,13
1274,9,13
1288,9,14
1291,14,14
1292,7,14
1293,8,14
1294,8,14
1295,7,14
1296,7,14
1300,7,14
1309,3,14
1311,2,14
1312,2,14
1313,4,14
1315,3,14
1317,9,14
1324,3,14
1328,4,14
1329,4,14
1331,9,14
1334,7,14
1335,8,14
1338,9,14
1339,7,14
1340,3,14
1341,7,14
1343,9,14
1345,5,14
1347,5,14
1359,5,14
1360,7,14
1361,4,14
1367,2,14
1372,9,14
1375,2,14
1378,5,15
1379,6,15
1381,3,15
1382,5,15
1383,5,15
1384,3,15
1386,6,15
1390,7,15
1392,7,15
1393,3,15
1394,2,15
1395,7,15
1396,3,15
1398,2,15
1400,4,15
1401,3,15
1402,5,15
1403,4,15
1405,6,15
1409,4,15
1410,4,15
1411,5,15
1412,3,15
1413,7,15
1414,5,15
1416,7,15
1418,4,15
1419,3,15
1424,9,15
1426,4,15
1428,2,15
1429,2,15
1430,5,15
1431,3,15
1433,5,15
1434,7,15
1436,5,15
1437,3,15
1439,2,15
1440,2,15
1441,3,15
1447,5,15
1450,4,15
1451,6,15
1452,9,15
1453,3,15
1454,5,15
1455,5,15
1458,3,15
1459,6,15
1464,2,15
1465,2,15
1466,4,15
1468,6,15
1471,3,15
1476,5,16
1480,5,16
1481,11,16
1484,3,16
1487,7,16
1489,3,16
1490,2,16
1492,10,16
1493,2,16
1495,5,16
1497,4,16
1499,5,16
1501,3,16
1504,4,16
1506,7,16
1509,5,16
1512,7,16
1513,5,16
1514,5,16
1515,9,16
1517,6,16
1522,5,16
1523,4,16
1532,6,16
1534,3,16
1537,8,16
1540,7,16
1542,3,16
1543,3,16
1544,6,16
1545,7,16
1546,8,16
1547,5,16
1549,6,16
1550,5,16
1552,7,16
1555,9,16
1556,5,16
1559,8,16
1563,11,17
1564,11,17
1567,3,17
1569,3,17
1570,4,17
1572,6,17
1575,4,17
1577,5,17
1580,5,17
1582,14,17
1583,11,17
1585,12,17
1588,11,17
1590,9,17
1594,4,17
1595,5,17
1596,4,17
1598,3,17
1599,8,17
1600,8,17
1601,10,17
1603,6,17
1604,7,17
1610,4,17
1611,4,17
1613,2,17
1614,2,17
1616,4,17
1619,4,17
1620,8,17
1621,8,17
1622,5,17
1624,5,17
1625,6,17
1627,4,17
1638,5,17
1640,4,17
1641,4,17
1654,4,18
1655,7,18
1658,5,18
1662,5,18
1663,8,18
1667,4,18
1669,4,18
1671,6,18
1674,4,18
1675,5,18
1676,4,18
1678,5,18
1679,4,18
1681,5,18
1682,5,18
1684,4,18
1685,5,18
1687,3,18
1689,3,18
1690,8,18
1691,8,18
1692,7,18
1693,4,18
1694,7,18
1695,5,18
1697,3,18
1700,8,18
1702,4,18
1703,7,18
1704,6,18
1705,3,18
1708,6,18
1711,4,18
1713,6,18
1714,6,18
1716,6,18
1722,4,18
1723,2,18
1725,5,18
1726,2,18
1728,3,18
1729,5,18
1733,5,18
1737,6,18
1739,3,18
1747,4,19
1748,3,19
1750,7,19
1751,7,19
1754,5,19
1757,4,19
1760,6,19
1762,4,19
1764,5,19
1766,5,19
1770,4,19
1772,5,19
1776,5,19
1779,3,19
1780,3,19
1781,2,19
1782,5,19
1783,4,19
1784,2,19
1786,4,19
1791,10,19
1792,3,19
1793,5,19
1794,3,19
1795,3,19
1796,6,19
1798,13,19
1799,8,19
1803,2,19
1807,5,19
1815,13,19
1820,12,19
1821,13,19
1822,9,19
1823,7,19
1827,3,19
1828,9,19
1836,4,19
1842,3,20
1843,4,20
1844,4,20
1845,3,20
1847,6,20
1849,4,20
1850,6,20
1851,4,20
1853,4,20
1854,4,20
1855,6,20
1858,5,20
1860,3,20
1863,2,20
1864,6,20
1866,4,20
1867,6,20
1868,7,20
1870,5,20
1871,2,20
1872,4,20
1873,2,20
1874,5,20
1875,6,20
1877,7,20
1878,7,20
1879,5,20
1880,7,20
1881,7,20
1886,6,20
1888,3,20
1889,8,20
1890,9,20
1891,8,20
1892,9,20
1896,9,20
1897,6,20
1898,3,20
1900,4,20
1901,6,20
1903,6,20
1904,5,20
1908,4,20
1911,9,20
1912,4,20
1915,3,20
1916,6,20
1918,3,20
1922,4,20
1924,5,20
1929,6,20
1930,4,20
1932,5,20
1933,4,21
1934,2,21
1939,4,21
1943,2,21
1944,9,21
1948,2,21
1949,5,21
1960,4,21
1962,4,21
1963,10,21
1973,4,21
1981,5,21
1992,8,21
1993,9,21
1995,9,21
1996,2,21
2001,10,21
2004,9,21
2005,9,21
2008,4,21
2009,8,21
2015,10,21
2022,9,21
2028,2,22
2031,5,22
2032,2,22
2035,5,22
2042,3,22
2043,3,22
2051,5,22
2053,5,22
2054,4,22
2057,4,22
2063,3,22
2070,5,22
2072,6,22
2087,4,22
2095,4,22
2106,6,23
2107,7,23
2108,3,23
2109,5,23
2110,3,23
2111,3,23
2112,6,23
2113,8,23
2115,5,23
2116,5,23
2118,3,23
2119,3,23
2120,6,23
2121,5,23
2122,3,23
2123,3,23
2124,2,23
2125,5,23
2126,2,23
2127,3,23
2128,3,23
2129,3,23
2132,3,23
2135,4,23
2136,2,23
2137,3,23
2138,3,23
2139,3,23
2144,5,23
2147,3,23
2152,5,23
2154,5,23
2156,5,23
2157,5,23
2158,3,23
2159,2,23
2160,3,23
2161,5,23
2162,3,23
2163,6,23
2165,4,23
2166,6,23
2167,5,23
2168,5,23
2169,4,23
2170,5,23
2173,2,23
2177,6,23
2178,5,23
2182,5,23
2185,5,23
2187,5,23
2188,5,23
2190,3,23
2192,4,23
2193,7,23
2194,2,23
2204,10,24
2207,5,24
2208,4,24
2210,5,24
2211,5,24
2213,4,24
2214,11,24
2215,4,24
2220,5,24
2221,5,24
2224,5,24
2226,4,24
2228,6,24
2229,4,24
2230,5,24
2231,9,24
2232,9,24
2234,8,24
2235,6,24
2236,7,24
2237,2,24
2238,2,24
2240,4,24
2243,4,24
2244,5,24
2245,5,24
2246,5,24
2247,5,24
2248,6,24
2249,5,24
2251,5,24
2252,8,24
2253,5,24
2255,5,24
2258,5,24
2260,4,24
2261,5,24
2263,5,24
2264,10,24
2266,4,24
2268,3,24
2269,2,24
2271,10,24
2272,5,24
2274,3,24
2275,2,24
2278,5,24
2281,4,24
2282,5,24
2284,6,24
2285,11,24
2286,7,24
2289,4,24
2294,2,25
2295,6,25
2296,6,25
2297,5,25
2299,5,25
2300,2,25
2301,6,25
2302,7,25
2303,3,25
2304,4,25
2305,3,25
2307,8,25
2308,5,25
2310,8,25
2311,4,25
2315,5,25
2316,2,25
2319,5,25
2320,5,25
2323,4,25
2324,3,25
2325,3,25
2327,10,25
2328,10,25
2329,8,25
2330,7,25
2331,8,25
2334,3,25
2335,5,25
2336,3,25
2339,7,25
2344,2,25
2347,4,25
2348,4,25
2351,5,25
2354,7,25
2355,4,25
2356,8,25
2358,7,25
2359,4,25
2360,11,25
2363,7,25
2364,4,25
2365,3,25
2368,5,25
2370,4,25
2372,3,25
2373,7,25
2375,8,25
2380,11,25
2390,5,26
2391,6,26
2395,2,26
2396,4,26
2398,5,26
2401,4,26
2403,4,26
2405,4,26
2406,2,26
2407,10,26
2408,5,26
2409,8,26
2411,10,26
2412,10,26
2413,4,26
2414,9,26
2415,6,26
2416,3,26
2418,2,26
2419,6,26
2421,8,26
2423,5,26
2424,2,26
2425,7,26
2427,2,26
2431,9,26
2435,5,26
2437,2,26
2438,4,26
2439,6,26
2440,4,26
2441,8,26
2444,4,26
2445,2,26
2446,3,26
2448,4,26
2449,2,26
2451,7,26
2452,4,26
2453,5,26
2454,7,26
2455,5,26
2458,8,26
2459,5,26
2460,4,26
2461,10,26
2463,4,26
2469,4,26
2476,8,26
2485,2,27
2487,8,27
2488,6,27
2489,5,27
2491,6,27
2493,2,27
2494,3,27
2495,2,27
2496,3,27
2500,5,27
2501,3,27
2502,7,27
2503,8,27
2504,5,27
2505,5,27
2506,5,27
2507,6,27
2508,7,27
2509,5,27
2516,6,27
2519,2,27
2521,2,27
2522,7,27
2524,10,27
2525,3,27
2527,4,27
2529,3,27
2530,7,27
2532,6,27
2533,2,27
2534,7,27
2535,7,27
2536,5,27
2538,6,27
2543,5,27
2546,4,27
2547,6,27
2550,4,27
2553,3,27
2556,6,27
2560,5,27
2561,5,27
