,cycle_length,sim_id
1,4,0
3,2,0
6,6,0
14,8,0
15,10,0
16,6,0
17,9,0
19,9,0
20,10,0
21,14,0
22,6,0
23,9,0
24,13,0
27,9,0
28,9,0
29,8,0
40,6,0
41,6,0
43,6,0
44,8,0
47,13,0
48,6,0
49,9,0
50,8,0
51,9,0
52,6,0
55,13,0
56,9,0
57,9,0
60,4,0
62,6,0
66,6,0
68,5,0
69,5,0
72,4,0
74,6,0
75,6,0
81,13,0
82,6,0
85,8,0
98,5,0
102,5,0
103,6,0
106,6,0
109,6,0
110,7,0
111,6,0
112,4,0
113,2,0
115,6,0
123,5,0
126,6,0
127,12,0
133,6,0
136,6,0
141,6,0
144,7,0
154,2,0
155,2,0
157,6,0
159,12,0
161,12,0
175,2,1
176,6,1
177,6,1
178,6,1
179,7,1
181,7,1
182,9,1
189,6,1
197,2,1
199,10,1
200,6,1
203,2,1
205,6,1
212,7,1
213,5,1
214,5,1
215,6,1
217,7,1
218,6,1
223,5,1
226,8,1
233,5,1
234,7,1
235,8,1
238,5,1
241,5,1
246,4,1
249,2,1
253,7,1
257,4,1
258,7,1
259,4,1
260,10,1
264,7,1
265,4,1
266,4,1
267,4,1
268,4,1
276,4,1
280,4,1
282,14,1
302,4,1
304,6,1
306,4,1
307,6,1
308,4,1
317,4,1
318,4,1
320,4,1
324,4,1
326,7,1
330,6,1
334,6,1
343,8,1
349,9,2
351,4,2
353,7,2
354,3,2
355,11,2
356,7,2
357,4,2
362,7,2
364,9,2
366,4,2
368,7,2
371,11,2
373,2,2
374,4,2
375,8,2
376,4,2
377,6,2
379,13,2
380,6,2
381,8,2
385,15,2
387,9,2
389,8,2
390,8,2
392,9,2
398,4,2
400,17,2
403,11,2
404,11,2
405,5,2
406,2,2
407,4,2
408,6,2
413,7,2
415,7,2
418,7,2
421,7,2
422,4,2
423,4,2
425,4,2
426,2,2
428,4,2
429,4,2
433,9,2
436,7,2
437,4,2
438,4,2
439,12,2
442,3,2
446,4,2
453,9,2
454,9,2
