,cycle_length,sim_id
161,12,1
162,4,1
163,4,1
168,5,1
171,4,1
177,11,1
179,9,1
180,9,1
183,9,1
211,5,1
212,5,1
225,5,1
231,12,1
234,9,1
236,9,1
237,11,1
238,11,1
242,9,1
258,4,1
259,12,1
274,9,1
275,11,1
276,9,1
280,5,1
312,9,1
322,5,2
324,5,2
326,8,2
327,8,2
330,8,2
338,8,2
339,5,2
350,6,2
359,5,2
360,5,2
368,6,2
369,5,2
374,8,2
396,5,2
397,11,2
399,6,2
404,9,2
405,5,2
407,8,2
409,5,2
410,5,2
411,5,2
414,8,2
419,5,2
420,6,2
441,5,2
452,5,2
455,8,2
456,6,2
466,6,2
476,8,3
477,5,3
478,5,3
479,4,3
481,6,3
482,6,3
484,5,3
485,8,3
490,4,3
495,10,3
496,10,3
497,7,3
498,9,3
499,7,3
514,10,3
515,10,3
517,6,3
518,6,3
520,10,3
521,5,3
524,7,3
525,5,3
530,8,3
531,8,3
532,8,3
538,7,3
539,5,3
540,4,3
545,4,3
547,10,3
548,10,3
550,5,3
553,8,3
561,4,3
563,3,3
564,3,3
565,5,3
567,7,3
570,4,3
573,4,3
575,5,3
576,7,3
584,7,3
596,8,3
601,5,3
602,5,3
606,7,3
610,7,3
611,5,3
614,4,3
622,3,3
669,5,4
671,5,4
683,8,4
684,8,4
696,5,4
700,9,4
701,9,4
719,8,4
720,8,4
721,5,4
722,8,4
730,9,4
757,5,4
786,8,4
798,9,5
799,7,5
802,2,5
803,2,5
805,4,5
814,3,5
820,5,5
821,6,5
822,5,5
824,6,5
829,4,5
836,5,5
837,6,5
839,8,5
841,6,5
854,8,5
855,8,5
859,8,5
860,3,5
863,10,5
864,10,5
867,6,5
869,6,5
870,5,5
874,8,5
876,5,5
879,2,5
880,2,5
883,12,5
885,13,5
886,7,5
887,7,5
888,6,5
895,7,5
896,6,5
900,3,5
901,7,5
903,5,5
905,7,5
906,12,5
907,12,5
909,9,5
912,13,5
916,7,5
919,9,5
920,9,5
921,12,5
927,12,5
931,7,5
945,12,5
948,5,5
949,9,5
980,2,6
983,2,6
988,3,6
1020,3,6
1026,4,6
1036,4,6
1037,3,6
1132,9,7
1133,9,7
1134,6,7
1135,6,7
1136,11,7
1150,6,7
1152,6,7
1156,8,7
1168,4,7
1169,4,7
1178,4,7
1190,4,7
1200,8,7
1205,10,7
1206,6,7
1225,10,7
1226,10,7
1238,8,7
1239,8,7
1242,6,7
1254,10,7
1283,9,7
1300,4,8
1301,4,8
1309,6,8
1310,6,8
1314,6,8
1315,4,8
1316,3,8
1317,3,8
1329,2,8
1330,2,8
1336,9,8
1338,10,8
1339,6,8
1342,5,8
1345,3,8
1346,9,8
1350,3,8
1352,3,8
1353,6,8
1356,3,8
1358,3,8
1360,4,8
1362,6,8
1363,3,8
1364,6,8
1365,6,8
1368,3,8
1378,4,8
1384,6,8
1385,6,8
1387,7,8
1388,2,8
1389,6,8
1391,10,8
1398,10,8
1411,4,8
1421,2,8
1427,3,8
1433,3,8
1439,4,8
1445,6,8
1446,6,8
1450,5,8
1452,3,8
1453,4,8
1455,4,8
1457,6,8
1464,5,8
1472,8,9
1473,8,9
1481,6,9
1482,8,9
1484,6,9
1488,9,9
1489,9,9
1491,8,9
1496,8,9
1498,8,9
1506,13,9
1508,13,9
1511,13,9
1512,8,9
1528,17,9
1536,6,9
1539,6,9
1547,19,9
1563,13,9
1564,8,9
1566,9,9
1569,13,9
1572,9,9
1576,8,9
1581,9,9
1587,6,9
1588,6,9
1589,8,9
1592,17,9
1613,6,9
1624,19,9
1638,3,10
1641,3,10
1643,6,10
1644,6,10
1645,4,10
1646,11,10
1649,3,10
1653,7,10
1654,3,10
1655,6,10
1656,6,10
1660,7,10
1666,6,10
1670,6,10
1671,9,10
1674,4,10
1676,8,10
1677,6,10
1678,7,10
1679,6,10
1680,7,10
1681,6,10
1682,3,10
1700,6,10
1702,3,10
1711,11,10
1727,4,10
1728,4,10
1729,9,10
1736,6,10
1737,7,10
1740,11,10
1761,8,10
1769,8,10
1777,7,10
1905,6,11
1907,3,11
1933,3,11
1934,3,11
1936,6,11
1947,6,11
1983,4,12
1989,4,12
1990,4,12
1993,8,12
1995,8,12
1997,8,12
1998,8,12
2003,9,12
2019,8,12
2037,5,12
2038,5,12
2041,8,12
2054,8,12
2057,8,12
2069,8,12
2086,4,12
2144,10,13
2151,7,13
2153,9,13
2157,10,13
2166,9,13
2167,9,13
2174,5,13
2175,2,13
2176,11,13
2177,2,13
2179,5,13
2181,5,13
2182,15,13
2185,5,13
2186,5,13
2191,9,13
2198,5,13
2201,7,13
2204,12,13
2206,3,13
2207,11,13
2208,10,13
2209,9,13
2210,10,13
2214,13,13
2215,13,13
2216,9,13
2219,5,13
2220,5,13
2222,9,13
2227,3,13
2228,9,13
2231,3,13
2235,9,13
2251,9,13
2253,13,13
2260,4,13
2263,7,13
2264,5,13
2268,15,13
2273,10,13
2277,10,13
2279,10,13
2281,10,13
2282,4,13
2289,9,13
2292,4,13
2293,4,13
2296,7,13
2299,10,13
2300,10,13
2327,13,14
2328,13,14
2334,13,14
2348,13,14
2351,13,14
2353,13,14
2363,13,14
2375,13,14
2376,13,14
2377,13,14
2415,13,14
2443,13,14
2444,13,14
2462,9,15
2465,3,15
2466,3,15
2467,2,15
2471,6,15
2472,6,15
2473,11,15
2474,5,15
2475,5,15
2490,5,15
2497,9,15
2502,15,15
2507,7,15
2509,5,15
2511,2,15
2512,7,15
2517,9,15
2521,9,15
2524,13,15
2528,6,15
2530,9,15
2533,5,15
2534,5,15
2538,3,15
2539,7,15
2545,7,15
2554,7,15
2555,7,15
2567,6,15
2570,5,15
2574,11,15
2575,5,15
2582,13,15
2587,5,15
2589,5,15
2598,15,15
2629,8,16
2631,8,16
2633,10,16
2636,4,16
2639,4,16
2642,10,16
2645,2,16
2646,2,16
2655,4,16
2656,11,16
2664,4,16
2672,3,16
2696,11,16
2707,7,16
2708,7,16
2710,8,16
2733,8,16
2734,8,16
2735,8,16
2739,10,16
2740,8,16
2744,8,16
2752,3,16
2753,3,16
2762,8,16
2763,8,16
2797,4,17
2801,2,17
2822,5,17
2838,5,17
2851,4,17
2855,2,17
