,n,k,n_changes,n_matches
265,2000,8,457,1904
266,2000,8,416,1896
267,2000,8,484,1901
268,2000,8,468,1898
269,2000,8,452,1909
270,2000,8,480,1904
271,2000,8,494,1916
272,2000,8,471,1904
273,2000,8,410,1910
274,2000,8,291,1900
275,2000,8,327,1901
276,2000,8,463,1897
277,2000,8,436,1895
278,2000,8,427,1905
279,2000,8,482,1891
280,2000,8,506,1912
281,2000,8,357,1913
282,2000,8,421,1906
283,2000,8,401,1908
284,2000,8,427,1907
285,2000,8,514,1905
286,2000,8,468,1908
287,2000,8,510,1910
288,2000,8,442,1891
289,2000,8,413,1901
290,2000,8,417,1904
291,2000,8,465,1905
292,2000,8,427,1898
293,2000,8,511,1894
294,2000,8,464,1903
295,2000,8,403,1896
296,2000,8,453,1905
297,2000,8,521,1903
298,2000,8,459,1898
299,2000,8,417,1908
300,2000,8,447,1896
301,2000,8,488,1901
302,2000,8,443,1913
303,2000,8,486,1911
304,2000,8,515,1895
305,2000,8,495,1914
306,2000,8,454,1902
307,2000,8,453,1886
308,2000,8,517,1908
309,2000,8,432,1901
310,2000,8,560,1915
311,2000,8,435,1905
312,2000,8,379,1906
313,2000,8,450,1899
314,2000,8,441,1911
315,2000,8,439,1916
316,2000,8,417,1898
317,2000,8,391,1904
318,2000,8,467,1898
319,2000,8,387,1901
320,2000,8,400,1909
321,2000,8,504,1912
322,2000,8,429,1902
323,2000,8,357,1908
324,2000,8,436,1913
325,2000,8,495,1895
326,2000,8,472,1912
327,2000,8,454,1909
328,2000,8,468,1904
329,2000,8,406,1908
330,2000,8,414,1899
331,2000,8,418,1902
332,2000,8,435,1916
333,2000,8,472,1907
334,2000,8,440,1905
335,2000,8,513,1896
336,2000,8,396,1907
337,2000,8,449,1903
338,2000,8,390,1906
339,2000,8,492,1907
340,2000,8,489,1905
341,2000,8,548,1911
342,2000,8,477,1906
343,2000,8,517,1904
344,2000,8,429,1895
345,2000,8,384,1917
346,2000,8,380,1906
347,2000,8,465,1891
348,2000,8,435,1894
349,2000,8,431,1903
350,2000,8,500,1915
351,2000,8,381,1904
352,2000,8,500,1901
353,2000,8,453,1913
354,2000,8,513,1912
355,2000,8,438,1898
356,2000,8,527,1897
357,2000,8,502,1906
358,2000,8,407,1895
359,2000,8,467,1909
360,2000,8,391,1899
361,2000,8,328,1901
362,2000,8,409,1904
363,2000,8,550,1902
364,2000,8,387,1905
365,2000,8,377,1903
366,2000,8,420,1904
367,2000,8,453,1896
368,2000,8,446,1904
369,2000,8,463,1912
370,2000,8,379,1912
371,2000,8,372,1892
372,2000,8,481,1901
373,2000,8,462,1909
374,2000,8,507,1902
375,2000,8,442,1915
376,2000,8,440,1898
377,2000,8,415,1896
378,2000,8,413,1903
379,2000,8,521,1906
380,2000,8,485,1892
381,2000,8,328,1900
382,2000,8,481,1902
383,2000,8,484,1901
384,2000,8,369,1908
385,2000,8,390,1902
386,2000,8,534,1898
387,2000,8,499,1907
388,2000,8,375,1896
389,2000,8,418,1906
390,2000,8,412,1900
391,2000,8,443,1900
392,2000,8,512,1904
393,2000,8,566,1918
394,2000,8,391,1899
395,2000,8,428,1904
396,2000,8,489,1907
397,2000,8,451,1905
398,2000,8,326,1904
399,2000,8,430,1908
400,2000,8,450,1904
401,2000,8,367,1902
402,2000,8,437,1900
403,2000,8,434,1899
404,2000,8,423,1904
405,2000,8,454,1906
406,2000,8,447,1888
407,2000,8,367,1905
408,2000,8,403,1902
409,2000,8,432,1895
410,2000,8,458,1907
411,2000,8,542,1898
412,2000,8,404,1906
413,2000,8,425,1910
414,2000,8,514,1910
415,2000,8,468,1898
416,2000,8,619,1905
417,2000,8,439,1902
418,2000,8,352,1910
419,2000,8,405,1917
420,2000,8,445,1897
421,2000,8,456,1904
422,2000,8,428,1911
423,2000,8,401,1904
424,2000,8,423,1898
425,2000,8,442,1899
426,2000,8,406,1902
427,2000,8,447,1889
428,2000,8,411,1905
429,2000,8,455,1915
430,2000,8,478,1903
431,2000,8,395,1896
432,2000,8,472,1912
433,2000,8,447,1916
434,2000,8,425,1906
435,2000,8,515,1904
436,2000,8,408,1895
437,2000,8,509,1905
438,2000,8,466,1901
439,2000,8,403,1906
440,2000,8,440,1897
441,2000,8,439,1908
442,2000,8,512,1906
443,2000,8,525,1895
444,2000,8,449,1901
445,2000,8,558,1899
446,2000,8,433,1920
447,2000,8,535,1906
448,2000,8,433,1904
449,2000,8,418,1904
450,2000,8,455,1904
451,2000,8,445,1900
452,2000,8,432,1891
453,2000,8,356,1905
454,2000,8,399,1911
455,2000,8,491,1900
456,2000,8,419,1891
457,2000,8,514,1909
458,2000,8,415,1910
459,2000,8,480,1907
460,2000,8,436,1897
461,2000,8,506,1902
462,2000,8,532,1902
463,2000,8,469,1906
464,2000,8,442,1904
465,2000,8,368,1896
466,2000,8,486,1897
467,2000,8,417,1904
468,2000,8,350,1917
469,2000,8,374,1909
470,2000,8,439,1908
471,2000,8,489,1905
472,2000,8,449,1909
473,2000,8,442,1907
474,2000,8,415,1898
475,2000,8,548,1909
476,2000,8,367,1902
477,2000,8,419,1906
478,2000,8,438,1908
479,2000,8,440,1898
480,2000,8,412,1895
481,2000,8,364,1900
482,2000,8,525,1900
483,2000,8,385,1910
484,2000,8,428,1902
485,2000,8,463,1903
486,2000,8,404,1915
487,2000,8,446,1915
488,2000,8,405,1904
489,2000,8,367,1910
490,2000,8,423,1894
491,2000,8,431,1896
492,2000,8,573,1908
493,2000,8,469,1905
494,2000,8,410,1905
495,2000,8,480,1904
496,2000,8,419,1893
497,2000,8,398,1902
498,2000,8,381,1901
499,2000,8,449,1909
500,2000,8,442,1897
501,2000,8,510,1903
502,2000,8,505,1916
503,2000,8,468,1910
504,2000,8,440,1906
505,2000,8,510,1900
506,2000,8,436,1899
507,2000,8,477,1911
508,2000,8,512,1898
509,2000,8,469,1899
510,2000,8,472,1902
511,2000,8,444,1906
512,2000,8,421,1904
513,2000,8,508,1908
514,2000,8,400,1908
515,2000,8,513,1906
516,2000,8,452,1906
517,2000,8,528,1905
518,2000,8,498,1898
519,2000,8,362,1901
520,2000,8,381,1904
521,2000,8,472,1892
522,2000,8,462,1896
523,2000,8,427,1905
524,2000,8,398,1901
525,2000,8,431,1905
526,2000,8,445,1910
527,2000,8,437,1910
528,2000,8,409,1911
529,2000,8,470,1903
530,2000,8,436,1904
531,2000,8,457,1913
532,2000,8,452,1908
533,2000,8,455,1901
534,2000,8,358,1902
535,2000,8,387,1903
536,2000,8,364,1897
537,2000,8,423,1895
538,2000,8,415,1904
539,2000,8,441,1908
540,2000,8,456,1909
541,2000,8,471,1904
542,2000,8,396,1908
543,2000,8,407,1903
544,2000,8,489,1904
545,2000,8,479,1910
546,2000,8,481,1901
547,2000,8,335,1908
548,2000,8,583,1905
549,2000,8,585,1906
550,2000,8,504,1904
551,2000,8,461,1899
552,2000,8,404,1911
553,2000,8,433,1904
554,2000,8,456,1909
555,2000,8,473,1895
556,2000,8,383,1903
557,2000,8,377,1907
558,2000,8,493,1904
559,2000,8,482,1902
560,2000,8,500,1900
561,2000,8,379,1910
562,2000,8,421,1899
563,2000,8,394,1900
564,2000,8,500,1902
565,2000,8,418,1904
566,2000,8,433,1905
567,2000,8,468,1902
568,2000,8,452,1900
569,2000,8,318,1896
570,2000,8,519,1914
571,2000,8,486,1902
572,2000,8,475,1895
573,2000,8,465,1907
574,2000,8,377,1896
575,2000,8,498,1905
576,2000,8,430,1902
577,2000,8,479,1918
