,n,k,n_changes_eadam,n_matches
265,2000,8,670,1904
266,2000,8,514,1896
267,2000,8,680,1901
268,2000,8,636,1898
269,2000,8,538,1909
270,2000,8,532,1904
271,2000,8,644,1916
272,2000,8,582,1904
273,2000,8,498,1910
274,2000,8,386,1900
275,2000,8,408,1901
276,2000,8,604,1897
277,2000,8,550,1895
278,2000,8,512,1905
279,2000,8,700,1891
280,2000,8,678,1912
281,2000,8,460,1913
282,2000,8,548,1906
283,2000,8,492,1908
284,2000,8,544,1907
285,2000,8,688,1905
286,2000,8,568,1908
287,2000,8,748,1910
288,2000,8,586,1891
289,2000,8,528,1901
290,2000,8,476,1904
291,2000,8,610,1905
292,2000,8,522,1898
293,2000,8,594,1894
294,2000,8,654,1903
295,2000,8,522,1896
296,2000,8,572,1905
297,2000,8,682,1903
298,2000,8,616,1898
299,2000,8,422,1908
300,2000,8,674,1896
301,2000,8,628,1901
302,2000,8,580,1913
303,2000,8,606,1911
304,2000,8,688,1895
305,2000,8,618,1914
306,2000,8,592,1902
307,2000,8,536,1886
308,2000,8,736,1908
309,2000,8,482,1901
310,2000,8,704,1915
311,2000,8,574,1905
312,2000,8,482,1906
313,2000,8,576,1899
314,2000,8,550,1911
315,2000,8,598,1916
316,2000,8,498,1898
317,2000,8,504,1904
318,2000,8,576,1898
319,2000,8,436,1901
320,2000,8,504,1909
321,2000,8,730,1912
322,2000,8,494,1902
323,2000,8,490,1908
324,2000,8,580,1913
325,2000,8,664,1895
326,2000,8,646,1912
327,2000,8,644,1909
328,2000,8,632,1904
329,2000,8,538,1908
330,2000,8,506,1899
331,2000,8,564,1902
332,2000,8,620,1916
333,2000,8,604,1907
334,2000,8,622,1905
335,2000,8,648,1896
336,2000,8,526,1907
337,2000,8,516,1903
338,2000,8,470,1906
339,2000,8,638,1907
340,2000,8,578,1905
341,2000,8,702,1911
342,2000,8,508,1906
343,2000,8,674,1904
344,2000,8,562,1895
345,2000,8,464,1917
346,2000,8,476,1906
347,2000,8,650,1891
348,2000,8,542,1894
349,2000,8,634,1903
350,2000,8,662,1915
351,2000,8,518,1904
352,2000,8,658,1901
353,2000,8,606,1913
354,2000,8,678,1912
355,2000,8,566,1898
356,2000,8,604,1897
357,2000,8,702,1906
358,2000,8,484,1895
359,2000,8,622,1909
360,2000,8,472,1899
361,2000,8,384,1901
362,2000,8,552,1904
363,2000,8,730,1902
364,2000,8,512,1905
365,2000,8,470,1903
366,2000,8,490,1904
367,2000,8,560,1896
368,2000,8,594,1904
369,2000,8,546,1912
370,2000,8,478,1912
371,2000,8,506,1892
372,2000,8,624,1901
373,2000,8,558,1909
374,2000,8,630,1902
375,2000,8,590,1915
376,2000,8,638,1898
377,2000,8,506,1896
378,2000,8,488,1903
379,2000,8,596,1906
380,2000,8,588,1892
381,2000,8,420,1900
382,2000,8,620,1902
383,2000,8,604,1901
384,2000,8,460,1908
385,2000,8,514,1902
386,2000,8,674,1898
387,2000,8,692,1907
388,2000,8,514,1896
389,2000,8,564,1906
390,2000,8,494,1900
391,2000,8,516,1900
392,2000,8,662,1904
393,2000,8,704,1918
394,2000,8,510,1899
395,2000,8,648,1904
396,2000,8,630,1907
397,2000,8,622,1905
398,2000,8,414,1904
399,2000,8,574,1908
400,2000,8,588,1904
401,2000,8,478,1902
402,2000,8,524,1900
403,2000,8,574,1899
404,2000,8,508,1904
405,2000,8,552,1906
406,2000,8,574,1888
407,2000,8,468,1905
408,2000,8,562,1902
409,2000,8,592,1895
410,2000,8,540,1907
411,2000,8,720,1898
412,2000,8,504,1906
413,2000,8,536,1910
414,2000,8,648,1910
415,2000,8,604,1898
416,2000,8,792,1905
417,2000,8,454,1902
418,2000,8,456,1910
419,2000,8,532,1917
420,2000,8,602,1897
421,2000,8,580,1904
422,2000,8,594,1911
423,2000,8,480,1904
424,2000,8,610,1898
425,2000,8,574,1899
426,2000,8,540,1902
427,2000,8,650,1889
428,2000,8,544,1905
429,2000,8,576,1915
430,2000,8,616,1903
431,2000,8,490,1896
432,2000,8,570,1912
433,2000,8,576,1916
434,2000,8,490,1906
435,2000,8,686,1904
436,2000,8,548,1895
437,2000,8,634,1905
438,2000,8,574,1901
439,2000,8,558,1906
440,2000,8,512,1897
441,2000,8,486,1908
442,2000,8,588,1906
443,2000,8,652,1895
444,2000,8,588,1901
445,2000,8,656,1899
446,2000,8,526,1920
447,2000,8,718,1906
448,2000,8,548,1904
449,2000,8,562,1904
450,2000,8,536,1904
451,2000,8,570,1900
452,2000,8,580,1891
453,2000,8,486,1905
454,2000,8,510,1911
455,2000,8,616,1900
456,2000,8,502,1891
457,2000,8,708,1909
458,2000,8,532,1910
459,2000,8,580,1907
460,2000,8,490,1897
461,2000,8,588,1902
462,2000,8,698,1902
463,2000,8,572,1906
464,2000,8,478,1904
465,2000,8,470,1896
466,2000,8,548,1897
467,2000,8,424,1904
468,2000,8,370,1917
469,2000,8,436,1909
470,2000,8,600,1908
471,2000,8,596,1905
472,2000,8,548,1909
473,2000,8,636,1907
474,2000,8,538,1898
475,2000,8,618,1909
476,2000,8,426,1902
477,2000,8,572,1906
478,2000,8,516,1908
479,2000,8,526,1898
480,2000,8,536,1895
481,2000,8,482,1900
482,2000,8,662,1900
483,2000,8,494,1910
484,2000,8,482,1902
485,2000,8,590,1903
486,2000,8,508,1915
487,2000,8,588,1915
488,2000,8,540,1904
489,2000,8,392,1910
490,2000,8,518,1894
491,2000,8,528,1896
492,2000,8,704,1908
493,2000,8,628,1905
494,2000,8,498,1905
495,2000,8,566,1904
496,2000,8,554,1893
497,2000,8,516,1902
498,2000,8,500,1901
499,2000,8,574,1909
500,2000,8,632,1897
501,2000,8,628,1903
502,2000,8,680,1916
503,2000,8,592,1910
504,2000,8,556,1906
505,2000,8,696,1900
506,2000,8,516,1899
507,2000,8,614,1911
