,n,k,n_changes,n_matches
0,1000,5,31,919
1,1000,5,27,908
2,1000,5,27,910
3,1000,5,7,910
4,1000,5,12,912
5,1000,5,61,916
6,1000,5,27,898
7,1000,5,14,912
8,1000,5,57,910
9,1000,5,55,907
10,1000,5,60,908
11,1000,5,10,898
12,1000,5,56,903
13,1000,5,22,918
14,1000,5,53,911
15,1000,5,16,906
16,1000,5,4,912
17,1000,5,27,907
18,1000,5,22,905
19,1000,5,86,912
20,1000,5,0,912
21,1000,5,22,918
22,1000,5,56,916
23,1000,5,14,919
24,1000,5,19,912
25,1000,5,75,924
26,1000,5,29,916
27,1000,5,11,910
28,1000,5,13,911
29,1000,5,21,905
30,1000,5,21,901
31,1000,5,6,912
32,1000,5,21,909
33,1000,5,45,910
34,1000,5,46,915
35,1000,5,38,905
36,1000,5,2,905
37,1000,5,29,912
38,1000,5,47,903
39,1000,5,60,909
40,1000,5,15,910
41,1000,5,70,913
42,1000,5,15,919
43,1000,5,24,914
44,1000,5,10,908
45,1000,5,29,905
46,1000,5,19,916
47,1000,5,102,906
48,1000,5,32,909
49,1000,5,20,911
50,1000,5,30,906
51,1000,5,26,892
52,1000,5,19,904
53,1000,5,11,915
54,1000,5,8,909
55,1000,5,90,903
56,1000,5,41,911
57,1000,5,15,913
58,1000,5,15,915
59,1000,5,55,913
60,1000,5,63,909
61,1000,5,8,919
62,1000,5,22,908
63,1000,5,44,912
64,1000,5,33,915
65,1000,5,42,913
66,1000,5,53,920
67,1000,5,19,891
68,1000,5,0,915
69,1000,5,5,908
70,1000,5,4,902
71,1000,5,16,901
72,1000,5,23,904
73,1000,5,5,907
74,1000,5,23,912
75,1000,5,4,907
76,1000,5,64,901
77,1000,5,6,908
78,1000,5,34,918
79,1000,5,13,893
80,1000,5,57,907
81,1000,5,34,914
82,1000,5,20,899
83,1000,5,26,905
84,1000,5,10,904
85,1000,5,50,900
86,1000,5,9,909
87,1000,5,0,920
88,1000,5,22,907
89,1000,5,13,904
90,1000,5,71,909
91,1000,5,43,921
92,1000,5,30,909
93,1000,5,8,912
94,1000,5,22,916
95,1000,5,40,910
96,1000,5,14,914
97,1000,5,41,914
98,1000,5,42,906
99,1000,5,19,910
100,1000,5,3,904
101,1000,5,36,907
102,1000,5,50,912
103,1000,5,8,912
104,1000,5,34,898
105,1000,5,0,904
106,1000,5,14,912
107,1000,5,29,906
108,1000,5,43,913
109,1000,5,26,895
110,1000,5,21,904
111,1000,5,32,910
112,1000,5,64,913
113,1000,5,29,914
114,1000,5,29,916
115,1000,5,9,909
116,1000,5,74,923
117,1000,5,0,896
118,1000,5,27,910
119,1000,5,17,913
120,1000,5,55,900
121,1000,5,25,905
122,1000,5,46,907
123,1000,5,7,904
124,1000,5,46,912
125,1000,5,19,902
126,1000,5,8,901
127,1000,5,10,911
128,1000,5,20,907
129,1000,5,16,906
130,1000,5,18,911
131,1000,5,2,904
132,1000,5,49,906
133,1000,5,62,909
134,1000,5,23,900
135,1000,5,13,904
136,1000,5,22,899
137,1000,5,18,907
138,1000,5,79,909
139,1000,5,35,909
140,1000,5,58,914
141,1000,5,16,905
142,1000,5,24,906
143,1000,5,6,908
144,1000,5,5,902
145,1000,5,51,899
146,1000,5,27,910
147,1000,5,11,908
148,1000,5,42,913
149,1000,5,25,921
150,1000,5,26,898
151,1000,5,38,913
152,1000,5,69,911
153,1000,5,67,902
154,1000,5,17,907
155,1000,5,31,905
156,1000,5,21,903
157,1000,5,33,911
158,1000,5,16,909
159,1000,5,35,903
160,1000,5,14,902
161,1000,5,16,907
162,1000,5,9,907
163,1000,5,45,903
164,1000,5,54,920
165,1000,5,36,905
166,1000,5,0,912
167,1000,5,39,909
168,1000,5,34,919
169,1000,5,24,924
170,1000,5,42,904
171,1000,5,35,906
172,1000,5,74,904
173,1000,5,23,900
174,1000,5,45,892
175,1000,5,36,906
176,1000,5,42,915
177,1000,5,9,902
178,1000,5,36,912
179,1000,5,26,901
180,1000,5,66,902
181,1000,5,21,904
182,1000,5,19,907
183,1000,5,0,913
184,1000,5,7,916
185,1000,5,3,904
186,1000,5,9,915
187,1000,5,20,907
188,1000,5,14,911
189,1000,5,51,910
190,1000,5,45,913
191,1000,5,73,907
192,1000,5,12,906
193,1000,5,21,914
194,1000,5,33,903
195,1000,5,22,910
196,1000,5,16,919
197,1000,5,60,915
198,1000,5,2,912
199,1000,5,32,903
200,1000,5,23,908
201,1000,5,43,910
202,1000,5,39,917
203,1000,5,7,904
204,1000,5,24,907
205,1000,5,10,908
206,1000,5,24,905
207,1000,5,55,913
208,1000,5,49,923
209,1000,5,15,908
210,1000,5,12,904
211,1000,5,6,916
212,1000,5,24,907
213,1000,5,4,901
214,1000,5,47,917
215,1000,5,70,915
216,1000,5,0,908
217,1000,5,45,918
218,1000,5,30,917
219,1000,5,17,913
220,1000,5,13,925
221,1000,5,5,906
222,1000,5,43,913
223,1000,5,24,916
224,1000,5,26,916
225,1000,5,17,902
226,1000,5,3,914
227,1000,5,9,901
228,1000,5,53,907
229,1000,5,4,895
230,1000,5,7,913
231,1000,5,47,908
232,1000,5,6,902
233,1000,5,39,910
234,1000,5,23,918
235,1000,5,30,910
236,1000,5,12,909
237,1000,5,23,905
238,1000,5,13,920
239,1000,5,18,903
240,1000,5,33,921
241,1000,5,37,909
242,1000,5,29,909
243,1000,5,9,904
244,1000,5,87,901
245,1000,5,11,916
246,1000,5,33,910
247,1000,5,18,912
248,1000,5,34,913
249,1000,5,40,901
250,1000,5,21,923
251,1000,5,11,905
252,1000,5,55,909
253,1000,5,14,905
254,1000,5,2,910
255,1000,5,40,913
256,1000,5,46,905
257,1000,5,49,907
258,1000,5,14,914
259,1000,5,39,907
260,1000,5,32,917
261,1000,5,19,911
262,1000,5,21,914
263,1000,5,32,917
264,1000,5,0,916
265,1000,5,23,913
266,1000,5,35,909
267,1000,5,49,909
268,1000,5,25,902
269,1000,5,4,905
270,1000,5,32,905
271,1000,5,15,910
272,1000,5,43,912
273,1000,5,5,912
274,1000,5,18,901
275,1000,5,20,911
276,1000,5,13,907
277,1000,5,54,915
278,1000,5,39,915
279,1000,5,34,914
280,1000,5,0,910
281,1000,5,12,913
282,1000,5,15,920
283,1000,5,53,912
284,1000,5,43,897
285,1000,5,99,914
286,1000,5,16,904
287,1000,5,3,910
288,1000,5,34,907
289,1000,5,34,909
290,1000,5,19,908
291,1000,5,32,912
292,1000,5,21,914
293,1000,5,47,913
294,1000,5,48,908
295,1000,5,0,916
