,n,k,n_changes_eadam,n_matches
0,3000,5,134,2708
1,3000,5,124,2737
2,3000,5,158,2747
3,3000,5,26,2743
4,3000,5,86,2721
5,3000,5,128,2715
6,3000,5,62,2716
7,3000,5,122,2731
8,3000,5,54,2709
9,3000,5,92,2738
10,3000,5,34,2744
11,3000,5,116,2742
12,3000,5,90,2726
13,3000,5,62,2734
14,3000,5,150,2712
15,3000,5,86,2724
16,3000,5,114,2717
17,3000,5,58,2720
18,3000,5,120,2732
19,3000,5,86,2718
20,3000,5,90,2727
21,3000,5,118,2741
22,3000,5,144,2716
23,3000,5,116,2721
24,3000,5,174,2734
25,3000,5,22,2725
26,3000,5,108,2732
27,3000,5,104,2708
28,3000,5,184,2731
29,3000,5,146,2710
30,3000,5,94,2710
31,3000,5,192,2735
32,3000,5,138,2725
33,3000,5,50,2741
34,3000,5,80,2726
35,3000,5,64,2725
36,3000,5,162,2718
37,3000,5,130,2722
38,3000,5,136,2716
39,3000,5,110,2732
40,3000,5,48,2711
41,3000,5,100,2731
42,3000,5,70,2713
43,3000,5,22,2735
44,3000,5,62,2713
45,3000,5,68,2744
46,3000,5,16,2747
47,3000,5,54,2718
48,3000,5,92,2725
49,3000,5,114,2720
50,3000,5,142,2726
51,3000,5,72,2734
52,3000,5,26,2737
53,3000,5,184,2720
54,3000,5,40,2714
55,3000,5,8,2720
56,3000,5,36,2729
57,3000,5,126,2712
58,3000,5,192,2719
59,3000,5,56,2721
60,3000,5,168,2726
61,3000,5,72,2720
62,3000,5,184,2721
63,3000,5,92,2726
64,3000,5,52,2721
65,3000,5,0,2726
66,3000,5,104,2741
67,3000,5,146,2739
68,3000,5,58,2736
69,3000,5,70,2712
70,3000,5,48,2745
71,3000,5,86,2717
72,3000,5,68,2718
73,3000,5,82,2722
74,3000,5,42,2724
75,3000,5,164,2724
76,3000,5,30,2722
77,3000,5,22,2692
78,3000,5,66,2739
79,3000,5,112,2726
80,3000,5,96,2741
81,3000,5,62,2733
82,3000,5,100,2721
83,3000,5,60,2723
84,3000,5,122,2721
85,3000,5,150,2724
86,3000,5,138,2717
87,3000,5,20,2733
88,3000,5,66,2740
89,3000,5,110,2702
90,3000,5,58,2738
91,3000,5,134,2737
92,3000,5,84,2720
93,3000,5,64,2736
94,3000,5,130,2730
95,3000,5,184,2718
96,3000,5,122,2714
97,3000,5,66,2703
98,3000,5,74,2737
99,3000,5,84,2730
100,3000,5,34,2709
101,3000,5,96,2720
102,3000,5,104,2719
103,3000,5,62,2726
104,3000,5,140,2727
105,3000,5,34,2727
106,3000,5,46,2724
107,3000,5,28,2715
108,3000,5,6,2730
109,3000,5,128,2724
110,3000,5,60,2714
111,3000,5,76,2720
112,3000,5,38,2731
113,3000,5,102,2709
114,3000,5,122,2727
115,3000,5,166,2744
116,3000,5,58,2721
117,3000,5,80,2723
118,3000,5,82,2724
119,3000,5,32,2725
120,3000,5,116,2740
121,3000,5,106,2722
122,3000,5,82,2728
123,3000,5,206,2719
124,3000,5,84,2736
125,3000,5,62,2733
126,3000,5,68,2727
127,3000,5,114,2737
128,3000,5,112,2715
129,3000,5,18,2730
130,3000,5,262,2722
131,3000,5,18,2729
132,3000,5,120,2711
133,3000,5,98,2709
134,3000,5,124,2729
135,3000,5,36,2741
136,3000,5,46,2731
137,3000,5,50,2730
138,3000,5,158,2718
139,3000,5,84,2733
140,3000,5,146,2722
141,3000,5,168,2717
142,3000,5,18,2721
143,3000,5,152,2728
144,3000,5,166,2728
145,3000,5,150,2733
146,3000,5,78,2725
147,3000,5,180,2729
148,3000,5,148,2723
149,3000,5,86,2726
150,3000,5,124,2748
151,3000,5,154,2726
152,3000,5,36,2721
153,3000,5,34,2712
154,3000,5,76,2742
155,3000,5,74,2734
156,3000,5,78,2715
157,3000,5,62,2703
158,3000,5,68,2729
159,3000,5,74,2741
160,3000,5,126,2714
161,3000,5,62,2719
162,3000,5,22,2718
163,3000,5,88,2728
164,3000,5,106,2710
165,3000,5,82,2718
166,3000,5,110,2711
167,3000,5,186,2725
168,3000,5,40,2698
169,3000,5,6,2734
170,3000,5,44,2721
171,3000,5,86,2718
172,3000,5,18,2725
173,3000,5,92,2742
174,3000,5,122,2733
175,3000,5,158,2740
176,3000,5,114,2747
177,3000,5,144,2719
178,3000,5,130,2713
179,3000,5,76,2718
180,3000,5,60,2730
181,3000,5,76,2727
182,3000,5,126,2725
183,3000,5,34,2725
184,3000,5,46,2717
185,3000,5,60,2714
186,3000,5,198,2746
187,3000,5,122,2746
188,3000,5,48,2736
189,3000,5,80,2716
190,3000,5,126,2726
191,3000,5,80,2718
192,3000,5,62,2726
193,3000,5,90,2705
194,3000,5,82,2736
195,3000,5,202,2708
196,3000,5,86,2733
197,3000,5,126,2730
198,3000,5,82,2700
199,3000,5,78,2725
200,3000,5,134,2720
201,3000,5,76,2736
202,3000,5,70,2720
203,3000,5,130,2717
204,3000,5,152,2724
205,3000,5,148,2724
206,3000,5,0,2748
207,3000,5,84,2722
208,3000,5,74,2716
209,3000,5,116,2713
210,3000,5,74,2740
211,3000,5,170,2730
212,3000,5,14,2726
213,3000,5,94,2718
214,3000,5,70,2719
215,3000,5,44,2721
216,3000,5,130,2710
217,3000,5,142,2728
218,3000,5,148,2716
219,3000,5,182,2721
220,3000,5,16,2719
221,3000,5,72,2708
222,3000,5,34,2735
223,3000,5,78,2730
224,3000,5,0,2709
225,3000,5,188,2740
226,3000,5,54,2713
227,3000,5,124,2722
228,3000,5,34,2725
229,3000,5,164,2725
230,3000,5,66,2727
231,3000,5,114,2717
232,3000,5,140,2728
233,3000,5,56,2714
234,3000,5,44,2736
235,3000,5,140,2720
236,3000,5,124,2707
237,3000,5,54,2734
238,3000,5,178,2743
239,3000,5,138,2731
240,3000,5,52,2736
241,3000,5,72,2730
242,3000,5,162,2740
243,3000,5,142,2719
244,3000,5,128,2732
245,3000,5,174,2735
246,3000,5,92,2737
247,3000,5,82,2735
248,3000,5,84,2727
249,3000,5,4,2713
250,3000,5,14,2738
251,3000,5,54,2723
252,3000,5,122,2712
253,3000,5,24,2707
254,3000,5,40,2724
255,3000,5,52,2716
256,3000,5,120,2741
257,3000,5,128,2746
258,3000,5,204,2720
259,3000,5,32,2732
260,3000,5,156,2730
261,3000,5,40,2710
262,3000,5,126,2721
263,3000,5,78,2711
264,3000,5,78,2736
265,3000,5,100,2720
266,3000,5,66,2697
267,3000,5,94,2731
268,3000,5,52,2728
269,3000,5,48,2727
270,3000,5,84,2728
271,3000,5,142,2740
272,3000,5,104,2714
273,3000,5,90,2726
274,3000,5,168,2725
275,3000,5,4,2731
276,3000,5,74,2721
277,3000,5,148,2718
278,3000,5,88,2725
279,3000,5,44,2734
280,3000,5,108,2721
281,3000,5,40,2729
282,3000,5,68,2707
283,3000,5,120,2710
284,3000,5,60,2726
285,3000,5,54,2715
286,3000,5,100,2731
287,3000,5,96,2730
288,3000,5,48,2734
289,3000,5,0,2723
290,3000,5,102,2738
291,3000,5,106,2726
292,3000,5,212,2713
293,3000,5,226,2721
294,3000,5,98,2729
295,3000,5,234,2726
296,3000,5,166,2724
297,3000,5,64,2716
298,3000,5,62,2730
299,3000,5,192,2728
300,3000,5,10,2725
301,3000,5,102,2717
302,3000,5,48,2716
303,3000,5,66,2733
304,3000,5,98,2730
305,3000,5,56,2710
306,3000,5,200,2725
307,3000,5,86,2734
308,3000,5,126,2730
309,3000,5,96,2719
310,3000,5,150,2719
311,3000,5,156,2718
312,3000,5,148,2736
313,3000,5,182,2731
314,3000,5,188,2731
315,3000,5,136,2721
316,3000,5,194,2714
317,3000,5,140,2721
318,3000,5,88,2722
319,3000,5,76,2727
320,3000,5,72,2721
321,3000,5,64,2724
322,3000,5,142,2745
323,3000,5,110,2737
324,3000,5,142,2732
325,3000,5,106,2716
326,3000,5,130,2738
327,3000,5,88,2744
328,3000,5,86,2720
329,3000,5,122,2701
330,3000,5,68,2732
331,3000,5,72,2728
332,3000,5,64,2716
333,3000,5,102,2737
334,3000,5,98,2734
335,3000,5,82,2708
336,3000,5,18,2728
337,3000,5,64,2736
338,3000,5,108,2728
339,3000,5,68,2703
340,3000,5,72,2739
341,3000,5,134,2721
342,3000,5,58,2747
343,3000,5,82,2732
344,3000,5,170,2735
345,3000,5,116,2720
346,3000,5,86,2725
347,3000,5,214,2742
348,3000,5,58,2727
349,3000,5,50,2723
350,3000,5,88,2715
351,3000,5,50,2728
352,3000,5,116,2723
353,3000,5,178,2729
354,3000,5,64,2732
355,3000,5,84,2725
356,3000,5,66,2730
357,3000,5,62,2727
358,3000,5,144,2719
359,3000,5,172,2727
360,3000,5,112,2721
361,3000,5,118,2722
362,3000,5,160,2744
363,3000,5,116,2721
364,3000,5,30,2708
365,3000,5,68,2731
366,3000,5,32,2711
367,3000,5,86,2746
368,3000,5,116,2729
369,3000,5,142,2736
370,3000,5,80,2722
371,3000,5,94,2731
372,3000,5,80,2724
373,3000,5,184,2719
