,n,k,n_changes,n_matches
0,2000,3,4,1692
1,2000,3,0,1661
2,2000,3,0,1683
3,2000,3,0,1678
4,2000,3,0,1683
5,2000,3,2,1685
6,2000,3,0,1692
7,2000,3,4,1685
8,2000,3,0,1659
9,2000,3,0,1684
10,2000,3,0,1681
11,2000,3,2,1688
12,2000,3,3,1681
13,2000,3,0,1677
14,2000,3,0,1659
15,2000,3,0,1689
16,2000,3,8,1671
17,2000,3,0,1682
18,2000,3,0,1672
19,2000,3,0,1688
20,2000,3,0,1680
21,2000,3,2,1686
22,2000,3,3,1705
23,2000,3,2,1685
24,2000,3,0,1701
25,2000,3,0,1695
26,2000,3,5,1673
27,2000,3,0,1679
28,2000,3,0,1687
29,2000,3,2,1688
30,2000,3,0,1674
31,2000,3,0,1679
32,2000,3,0,1671
33,2000,3,0,1683
34,2000,3,0,1688
35,2000,3,0,1678
36,2000,3,3,1666
37,2000,3,0,1688
38,2000,3,0,1683
39,2000,3,2,1677
40,2000,3,0,1672
41,2000,3,0,1694
42,2000,3,0,1703
43,2000,3,0,1681
44,2000,3,0,1693
45,2000,3,0,1673
46,2000,3,0,1673
47,2000,3,0,1682
48,2000,3,0,1683
49,2000,3,0,1674
50,2000,3,0,1683
51,2000,3,0,1698
52,2000,3,0,1680
53,2000,3,2,1673
54,2000,3,0,1683
55,2000,3,0,1662
56,2000,3,3,1679
57,2000,3,0,1667
58,2000,3,0,1662
59,2000,3,4,1675
60,2000,3,0,1676
61,2000,3,0,1674
62,2000,3,0,1684
63,2000,3,0,1681
64,2000,3,0,1692
65,2000,3,0,1675
66,2000,3,2,1682
67,2000,3,0,1689
68,2000,3,0,1664
69,2000,3,0,1681
70,2000,3,0,1677
71,2000,3,0,1671
72,2000,3,0,1682
73,2000,3,6,1661
74,2000,3,2,1690
75,2000,3,0,1663
76,2000,3,4,1703
77,2000,3,0,1690
78,2000,3,0,1679
79,2000,3,0,1673
80,2000,3,0,1656
81,2000,3,0,1674
82,2000,3,0,1667
83,2000,3,0,1678
84,2000,3,0,1698
85,2000,3,0,1682
86,2000,3,0,1689
87,2000,3,0,1677
88,2000,3,3,1678
89,2000,3,0,1677
90,2000,3,0,1681
91,2000,3,0,1667
92,2000,3,2,1689
93,2000,3,0,1692
94,2000,3,0,1704
95,2000,3,0,1668
96,2000,3,0,1678
97,2000,3,2,1665
98,2000,3,2,1682
99,2000,3,0,1678
100,2000,3,0,1686
101,2000,3,0,1673
102,2000,3,6,1677
103,2000,3,0,1685
104,2000,3,0,1676
105,2000,3,0,1689
106,2000,3,0,1658
107,2000,3,0,1678
108,2000,3,0,1685
109,2000,3,0,1684
110,2000,3,0,1670
111,2000,3,0,1686
112,2000,3,0,1684
113,2000,3,0,1671
114,2000,3,0,1677
115,2000,3,2,1683
116,2000,3,0,1674
117,2000,3,0,1689
118,2000,3,4,1672
119,2000,3,0,1676
120,2000,3,0,1687
121,2000,3,0,1683
122,2000,3,0,1685
123,2000,3,0,1687
124,2000,3,4,1669
125,2000,3,0,1664
126,2000,3,0,1656
127,2000,3,0,1687
128,2000,3,0,1668
129,2000,3,0,1675
130,2000,3,4,1668
131,2000,3,0,1683
132,2000,3,0,1666
133,2000,3,0,1686
134,2000,3,0,1673
135,2000,3,0,1675
136,2000,3,0,1681
137,2000,3,2,1679
138,2000,3,0,1685
139,2000,3,3,1697
140,2000,3,0,1684
141,2000,3,0,1669
142,2000,3,5,1686
143,2000,3,0,1686
144,2000,3,0,1670
145,2000,3,0,1692
146,2000,3,0,1693
147,2000,3,2,1693
148,2000,3,0,1673
149,2000,3,0,1694
150,2000,3,2,1687
151,2000,3,0,1676
152,2000,3,0,1670
153,2000,3,0,1697
154,2000,3,0,1690
155,2000,3,0,1693
156,2000,3,0,1668
157,2000,3,2,1671
158,2000,3,0,1657
159,2000,3,4,1680
160,2000,3,0,1691
161,2000,3,3,1689
162,2000,3,0,1655
163,2000,3,0,1700
164,2000,3,0,1682
165,2000,3,0,1681
166,2000,3,0,1679
167,2000,3,0,1670
168,2000,3,5,1678
169,2000,3,0,1704
170,2000,3,0,1687
171,2000,3,5,1676
172,2000,3,0,1680
