,n,k,n_changes_eadam,n_matches
0,3000,8,810,2861
1,3000,8,880,2855
2,3000,8,974,2851
3,3000,8,774,2855
4,3000,8,852,2865
5,3000,8,776,2864
6,3000,8,760,2849
7,3000,8,998,2845
8,3000,8,832,2864
9,3000,8,638,2861
10,3000,8,816,2870
11,3000,8,720,2853
12,3000,8,748,2844
13,3000,8,604,2839
14,3000,8,796,2861
15,3000,8,864,2858
16,3000,8,810,2858
17,3000,8,938,2859
18,3000,8,850,2864
19,3000,8,804,2846
20,3000,8,758,2858
21,3000,8,710,2844
22,3000,8,680,2848
23,3000,8,824,2860
24,3000,8,754,2846
25,3000,8,976,2848
26,3000,8,862,2862
27,3000,8,916,2851
28,3000,8,802,2864
29,3000,8,1064,2859
30,3000,8,836,2863
31,3000,8,884,2849
32,3000,8,874,2845
33,3000,8,814,2858
34,3000,8,702,2859
35,3000,8,1030,2861
36,3000,8,932,2859
37,3000,8,770,2860
38,3000,8,918,2853
39,3000,8,806,2861
40,3000,8,828,2847
41,3000,8,838,2848
42,3000,8,866,2863
43,3000,8,850,2847
44,3000,8,838,2860
45,3000,8,790,2860
46,3000,8,796,2845
47,3000,8,816,2850
48,3000,8,842,2855
49,3000,8,952,2857
50,3000,8,684,2861
51,3000,8,874,2856
52,3000,8,780,2848
53,3000,8,652,2853
54,3000,8,730,2854
55,3000,8,916,2842
56,3000,8,1038,2863
57,3000,8,792,2848
58,3000,8,750,2842
59,3000,8,672,2848
60,3000,8,770,2847
61,3000,8,826,2847
62,3000,8,874,2870
63,3000,8,796,2852
64,3000,8,768,2862
65,3000,8,876,2860
66,3000,8,714,2868
67,3000,8,984,2854
68,3000,8,888,2849
69,3000,8,1014,2861
70,3000,8,772,2859
71,3000,8,788,2862
72,3000,8,848,2863
73,3000,8,874,2850
74,3000,8,858,2845
75,3000,8,688,2856
76,3000,8,870,2851
77,3000,8,876,2848
78,3000,8,902,2854
79,3000,8,790,2856
80,3000,8,802,2857
81,3000,8,974,2872
82,3000,8,776,2849
83,3000,8,724,2853
84,3000,8,730,2851
85,3000,8,772,2848
86,3000,8,884,2845
87,3000,8,752,2853
88,3000,8,878,2856
89,3000,8,802,2856
90,3000,8,786,2857
91,3000,8,926,2855
92,3000,8,736,2855
93,3000,8,722,2843
94,3000,8,1010,2857
95,3000,8,888,2869
96,3000,8,772,2853
97,3000,8,738,2850
98,3000,8,914,2865
99,3000,8,752,2854
100,3000,8,850,2835
101,3000,8,708,2853
102,3000,8,806,2852
103,3000,8,770,2846
104,3000,8,636,2852
105,3000,8,666,2854
106,3000,8,796,2859
107,3000,8,954,2870
108,3000,8,864,2859
109,3000,8,768,2860
110,3000,8,794,2847
111,3000,8,636,2854
112,3000,8,856,2858
113,3000,8,842,2858
114,3000,8,884,2853
115,3000,8,1002,2858
116,3000,8,802,2856
117,3000,8,884,2862
118,3000,8,954,2843
119,3000,8,922,2857
120,3000,8,816,2853
121,3000,8,800,2863
122,3000,8,762,2853
123,3000,8,892,2862
124,3000,8,726,2859
125,3000,8,694,2854
126,3000,8,990,2860
127,3000,8,826,2844
128,3000,8,728,2843
129,3000,8,740,2856
130,3000,8,758,2854
131,3000,8,830,2859
132,3000,8,698,2852
133,3000,8,722,2853
134,3000,8,796,2870
135,3000,8,958,2861
136,3000,8,804,2866
137,3000,8,736,2842
138,3000,8,738,2856
139,3000,8,944,2856
140,3000,8,816,2857
141,3000,8,852,2860
142,3000,8,892,2863
143,3000,8,780,2844
144,3000,8,774,2860
145,3000,8,1022,2849
146,3000,8,886,2853
147,3000,8,934,2855
148,3000,8,930,2860
149,3000,8,760,2866
150,3000,8,894,2845
151,3000,8,884,2856
152,3000,8,848,2862
153,3000,8,700,2867
154,3000,8,810,2852
155,3000,8,760,2863
156,3000,8,762,2838
157,3000,8,838,2858
158,3000,8,798,2857
159,3000,8,786,2851
160,3000,8,956,2850
161,3000,8,662,2849
162,3000,8,860,2846
163,3000,8,722,2851
164,3000,8,926,2856
165,3000,8,976,2848
166,3000,8,918,2842
167,3000,8,844,2870
168,3000,8,638,2853
169,3000,8,976,2861
170,3000,8,824,2855
171,3000,8,724,2859
172,3000,8,1086,2859
173,3000,8,928,2856
174,3000,8,814,2851
175,3000,8,794,2864
176,3000,8,794,2868
177,3000,8,856,2868
178,3000,8,870,2856
179,3000,8,776,2852
180,3000,8,962,2864
181,3000,8,928,2853
182,3000,8,792,2855
183,3000,8,816,2851
184,3000,8,786,2853
185,3000,8,818,2853
186,3000,8,846,2853
187,3000,8,794,2851
188,3000,8,796,2839
189,3000,8,888,2867
190,3000,8,994,2858
191,3000,8,774,2828
192,3000,8,674,2853
193,3000,8,748,2858
194,3000,8,908,2866
195,3000,8,908,2854
196,3000,8,826,2851
197,3000,8,878,2843
198,3000,8,722,2855
199,3000,8,832,2860
200,3000,8,696,2850
201,3000,8,634,2850
202,3000,8,922,2866
203,3000,8,878,2849
204,3000,8,928,2862
205,3000,8,886,2865
206,3000,8,900,2849
207,3000,8,712,2865
208,3000,8,934,2856
209,3000,8,878,2854
210,3000,8,844,2847
211,3000,8,778,2839
212,3000,8,772,2851
213,3000,8,622,2871
214,3000,8,820,2856
215,3000,8,808,2850
216,3000,8,838,2861
217,3000,8,942,2847
218,3000,8,780,2856
219,3000,8,996,2847
220,3000,8,772,2853
221,3000,8,792,2854
222,3000,8,864,2856
223,3000,8,938,2862
224,3000,8,870,2854
225,3000,8,868,2847
226,3000,8,814,2852
227,3000,8,948,2850
228,3000,8,732,2845
229,3000,8,778,2861
230,3000,8,786,2855
231,3000,8,760,2860
232,3000,8,740,2862
233,3000,8,982,2857
234,3000,8,688,2864
235,3000,8,638,2854
236,3000,8,816,2850
237,3000,8,786,2845
238,3000,8,768,2847
239,3000,8,818,2836
240,3000,8,760,2852
241,3000,8,934,2863
242,3000,8,872,2856
243,3000,8,892,2844
244,3000,8,820,2858
245,3000,8,900,2854
246,3000,8,938,2853
247,3000,8,960,2866
248,3000,8,732,2861
249,3000,8,698,2859
250,3000,8,826,2851
251,3000,8,776,2850
252,3000,8,638,2849
253,3000,8,806,2854
254,3000,8,690,2859
255,3000,8,810,2854
256,3000,8,930,2867
257,3000,8,864,2847
258,3000,8,818,2863
259,3000,8,982,2847
260,3000,8,730,2861
261,3000,8,904,2853
262,3000,8,828,2854
263,3000,8,780,2863
