,n,k,n_changes,n_matches
0,4000,5,121,3640
1,4000,5,27,3648
2,4000,5,97,3646
3,4000,5,13,3639
4,4000,5,193,3633
5,4000,5,26,3640
6,4000,5,75,3639
7,4000,5,126,3648
8,4000,5,40,3643
9,4000,5,163,3632
10,4000,5,137,3641
11,4000,5,83,3641
12,4000,5,63,3620
13,4000,5,14,3630
14,4000,5,104,3608
15,4000,5,108,3641
16,4000,5,51,3623
17,4000,5,11,3634
18,4000,5,110,3638
19,4000,5,130,3635
20,4000,5,52,3640
21,4000,5,113,3660
22,4000,5,125,3632
23,4000,5,6,3646
24,4000,5,7,3654
25,4000,5,126,3657
26,4000,5,74,3631
27,4000,5,50,3621
28,4000,5,114,3635
29,4000,5,59,3635
30,4000,5,52,3621
31,4000,5,6,3646
32,4000,5,72,3647
33,4000,5,145,3637
34,4000,5,7,3631
35,4000,5,97,3641
36,4000,5,52,3627
37,4000,5,121,3660
38,4000,5,61,3621
39,4000,5,80,3612
40,4000,5,75,3636
41,4000,5,43,3634
42,4000,5,115,3625
43,4000,5,49,3624
44,4000,5,169,3626
45,4000,5,15,3658
46,4000,5,38,3649
47,4000,5,59,3658
48,4000,5,161,3646
49,4000,5,93,3617
50,4000,5,0,3636
51,4000,5,4,3620
52,4000,5,96,3635
53,4000,5,33,3621
54,4000,5,87,3624
55,4000,5,58,3648
56,4000,5,57,3616
57,4000,5,33,3641
58,4000,5,127,3625
59,4000,5,34,3627
60,4000,5,85,3640
61,4000,5,51,3632
62,4000,5,100,3640
63,4000,5,43,3620
64,4000,5,22,3629
65,4000,5,65,3643
66,4000,5,104,3645
67,4000,5,27,3628
68,4000,5,158,3639
69,4000,5,66,3634
70,4000,5,204,3627
71,4000,5,101,3633
72,4000,5,83,3662
73,4000,5,76,3634
74,4000,5,36,3632
75,4000,5,37,3636
76,4000,5,59,3644
77,4000,5,45,3642
78,4000,5,67,3660
79,4000,5,114,3652
80,4000,5,60,3636
81,4000,5,54,3618
82,4000,5,200,3636
83,4000,5,51,3645
84,4000,5,139,3641
85,4000,5,79,3639
86,4000,5,78,3650
87,4000,5,180,3625
88,4000,5,85,3633
89,4000,5,84,3647
90,4000,5,20,3639
91,4000,5,58,3641
92,4000,5,2,3615
93,4000,5,96,3630
94,4000,5,188,3625
95,4000,5,101,3626
96,4000,5,40,3620
97,4000,5,96,3617
98,4000,5,60,3646
99,4000,5,17,3640
100,4000,5,105,3645
101,4000,5,124,3637
102,4000,5,116,3625
103,4000,5,30,3643
104,4000,5,103,3625
105,4000,5,62,3653
106,4000,5,35,3627
107,4000,5,173,3660
108,4000,5,48,3617
109,4000,5,82,3654
110,4000,5,56,3625
111,4000,5,44,3610
112,4000,5,73,3633
113,4000,5,158,3639
114,4000,5,159,3632
115,4000,5,30,3639
116,4000,5,60,3644
117,4000,5,63,3643
118,4000,5,85,3654
119,4000,5,35,3626
120,4000,5,24,3646
121,4000,5,93,3629
122,4000,5,160,3624
123,4000,5,47,3625
124,4000,5,97,3638
125,4000,5,152,3637
126,4000,5,86,3632
127,4000,5,53,3606
128,4000,5,42,3623
129,4000,5,85,3641
130,4000,5,157,3624
131,4000,5,33,3638
132,4000,5,92,3619
133,4000,5,50,3654
134,4000,5,87,3651
135,4000,5,61,3648
136,4000,5,69,3621
137,4000,5,114,3651
138,4000,5,56,3638
139,4000,5,102,3638
140,4000,5,46,3618
141,4000,5,46,3636
142,4000,5,142,3614
143,4000,5,2,3632
144,4000,5,48,3625
145,4000,5,81,3620
146,4000,5,62,3646
147,4000,5,75,3635
148,4000,5,96,3642
149,4000,5,116,3645
150,4000,5,77,3632
151,4000,5,92,3641
152,4000,5,0,3630
153,4000,5,79,3631
154,4000,5,56,3616
155,4000,5,110,3615
156,4000,5,103,3638
157,4000,5,285,3621
158,4000,5,113,3661
159,4000,5,0,3662
160,4000,5,31,3620
161,4000,5,6,3646
162,4000,5,83,3650
163,4000,5,108,3646
164,4000,5,105,3625
165,4000,5,79,3638
166,4000,5,35,3639
167,4000,5,71,3626
168,4000,5,37,3642
169,4000,5,6,3649
170,4000,5,89,3649
171,4000,5,153,3644
172,4000,5,132,3639
173,4000,5,73,3639
174,4000,5,88,3629
175,4000,5,55,3628
176,4000,5,75,3627
177,4000,5,53,3647
178,4000,5,45,3640
179,4000,5,203,3614
180,4000,5,106,3645
181,4000,5,28,3641
182,4000,5,39,3642
183,4000,5,15,3618
184,4000,5,123,3623
185,4000,5,29,3638
186,4000,5,82,3641
187,4000,5,46,3642
188,4000,5,55,3631
189,4000,5,95,3634
190,4000,5,121,3618
191,4000,5,96,3635
192,4000,5,79,3639
193,4000,5,98,3638
194,4000,5,128,3631
195,4000,5,82,3629
196,4000,5,180,3633
