,n,k,n_changes_eadam,n_matches
0,3000,7,666,2826
1,3000,7,372,2825
2,3000,7,434,2834
3,3000,7,642,2825
4,3000,7,404,2824
5,3000,7,506,2824
6,3000,7,624,2828
7,3000,7,514,2819
8,3000,7,272,2821
9,3000,7,534,2815
10,3000,7,482,2815
11,3000,7,488,2829
12,3000,7,698,2816
13,3000,7,792,2835
14,3000,7,552,2835
15,3000,7,618,2833
16,3000,7,692,2826
17,3000,7,612,2824
18,3000,7,586,2836
19,3000,7,478,2821
20,3000,7,454,2821
21,3000,7,568,2808
22,3000,7,608,2825
23,3000,7,738,2841
24,3000,7,586,2820
25,3000,7,582,2820
26,3000,7,590,2814
27,3000,7,538,2822
28,3000,7,636,2813
29,3000,7,720,2806
30,3000,7,556,2825
31,3000,7,538,2827
32,3000,7,492,2816
33,3000,7,428,2830
34,3000,7,676,2822
35,3000,7,598,2823
36,3000,7,546,2832
37,3000,7,638,2828
38,3000,7,570,2816
39,3000,7,424,2795
40,3000,7,638,2824
41,3000,7,566,2819
42,3000,7,676,2829
43,3000,7,658,2827
44,3000,7,656,2810
45,3000,7,668,2834
46,3000,7,572,2816
47,3000,7,438,2813
48,3000,7,332,2811
49,3000,7,506,2818
50,3000,7,606,2825
51,3000,7,696,2829
52,3000,7,604,2832
53,3000,7,508,2819
54,3000,7,560,2823
55,3000,7,630,2825
56,3000,7,650,2815
57,3000,7,856,2833
58,3000,7,582,2819
59,3000,7,530,2837
60,3000,7,474,2819
61,3000,7,618,2838
62,3000,7,586,2815
63,3000,7,544,2831
64,3000,7,592,2827
65,3000,7,544,2818
66,3000,7,554,2810
67,3000,7,496,2829
68,3000,7,460,2828
69,3000,7,492,2826
70,3000,7,460,2822
71,3000,7,636,2810
72,3000,7,496,2827
73,3000,7,534,2822
74,3000,7,706,2817
75,3000,7,552,2815
76,3000,7,598,2810
77,3000,7,472,2833
78,3000,7,438,2821
79,3000,7,552,2832
80,3000,7,610,2818
81,3000,7,534,2820
82,3000,7,624,2806
83,3000,7,708,2816
84,3000,7,524,2821
85,3000,7,572,2829
86,3000,7,598,2814
87,3000,7,518,2825
88,3000,7,514,2835
89,3000,7,812,2817
90,3000,7,514,2816
91,3000,7,530,2824
92,3000,7,638,2840
93,3000,7,490,2813
94,3000,7,556,2804
95,3000,7,516,2825
96,3000,7,604,2826
97,3000,7,498,2831
98,3000,7,510,2817
99,3000,7,642,2822
100,3000,7,482,2823
101,3000,7,590,2822
102,3000,7,502,2816
103,3000,7,536,2803
104,3000,7,602,2824
105,3000,7,462,2828
106,3000,7,548,2835
107,3000,7,410,2819
108,3000,7,468,2818
109,3000,7,532,2812
110,3000,7,588,2815
111,3000,7,584,2827
112,3000,7,546,2823
113,3000,7,498,2821
114,3000,7,446,2828
115,3000,7,504,2821
116,3000,7,554,2816
117,3000,7,664,2826
118,3000,7,614,2820
119,3000,7,630,2815
120,3000,7,638,2824
121,3000,7,448,2832
122,3000,7,598,2827
123,3000,7,524,2817
124,3000,7,692,2825
125,3000,7,560,2819
126,3000,7,486,2825
127,3000,7,628,2824
128,3000,7,638,2830
129,3000,7,420,2834
130,3000,7,562,2821
131,3000,7,532,2836
132,3000,7,462,2818
133,3000,7,596,2828
134,3000,7,582,2837
135,3000,7,564,2835
136,3000,7,504,2823
137,3000,7,544,2819
138,3000,7,628,2828
139,3000,7,654,2815
140,3000,7,474,2821
141,3000,7,462,2822
142,3000,7,600,2811
143,3000,7,490,2832
144,3000,7,416,2822
145,3000,7,570,2825
146,3000,7,606,2835
147,3000,7,584,2828
148,3000,7,520,2817
149,3000,7,562,2813
150,3000,7,526,2807
151,3000,7,712,2818
152,3000,7,660,2814
153,3000,7,472,2815
154,3000,7,698,2826
155,3000,7,516,2822
156,3000,7,712,2828
157,3000,7,636,2821
158,3000,7,654,2821
159,3000,7,598,2811
160,3000,7,598,2816
161,3000,7,586,2823
162,3000,7,510,2831
163,3000,7,638,2818
164,3000,7,738,2829
165,3000,7,676,2827
166,3000,7,584,2831
167,3000,7,542,2830
168,3000,7,506,2830
169,3000,7,594,2828
170,3000,7,740,2821
171,3000,7,562,2816
172,3000,7,584,2818
173,3000,7,594,2822
174,3000,7,504,2830
175,3000,7,706,2815
176,3000,7,504,2812
177,3000,7,600,2835
178,3000,7,546,2814
179,3000,7,310,2815
180,3000,7,686,2823
181,3000,7,510,2831
182,3000,7,546,2820
183,3000,7,548,2812
184,3000,7,472,2814
185,3000,7,642,2822
186,3000,7,558,2832
187,3000,7,576,2827
188,3000,7,698,2827
189,3000,7,684,2834
190,3000,7,636,2820
191,3000,7,654,2816
192,3000,7,560,2836
193,3000,7,648,2829
194,3000,7,612,2820
195,3000,7,698,2820
196,3000,7,640,2834
197,3000,7,562,2821
198,3000,7,298,2827
199,3000,7,672,2834
200,3000,7,542,2823
201,3000,7,644,2806
202,3000,7,570,2829
203,3000,7,574,2835
204,3000,7,470,2824
205,3000,7,564,2808
206,3000,7,660,2820
207,3000,7,510,2816
208,3000,7,682,2826
209,3000,7,500,2834
210,3000,7,602,2832
211,3000,7,630,2825
212,3000,7,576,2819
213,3000,7,660,2830
214,3000,7,452,2822
215,3000,7,640,2819
