,n,k,n_changes,n_matches
0,4000,8,971,3815
1,4000,8,838,3803
2,4000,8,921,3789
3,4000,8,877,3811
4,4000,8,833,3797
5,4000,8,829,3802
6,4000,8,857,3799
7,4000,8,949,3809
8,4000,8,860,3813
9,4000,8,917,3810
10,4000,8,893,3807
11,4000,8,1014,3806
12,4000,8,1079,3812
13,4000,8,898,3795
14,4000,8,911,3811
15,4000,8,856,3797
16,4000,8,921,3795
17,4000,8,795,3798
18,4000,8,898,3830
19,4000,8,835,3810
20,4000,8,901,3818
21,4000,8,904,3815
22,4000,8,937,3811
23,4000,8,835,3797
24,4000,8,941,3801
25,4000,8,848,3798
26,4000,8,825,3795
27,4000,8,781,3816
28,4000,8,965,3792
29,4000,8,892,3807
30,4000,8,794,3800
31,4000,8,744,3802
32,4000,8,750,3804
33,4000,8,817,3814
34,4000,8,931,3789
35,4000,8,738,3806
36,4000,8,819,3782
37,4000,8,783,3802
38,4000,8,882,3819
39,4000,8,716,3817
40,4000,8,950,3811
41,4000,8,722,3817
42,4000,8,831,3806
43,4000,8,894,3814
44,4000,8,989,3807
45,4000,8,917,3805
46,4000,8,905,3809
47,4000,8,1010,3809
48,4000,8,923,3803
49,4000,8,893,3794
50,4000,8,897,3813
51,4000,8,814,3810
52,4000,8,960,3807
53,4000,8,891,3796
54,4000,8,961,3819
55,4000,8,824,3805
56,4000,8,945,3806
57,4000,8,841,3796
58,4000,8,846,3810
59,4000,8,868,3807
60,4000,8,902,3810
61,4000,8,845,3816
62,4000,8,823,3792
63,4000,8,1013,3818
64,4000,8,918,3802
65,4000,8,908,3806
66,4000,8,706,3813
67,4000,8,984,3819
68,4000,8,997,3790
69,4000,8,954,3816
70,4000,8,844,3806
71,4000,8,955,3801
72,4000,8,976,3805
73,4000,8,807,3797
74,4000,8,709,3791
75,4000,8,927,3813
76,4000,8,810,3782
77,4000,8,875,3800
78,4000,8,1005,3804
79,4000,8,856,3806
80,4000,8,910,3810
81,4000,8,846,3801
82,4000,8,781,3814
83,4000,8,937,3814
84,4000,8,848,3807
85,4000,8,795,3807
86,4000,8,853,3816
87,4000,8,915,3812
88,4000,8,880,3799
89,4000,8,801,3805
90,4000,8,816,3805
91,4000,8,875,3812
92,4000,8,942,3807
93,4000,8,879,3807
94,4000,8,889,3812
95,4000,8,770,3799
96,4000,8,1006,3821
97,4000,8,1042,3809
98,4000,8,963,3794
99,4000,8,821,3820
100,4000,8,786,3812
101,4000,8,793,3789
102,4000,8,736,3805
103,4000,8,895,3816
104,4000,8,869,3814
105,4000,8,801,3793
106,4000,8,856,3805
107,4000,8,738,3811
108,4000,8,913,3795
109,4000,8,938,3808
110,4000,8,854,3818
111,4000,8,855,3800
112,4000,8,1001,3810
113,4000,8,796,3795
114,4000,8,922,3782
115,4000,8,958,3795
116,4000,8,882,3798
117,4000,8,866,3796
118,4000,8,806,3804
119,4000,8,1022,3792
120,4000,8,1014,3807
121,4000,8,927,3822
122,4000,8,986,3801
123,4000,8,970,3806
124,4000,8,785,3796
125,4000,8,768,3805
126,4000,8,791,3805
127,4000,8,895,3808
128,4000,8,899,3814
129,4000,8,945,3806
130,4000,8,914,3798
131,4000,8,881,3806
132,4000,8,840,3808
133,4000,8,919,3816
134,4000,8,966,3800
135,4000,8,927,3805
136,4000,8,765,3797
137,4000,8,879,3795
138,4000,8,784,3793
139,4000,8,777,3792
140,4000,8,740,3795
141,4000,8,956,3811
142,4000,8,993,3816
143,4000,8,860,3798
144,4000,8,868,3785
145,4000,8,735,3796
146,4000,8,912,3808
147,4000,8,745,3794
148,4000,8,1043,3826
149,4000,8,844,3816
150,4000,8,738,3799
151,4000,8,939,3810
152,4000,8,1046,3819
153,4000,8,995,3811
154,4000,8,986,3801
155,4000,8,918,3806
156,4000,8,840,3806
157,4000,8,1033,3804
158,4000,8,919,3823
159,4000,8,772,3805
160,4000,8,914,3804
161,4000,8,800,3798
162,4000,8,891,3805
163,4000,8,727,3798
164,4000,8,936,3812
165,4000,8,753,3809
166,4000,8,807,3816
167,4000,8,943,3791
168,4000,8,785,3799
169,4000,8,1018,3814
170,4000,8,900,3804
171,4000,8,771,3810
172,4000,8,910,3792
173,4000,8,934,3803
174,4000,8,808,3809
175,4000,8,904,3805
176,4000,8,946,3819
177,4000,8,955,3801
178,4000,8,777,3803
179,4000,8,809,3803
180,4000,8,865,3802
181,4000,8,904,3807
182,4000,8,966,3809
183,4000,8,826,3796
184,4000,8,786,3796
185,4000,8,960,3796
186,4000,8,888,3805
187,4000,8,811,3799
188,4000,8,915,3800
189,4000,8,898,3800
190,4000,8,881,3820
191,4000,8,806,3814
192,4000,8,761,3785
193,4000,8,806,3812
194,4000,8,1052,3799
195,4000,8,835,3825
196,4000,8,885,3818
197,4000,8,907,3796
198,4000,8,875,3799
199,4000,8,709,3807
200,4000,8,901,3802
201,4000,8,983,3822
202,4000,8,869,3791
203,4000,8,875,3803
204,4000,8,837,3814
205,4000,8,864,3800
206,4000,8,868,3792
207,4000,8,910,3815
208,4000,8,860,3799
209,4000,8,830,3821
210,4000,8,994,3806
211,4000,8,784,3798
212,4000,8,970,3827
213,4000,8,806,3812
214,4000,8,811,3814
215,4000,8,915,3808
216,4000,8,990,3805
217,4000,8,842,3790
218,4000,8,864,3808
219,4000,8,881,3799
220,4000,8,1010,3791
221,4000,8,904,3811
222,4000,8,903,3811
223,4000,8,812,3820
224,4000,8,900,3808
225,4000,8,762,3802
226,4000,8,913,3811
227,4000,8,982,3805
228,4000,8,792,3795
229,4000,8,760,3803
230,4000,8,942,3813
231,4000,8,943,3801
232,4000,8,1022,3819
233,4000,8,856,3794
234,4000,8,816,3793
235,4000,8,750,3806
236,4000,8,813,3801
237,4000,8,922,3809
238,4000,8,921,3811
239,4000,8,1015,3808
240,4000,8,881,3810
241,4000,8,876,3807
242,4000,8,818,3802
243,4000,8,900,3808
244,4000,8,985,3798
245,4000,8,976,3815
246,4000,8,870,3804
247,4000,8,824,3800
248,4000,8,851,3804
249,4000,8,867,3800
250,4000,8,948,3819
251,4000,8,1023,3797
252,4000,8,938,3807
253,4000,8,887,3805
254,4000,8,888,3802
255,4000,8,985,3802
256,4000,8,936,3806
257,4000,8,885,3815
258,4000,8,818,3812
259,4000,8,814,3794
260,4000,8,813,3803
261,4000,8,876,3804
262,4000,8,888,3808
263,4000,8,859,3800
264,4000,8,867,3791
265,4000,8,962,3812
266,4000,8,1002,3823
267,4000,8,892,3804
268,4000,8,909,3786
269,4000,8,995,3796
270,4000,8,852,3811
271,4000,8,853,3802
272,4000,8,912,3806
273,4000,8,896,3795
274,4000,8,907,3792
275,4000,8,891,3794
276,4000,8,758,3800
277,4000,8,913,3788
278,4000,8,773,3813
279,4000,8,967,3795
280,4000,8,897,3814
281,4000,8,951,3799
282,4000,8,728,3808
283,4000,8,899,3809
284,4000,8,973,3804
285,4000,8,870,3816
286,4000,8,918,3793
287,4000,8,820,3789
288,4000,8,1026,3811
289,4000,8,890,3811
290,4000,8,722,3814
291,4000,8,869,3802
292,4000,8,817,3803
293,4000,8,856,3801
294,4000,8,775,3805
295,4000,8,984,3813
296,4000,8,840,3801
297,4000,8,798,3818
298,4000,8,889,3812
299,4000,8,976,3815
300,4000,8,905,3793
301,4000,8,930,3828
302,4000,8,876,3813
303,4000,8,980,3790
304,4000,8,799,3814
305,4000,8,902,3781
306,4000,8,794,3806
307,4000,8,900,3812
308,4000,8,907,3812
309,4000,8,939,3798
310,4000,8,771,3819
311,4000,8,919,3809
312,4000,8,1013,3787
313,4000,8,850,3805
314,4000,8,792,3800
315,4000,8,910,3819
316,4000,8,919,3817
317,4000,8,900,3806
318,4000,8,852,3804
319,4000,8,934,3805
320,4000,8,700,3796
321,4000,8,922,3809
322,4000,8,851,3803
323,4000,8,840,3797
324,4000,8,882,3811
325,4000,8,882,3800
326,4000,8,740,3797
327,4000,8,916,3801
328,4000,8,880,3809
329,4000,8,839,3794
330,4000,8,767,3803
331,4000,8,832,3796
332,4000,8,859,3803
333,4000,8,880,3823
334,4000,8,959,3799
335,4000,8,899,3811
336,4000,8,937,3814
337,4000,8,871,3811
338,4000,8,817,3792
339,4000,8,844,3812
340,4000,8,867,3798
341,4000,8,941,3816
342,4000,8,897,3812
343,4000,8,743,3796
344,4000,8,853,3814
345,4000,8,981,3814
346,4000,8,812,3819
347,4000,8,908,3807
348,4000,8,833,3821
349,4000,8,764,3803
350,4000,8,762,3803
351,4000,8,882,3802
352,4000,8,915,3804
353,4000,8,900,3802
354,4000,8,971,3814
355,4000,8,916,3803
356,4000,8,1025,3797
357,4000,8,996,3801
358,4000,8,789,3795
359,4000,8,890,3808
360,4000,8,935,3807
361,4000,8,824,3811
362,4000,8,807,3796
363,4000,8,941,3812
364,4000,8,812,3794
