,n,k,cycle_lengths_eadam,as_percent_of_matches_eadam
8397,1000,5,2,0.002205071664829107
8398,1000,5,15,0.016538037486218304
8399,1000,5,2,0.002205071664829107
8400,1000,5,2,0.002205071664829107
8401,1000,5,7,0.007667031763417305
8402,1000,5,3,0.0032858707557502738
8403,1000,5,7,0.007683863885839737
8404,1000,5,9,0.01
8405,1000,5,3,0.0033333333333333335
8406,1000,5,4,0.004415011037527594
8407,1000,5,5,0.005518763796909493
8408,1000,5,2,0.002207505518763797
8409,1000,5,11,0.012114537444933921
8410,1000,5,2,0.0022026431718061676
8411,1000,5,3,0.003303964757709251
8412,1000,5,2,0.0022026431718061676
8413,1000,5,14,0.015367727771679473
8414,1000,5,7,0.007692307692307693
8415,1000,5,11,0.012087912087912088
8416,1000,5,2,0.002197802197802198
8417,1000,5,7,0.007692307692307693
8418,1000,5,2,0.002197802197802198
8419,1000,5,11,0.012021857923497269
8420,1000,5,17,0.018579234972677595
8421,1000,5,9,0.009836065573770493
8422,1000,5,2,0.002185792349726776
8423,1000,5,3,0.003278688524590164
8424,1000,5,9,0.00995575221238938
8425,1000,5,6,0.00663716814159292
8426,1000,5,23,0.025442477876106196
8427,1000,5,2,0.0022123893805309734
8428,1000,5,3,0.00331858407079646
8429,1000,5,13,0.014332965821389196
8430,1000,5,7,0.007717750826901874
8431,1000,5,7,0.007717750826901874
8432,1000,5,3,0.0033076074972436605
8433,1000,5,5,0.005512679162072767
8434,1000,5,10,0.011025358324145534
8435,1000,5,26,0.02854006586169045
8436,1000,5,11,0.012074643249176729
8437,1000,5,4,0.0043907793633369925
8438,1000,5,8,0.008918617614269788
8439,1000,5,3,0.0033444816053511705
8440,1000,5,5,0.005574136008918618
8441,1000,5,6,0.006688963210702341
8442,1000,5,3,0.0033444816053511705
8443,1000,5,10,0.011013215859030838
8444,1000,5,57,0.06263736263736264
8445,1000,5,12,0.013245033112582781
8446,1000,5,8,0.008830022075055188
8447,1000,5,7,0.00772626931567329
8448,1000,5,11,0.012154696132596685
8449,1000,5,5,0.0055248618784530384
8450,1000,5,7,0.007692307692307693
8451,1000,5,10,0.01098901098901099
8452,1000,5,21,0.023076923076923078
8453,1000,5,8,0.008791208791208791
8454,1000,5,4,0.004395604395604396
8455,1000,5,21,0.023230088495575223
8456,1000,5,7,0.007709251101321586
8457,1000,5,3,0.003303964757709251
8458,1000,5,20,0.0221483942414175
8459,1000,5,34,0.037486218302094816
8460,1000,5,8,0.008820286659316428
8461,1000,5,26,0.02854006586169045
8462,1000,5,2,0.0021953896816684962
8463,1000,5,3,0.003293084522502744
8464,1000,5,5,0.005488474204171241
8465,1000,5,3,0.003293084522502744
8466,1000,5,22,0.023939064200217627
8467,1000,5,2,0.002176278563656148
8468,1000,5,9,0.009846827133479213
8469,1000,5,4,0.00437636761487965
8470,1000,5,14,0.01557285873192436
8471,1000,5,7,0.00778642936596218
8472,1000,5,5,0.0055617352614015575
8473,1000,5,11,0.012235817575083427
8474,1000,5,2,0.002224694104560623
8475,1000,5,17,0.018538713195201745
8476,1000,5,7,0.007700770077007701
8477,1000,5,9,0.009900990099009901
8478,1000,5,12,0.013201320132013201
8479,1000,5,4,0.0044444444444444444
8480,1000,5,2,0.0022222222222222222
8481,1000,5,9,0.01
8482,1000,5,7,0.007608695652173913
8483,1000,5,15,0.016411378555798686
8484,1000,5,13,0.014223194748358862
8485,1000,5,13,0.014223194748358862
8486,1000,5,2,0.002188183807439825
8487,1000,5,3,0.0032822757111597373
8488,1000,5,6,0.006586169045005488
8489,1000,5,17,0.018660812294182216
8490,1000,5,2,0.0021953896816684962
8491,1000,5,2,0.0021953896816684962
8492,1000,5,5,0.0055309734513274336
8493,1000,5,6,0.00663716814159292
8494,1000,5,4,0.004424778761061947
8495,1000,5,4,0.0043907793633369925
8496,1000,5,20,0.021953896816684963
8497,1000,5,3,0.003293084522502744
8498,1000,5,9,0.009814612868047983
8499,1000,5,8,0.008724100327153763
8500,1000,5,6,0.006543075245365322
8501,1000,5,16,0.017582417582417582
8502,1000,5,15,0.016483516483516484
8503,1000,5,2,0.002197802197802198
8504,1000,5,2,0.002197802197802198
8505,1000,5,2,0.002197802197802198
8506,1000,5,43,0.047304730473047306
8507,1000,5,2,0.0022026431718061676
8508,1000,5,2,0.0022026431718061676
8509,1000,5,7,0.007658643326039387
8510,1000,5,21,0.022975929978118162
8511,1000,5,29,0.031556039173014146
8512,1000,5,3,0.003264417845484222
8513,1000,5,4,0.004405286343612335
8514,1000,5,15,0.016538037486218304
8515,1000,5,3,0.0033076074972436605
8516,1000,5,2,0.0022123893805309734
8517,1000,5,20,0.021834061135371178
8518,1000,5,4,0.004366812227074236
8519,1000,5,8,0.0088008800880088
8520,1000,5,5,0.005500550055005501
8521,1000,5,3,0.003289473684210526
8522,1000,5,2,0.0021929824561403508
8523,1000,5,8,0.008849557522123894
8524,1000,5,3,0.00331858407079646
8525,1000,5,15,0.01639344262295082
8526,1000,5,7,0.007751937984496124
8527,1000,5,39,0.04318936877076412
8528,1000,5,2,0.0022148394241417496
8529,1000,5,8,0.008859357696566999
8530,1000,5,17,0.018805309734513276
8531,1000,5,2,0.0022123893805309734
8532,1000,5,2,0.0022123893805309734
8533,1000,5,18,0.01991150442477876
8534,1000,5,5,0.0055309734513274336
8535,1000,5,4,0.004395604395604396
8536,1000,5,18,0.01958650707290533
8537,1000,5,31,0.03373231773667029
8538,1000,5,9,0.009836065573770493
8539,1000,5,3,0.003278688524590164
8540,1000,5,5,0.00546448087431694
8541,1000,5,7,0.0077348066298342545
8542,1000,5,3,0.0033149171270718232
8543,1000,5,2,0.0022099447513812156
8544,1000,5,7,0.0077348066298342545
8545,1000,5,2,0.0022099447513812156
8546,1000,5,5,0.0055248618784530384
8547,1000,5,13,0.014364640883977901
8548,1000,5,4,0.004419889502762431
8549,1000,5,9,0.009836065573770493
8550,1000,5,11,0.012021857923497269
8551,1000,5,4,0.004371584699453552
8552,1000,5,3,0.003278688524590164
8553,1000,5,12,0.013230429988974642
8554,1000,5,2,0.002205071664829107
8555,1000,5,2,0.002205071664829107
8556,1000,5,4,0.004415011037527594
8557,1000,5,9,0.009933774834437087
8558,1000,5,15,0.016556291390728478
8559,1000,5,8,0.008733624454148471
8560,1000,5,3,0.0032751091703056767
8561,1000,5,4,0.004366812227074236
8562,1000,5,10,0.010917030567685589
8563,1000,5,6,0.006586169045005488
8564,1000,5,2,0.0021953896816684962
8565,1000,5,3,0.0032967032967032967
8566,1000,5,6,0.006593406593406593
8567,1000,5,22,0.02412280701754386
8568,1000,5,13,0.01425438596491228
8569,1000,5,5,0.005482456140350877
8570,1000,5,24,0.02643171806167401
8571,1000,5,8,0.00881057268722467
8572,1000,5,13,0.014317180616740088
8573,1000,5,4,0.004405286343612335
8574,1000,5,26,0.028634361233480177
8575,1000,5,2,0.0022026431718061676
8576,1000,5,3,0.003303964757709251
8577,1000,5,8,0.008762322015334063
8578,1000,5,9,0.009857612267250822
8579,1000,5,2,0.002190580503833516
8580,1000,5,3,0.003293084522502744
8581,1000,5,8,0.008781558726673985
