,n,k,n_cycles,n_agents_in_cycles,n_matches,percent_in_cycles
0,200,90,1,137,200,0.685
1,200,90,1,136,200,0.68
2,200,90,1,153,200,0.765
3,200,90,1,163,200,0.815
4,200,90,1,165,200,0.825
5,200,90,1,154,200,0.77
6,200,90,1,137,200,0.685
7,200,90,1,161,200,0.805
8,200,90,1,144,200,0.72
9,200,90,1,140,200,0.7
10,200,90,1,153,200,0.765
11,200,90,1,125,200,0.625
12,200,90,1,97,200,0.485
13,200,90,1,167,200,0.835
14,200,90,1,147,200,0.735
15,200,90,2,120,200,0.6
16,200,90,1,161,200,0.805
17,200,90,1,140,200,0.7
18,200,90,1,162,200,0.81
19,200,90,1,121,200,0.605
20,200,90,1,154,200,0.77
21,200,90,1,147,200,0.735
22,200,90,1,143,200,0.715
23,200,90,1,177,200,0.885
24,200,90,1,151,200,0.755
25,200,90,1,163,200,0.815
26,200,90,1,109,200,0.545
27,200,90,1,160,200,0.8
28,200,90,1,148,200,0.74
29,200,90,1,167,200,0.835
30,200,90,1,128,200,0.64
31,200,90,1,140,200,0.7
32,200,90,1,141,200,0.705
33,200,90,1,147,200,0.735
34,200,90,1,153,200,0.765
35,200,90,1,174,200,0.87
36,200,90,1,165,200,0.825
37,200,90,1,158,200,0.79
38,200,90,1,134,200,0.67
39,200,90,1,137,200,0.685
40,200,90,1,143,200,0.715
41,200,90,1,172,200,0.86
42,200,90,1,116,200,0.58
43,200,90,1,154,200,0.77
44,200,90,1,159,200,0.795
45,200,90,1,160,200,0.8
46,200,90,1,148,200,0.74
47,200,90,1,133,200,0.665
48,200,90,1,132,200,0.66
49,200,90,1,174,200,0.87
50,200,90,1,151,200,0.755
51,200,90,1,156,200,0.78
52,200,90,1,154,200,0.77
53,200,90,1,131,200,0.655
54,200,90,1,154,200,0.77
55,200,90,1,168,200,0.84
56,200,90,1,176,200,0.88
57,200,90,1,146,200,0.73
58,200,90,1,139,200,0.695
59,200,90,1,147,200,0.735
60,200,90,1,127,200,0.635
61,200,90,1,164,200,0.82
62,200,90,1,112,200,0.56
63,200,90,1,151,200,0.755
64,200,90,1,163,200,0.815
65,200,90,1,148,200,0.74
66,200,90,1,160,200,0.8
67,200,90,1,142,200,0.71
68,200,90,2,148,200,0.74
69,200,90,1,153,200,0.765
70,200,90,1,157,200,0.785
71,200,90,1,170,200,0.85
72,200,90,1,162,200,0.81
73,200,90,1,149,200,0.745
74,200,90,1,143,200,0.715
75,200,90,1,151,200,0.755
76,200,90,1,139,200,0.695
77,200,90,1,160,200,0.8
78,200,90,1,144,200,0.72
79,200,90,1,155,200,0.775
80,200,90,1,179,200,0.895
81,200,90,1,162,200,0.81
82,200,90,1,159,200,0.795
83,200,90,1,169,200,0.845
84,200,90,1,161,200,0.805
85,200,90,1,134,200,0.67
86,200,90,1,156,200,0.78
87,200,90,1,150,200,0.75
88,200,90,1,148,200,0.74
89,200,90,1,140,200,0.7
90,200,90,1,152,200,0.76
91,200,90,1,166,200,0.83
92,200,90,2,130,200,0.65
93,200,90,1,153,200,0.765
94,200,90,1,133,200,0.665
95,200,90,1,154,200,0.77
96,200,90,1,137,200,0.685
97,200,90,1,145,200,0.725
98,200,90,1,155,200,0.775
99,200,90,1,166,200,0.83
