,n,k,n_changes,n_matches
0,8000,3,0,6720
1,8000,3,0,6695
2,8000,3,0,6750
3,8000,3,0,6711
4,8000,3,0,6700
5,8000,3,0,6686
6,8000,3,0,6759
7,8000,3,0,6755
8,8000,3,6,6712
9,8000,3,0,6721
10,8000,3,4,6768
11,8000,3,0,6715
12,8000,3,2,6750
13,8000,3,0,6751
14,8000,3,0,6732
15,8000,3,2,6740
16,8000,3,0,6728
17,8000,3,0,6740
18,8000,3,2,6745
19,8000,3,0,6726
20,8000,3,0,6728
21,8000,3,0,6719
22,8000,3,0,6737
23,8000,3,0,6708
24,8000,3,0,6709
25,8000,3,0,6706
26,8000,3,0,6730
27,8000,3,0,6746
28,8000,3,3,6724
29,8000,3,0,6741
30,8000,3,0,6716
31,8000,3,0,6727
32,8000,3,2,6691
33,8000,3,0,6708
34,8000,3,0,6716
35,8000,3,0,6693
36,8000,3,0,6704
37,8000,3,0,6722
38,8000,3,4,6745
39,8000,3,2,6711
40,8000,3,0,6768
41,8000,3,5,6740
42,8000,3,0,6709
43,8000,3,0,6752
44,8000,3,0,6731
45,8000,3,0,6733
46,8000,3,0,6742
47,8000,3,0,6739
48,8000,3,0,6714
49,8000,3,0,6724
50,8000,3,0,6690
51,8000,3,0,6717
52,8000,3,0,6709
53,8000,3,0,6727
54,8000,3,0,6733
55,8000,3,0,6725
56,8000,3,2,6721
57,8000,3,4,6718
58,8000,3,0,6734
59,8000,3,0,6734
60,8000,3,0,6732
61,8000,3,0,6719
62,8000,3,0,6716
63,8000,3,0,6748
64,8000,3,0,6714
65,8000,3,0,6746
66,8000,3,0,6697
67,8000,3,0,6693
68,8000,3,2,6723
69,8000,3,0,6761
70,8000,3,4,6722
71,8000,3,2,6727
72,8000,3,0,6730
73,8000,3,0,6730
74,8000,3,0,6776
75,8000,3,0,6695
76,8000,3,0,6769
77,8000,3,7,6689
78,8000,3,0,6717
79,8000,3,0,6702
80,8000,3,2,6693
81,8000,3,0,6720
82,8000,3,7,6722
83,8000,3,0,6728
84,8000,3,0,6717
85,8000,3,0,6723
86,8000,3,0,6715
87,8000,3,0,6715
88,8000,3,3,6702
89,8000,3,0,6759
90,8000,3,0,6744
91,8000,3,0,6738
92,8000,3,0,6716
93,8000,3,0,6719
94,8000,3,0,6728
95,8000,3,0,6753
96,8000,3,2,6754
97,8000,3,0,6742
98,8000,3,0,6733
99,8000,3,0,6727
