,n,k,n_changes_eadam,n_matches
0,9000,8,2698,8545
1,9000,8,2742,8570
2,9000,8,2400,8536
3,9000,8,2332,8555
4,9000,8,2504,8579
5,9000,8,2470,8559
6,9000,8,2262,8558
7,9000,8,2384,8559
8,9000,8,2528,8561
9,9000,8,2440,8561
10,9000,8,2508,8582
11,9000,8,2506,8566
12,9000,8,2432,8555
13,9000,8,2514,8567
14,9000,8,2590,8562
15,9000,8,2448,8563
16,9000,8,2010,8546
17,9000,8,2314,8556
18,9000,8,2578,8586
19,9000,8,2518,8578
20,9000,8,2158,8546
21,9000,8,2428,8554
22,9000,8,2418,8554
23,9000,8,2230,8558
24,9000,8,2232,8552
25,9000,8,2274,8561
26,9000,8,2360,8551
27,9000,8,2520,8561
28,9000,8,2460,8574
29,9000,8,2534,8557
30,9000,8,2106,8554
31,9000,8,2436,8572
32,9000,8,2754,8541
33,9000,8,2510,8566
34,9000,8,2428,8569
35,9000,8,2164,8579
36,9000,8,2474,8555
37,9000,8,2388,8579
38,9000,8,2436,8548
39,9000,8,2498,8553
40,9000,8,2244,8529
41,9000,8,2020,8556
42,9000,8,2500,8564
43,9000,8,2302,8568
44,9000,8,2610,8558
45,9000,8,2256,8580
46,9000,8,2464,8565
47,9000,8,2166,8582
48,9000,8,2360,8556
49,9000,8,2498,8568
50,9000,8,2430,8562
51,9000,8,2144,8575
52,9000,8,2336,8581
53,9000,8,2318,8576
54,9000,8,2310,8557
55,9000,8,2384,8563
56,9000,8,2436,8545
57,9000,8,2826,8563
58,9000,8,2580,8573
59,9000,8,2494,8570
60,9000,8,2570,8575
61,9000,8,2250,8582
62,9000,8,2240,8567
63,9000,8,2242,8545
64,9000,8,2614,8578
65,9000,8,2210,8549
66,9000,8,2414,8562
67,9000,8,2534,8549
68,9000,8,2616,8554
69,9000,8,2402,8581
70,9000,8,2462,8563
71,9000,8,2554,8549
72,9000,8,2230,8546
73,9000,8,2698,8567
74,9000,8,2638,8556
75,9000,8,2668,8566
76,9000,8,2562,8535
77,9000,8,2780,8562
78,9000,8,2296,8572
79,9000,8,2094,8557
80,9000,8,2502,8530
81,9000,8,2588,8572
82,9000,8,2710,8530
83,9000,8,2788,8562
84,9000,8,2314,8559
85,9000,8,2398,8572
86,9000,8,2232,8549
87,9000,8,2156,8552
88,9000,8,2508,8560
89,9000,8,2590,8547
90,9000,8,2156,8554
91,9000,8,2640,8556
92,9000,8,2262,8551
93,9000,8,2296,8565
94,9000,8,2602,8599
95,9000,8,2486,8547
96,9000,8,2260,8565
97,9000,8,2650,8563
98,9000,8,2478,8579
99,9000,8,2492,8547
