,n,k,cycle_lengths_eadam,as_percent_of_matches_eadam
0,5000,6,44,0.009482758620689655
1,5000,6,23,0.004956896551724138
2,5000,6,12,0.002586206896551724
3,5000,6,23,0.004956896551724138
4,5000,6,32,0.006896551724137931
5,5000,6,63,0.013577586206896551
6,5000,6,89,0.01918103448275862
7,5000,6,3,0.000646551724137931
8,5000,6,67,0.014458351316357358
9,5000,6,76,0.01640051791109193
10,5000,6,6,0.001294777729823047
11,5000,6,34,0.0073370738023306
12,5000,6,13,0.0028053517479499353
13,5000,6,25,0.00539490720759603
14,5000,6,7,0.0015105740181268882
15,5000,6,37,0.007984462667242124
16,5000,6,9,0.0019421665947345706
17,5000,6,239,0.05149752208575738
18,5000,6,12,0.002585649644473174
19,5000,6,17,0.003663003663003663
20,5000,6,13,0.0028011204481792717
21,5000,6,12,0.002585649644473174
22,5000,6,2,0.00043094160741219563
23,5000,6,9,0.0019392372333548805
24,5000,6,5,0.0010773540185304892
25,5000,6,3,0.0006464124111182935
26,5000,6,94,0.020346320346320345
27,5000,6,9,0.001948051948051948
28,5000,6,25,0.005411255411255411
29,5000,6,26,0.005627705627705628
30,5000,6,6,0.0012987012987012987
31,5000,6,18,0.003896103896103896
32,5000,6,33,0.007142857142857143
33,5000,6,4,0.0008658008658008658
34,5000,6,4,0.0008658008658008658
35,5000,6,9,0.001948051948051948
36,5000,6,8,0.0017316017316017316
37,5000,6,8,0.0017316017316017316
38,5000,6,14,0.0030165912518853697
39,5000,6,3,0.0006464124111182935
40,5000,6,5,0.0010773540185304892
41,5000,6,52,0.011204481792717087
42,5000,6,85,0.018315018315018316
43,5000,6,13,0.0028011204481792717
44,5000,6,17,0.003663003663003663
45,5000,6,17,0.003663003663003663
46,5000,6,14,0.0030165912518853697
47,5000,6,10,0.0021547080370609784
48,5000,6,9,0.0019392372333548805
49,5000,6,30,0.006464124111182934
50,5000,6,8,0.0017237664296487825
51,5000,6,5,0.0010773540185304892
52,5000,6,152,0.03282228460375729
53,5000,6,24,0.005182465990066941
54,5000,6,13,0.0028071690779529258
55,5000,6,28,0.006046210321744763
56,5000,6,3,0.0006478082487583676
57,5000,6,7,0.0015115525804361909
58,5000,6,6,0.0012956164975167351
59,5000,6,6,0.0012956164975167351
60,5000,6,16,0.0034549773267112936
61,5000,6,8,0.0017274886633556468
62,5000,6,3,0.0006478082487583676
63,5000,6,11,0.0023706896551724138
64,5000,6,24,0.005172413793103448
65,5000,6,12,0.002586206896551724
66,5000,6,135,0.029094827586206896
67,5000,6,35,0.007543103448275862
68,5000,6,3,0.000646551724137931
69,5000,6,17,0.003663793103448276
70,5000,6,22,0.0047413793103448275
71,5000,6,56,0.012076773776148372
72,5000,6,170,0.03666163467759327
73,5000,6,3,0.0006469700237222342
74,5000,6,58,0.012508087125296528
75,5000,6,7,0.0015095967220185465
76,5000,6,2,0.00043131334914815614
77,5000,6,23,0.00495582848524025
78,5000,6,43,0.009265244559362206
79,5000,6,5,0.0010773540185304892
80,5000,6,70,0.015082956259426848
81,5000,6,28,0.006033182503770739
82,5000,6,35,0.007541478129713424
83,5000,6,9,0.0019392372333548805
84,5000,6,21,0.004524886877828055
85,5000,6,2,0.00043094160741219563
86,5000,6,14,0.0030165912518853697
87,5000,6,4,0.0008618832148243913
88,5000,6,7,0.0015082956259426848
89,5000,6,92,0.019801980198019802
90,5000,6,21,0.004520017219113216
91,5000,6,53,0.011407662505380972
92,5000,6,10,0.002152389151958674
93,5000,6,19,0.004089539388721481
94,5000,6,34,0.007318123116659492
95,5000,6,41,0.008824795523030563
96,5000,6,16,0.0034438226431338786
97,5000,6,31,0.00667240637107189
98,5000,6,46,0.009926629261976695
99,5000,6,9,0.0019421665947345706
100,5000,6,62,0.013379369874838154
101,5000,6,17,0.0036685369011653
102,5000,6,83,0.017911091929218817
103,5000,6,15,0.0032369443245576176
104,5000,6,11,0.002373759171342253
105,5000,6,14,0.003003003003003003
106,5000,6,25,0.005362505362505363
107,5000,6,41,0.008794508794508795
