,n,k,n_changes,n_matches
0,2000,5,36,1810
1,2000,5,46,1806
2,2000,5,42,1821
3,2000,5,82,1819
4,2000,5,44,1810
5,2000,5,15,1811
6,2000,5,34,1812
7,2000,5,34,1833
8,2000,5,51,1805
9,2000,5,15,1825
10,2000,5,9,1822
11,2000,5,27,1795
12,2000,5,73,1826
13,2000,5,23,1829
14,2000,5,37,1829
15,2000,5,15,1816
16,2000,5,69,1816
17,2000,5,49,1805
18,2000,5,40,1817
19,2000,5,17,1817
20,2000,5,41,1815
21,2000,5,51,1806
22,2000,5,25,1817
23,2000,5,73,1824
24,2000,5,22,1793
25,2000,5,95,1811
26,2000,5,75,1815
27,2000,5,33,1834
28,2000,5,51,1813
29,2000,5,41,1815
30,2000,5,24,1819
31,2000,5,44,1830
32,2000,5,41,1824
33,2000,5,0,1821
34,2000,5,48,1806
35,2000,5,50,1816
36,2000,5,5,1809
37,2000,5,68,1834
38,2000,5,113,1817
39,2000,5,51,1830
40,2000,5,41,1821
41,2000,5,20,1824
42,2000,5,53,1815
43,2000,5,33,1813
44,2000,5,50,1808
45,2000,5,116,1823
46,2000,5,59,1807
47,2000,5,21,1821
48,2000,5,22,1813
49,2000,5,66,1832
50,2000,5,58,1817
51,2000,5,29,1809
52,2000,5,53,1804
53,2000,5,26,1828
54,2000,5,8,1819
55,2000,5,30,1805
56,2000,5,66,1821
57,2000,5,69,1819
58,2000,5,76,1819
59,2000,5,84,1814
60,2000,5,95,1820
61,2000,5,127,1818
62,2000,5,50,1829
63,2000,5,34,1826
64,2000,5,21,1820
65,2000,5,64,1838
66,2000,5,90,1831
67,2000,5,114,1824
68,2000,5,147,1822
69,2000,5,23,1806
70,2000,5,48,1810
71,2000,5,42,1825
72,2000,5,48,1812
73,2000,5,32,1809
74,2000,5,38,1801
75,2000,5,22,1810
76,2000,5,10,1824
77,2000,5,20,1820
78,2000,5,2,1813
79,2000,5,27,1813
80,2000,5,7,1820
81,2000,5,58,1820
82,2000,5,54,1823
83,2000,5,7,1820
84,2000,5,47,1810
85,2000,5,85,1820
86,2000,5,104,1817
87,2000,5,28,1812
88,2000,5,33,1813
89,2000,5,48,1811
90,2000,5,45,1813
91,2000,5,43,1817
92,2000,5,27,1816
93,2000,5,11,1813
94,2000,5,38,1816
95,2000,5,58,1826
96,2000,5,51,1824
97,2000,5,65,1818
98,2000,5,60,1824
99,2000,5,34,1819
