,n,k,n_changes_eadam,n_matches
0,10000,5,314,9059
1,10000,5,182,9066
2,10000,5,196,9092
3,10000,5,232,9107
4,10000,5,230,9103
5,10000,5,196,9057
6,10000,5,160,9081
7,10000,5,112,9094
8,10000,5,318,9070
9,10000,5,392,9095
10,10000,5,322,9046
11,10000,5,158,9099
12,10000,5,392,9102
13,10000,5,188,9066
14,10000,5,248,9094
15,10000,5,254,9075
16,10000,5,328,9056
17,10000,5,162,9085
18,10000,5,136,9065
19,10000,5,130,9071
20,10000,5,392,9102
21,10000,5,428,9095
22,10000,5,178,9106
23,10000,5,332,9046
24,10000,5,290,9095
25,10000,5,310,9120
26,10000,5,160,9077
27,10000,5,222,9093
28,10000,5,378,9114
29,10000,5,212,9066
30,10000,5,232,9070
31,10000,5,70,9059
32,10000,5,228,9053
33,10000,5,370,9100
34,10000,5,106,9090
35,10000,5,102,9084
36,10000,5,224,9101
37,10000,5,410,9099
38,10000,5,218,9094
39,10000,5,276,9079
40,10000,5,338,9092
41,10000,5,216,9082
42,10000,5,170,9082
43,10000,5,226,9049
44,10000,5,192,9065
45,10000,5,120,9081
46,10000,5,370,9087
47,10000,5,174,9072
48,10000,5,290,9080
49,10000,5,142,9094
50,10000,5,416,9104
51,10000,5,214,9072
52,10000,5,238,9104
53,10000,5,186,9088
54,10000,5,122,9079
55,10000,5,182,9076
56,10000,5,282,9071
57,10000,5,120,9086
58,10000,5,250,9090
59,10000,5,182,9066
60,10000,5,136,9088
61,10000,5,168,9095
62,10000,5,338,9100
63,10000,5,384,9114
64,10000,5,200,9089
65,10000,5,220,9096
66,10000,5,218,9073
67,10000,5,84,9081
68,10000,5,228,9068
69,10000,5,276,9099
70,10000,5,158,9102
71,10000,5,376,9096
72,10000,5,314,9076
73,10000,5,180,9099
74,10000,5,106,9090
75,10000,5,258,9103
76,10000,5,106,9072
77,10000,5,46,9110
78,10000,5,246,9091
79,10000,5,284,9051
80,10000,5,228,9069
81,10000,5,170,9048
82,10000,5,398,9096
83,10000,5,356,9100
84,10000,5,260,9042
85,10000,5,260,9091
86,10000,5,342,9106
87,10000,5,44,9096
88,10000,5,122,9099
89,10000,5,262,9107
90,10000,5,124,9082
91,10000,5,374,9106
92,10000,5,164,9105
93,10000,5,122,9080
94,10000,5,178,9082
95,10000,5,172,9098
96,10000,5,278,9074
97,10000,5,284,9060
98,10000,5,226,9105
99,10000,5,162,9074
