,n,k,n_changes,n_matches
0,8000,6,727,7428
1,8000,6,567,7407
2,8000,6,592,7415
3,8000,6,594,7405
4,8000,6,633,7400
5,8000,6,663,7400
6,8000,6,606,7431
7,8000,6,735,7450
8,8000,6,557,7429
9,8000,6,622,7441
10,8000,6,398,7424
11,8000,6,552,7411
12,8000,6,735,7415
13,8000,6,837,7399
14,8000,6,520,7426
15,8000,6,568,7415
16,8000,6,694,7459
17,8000,6,697,7414
18,8000,6,552,7421
19,8000,6,698,7419
20,8000,6,573,7413
21,8000,6,614,7397
22,8000,6,484,7418
23,8000,6,683,7406
24,8000,6,865,7422
25,8000,6,742,7417
26,8000,6,575,7413
27,8000,6,697,7403
28,8000,6,611,7412
29,8000,6,818,7390
30,8000,6,561,7425
31,8000,6,715,7423
32,8000,6,636,7401
33,8000,6,545,7417
34,8000,6,743,7406
35,8000,6,688,7401
36,8000,6,592,7430
37,8000,6,667,7408
38,8000,6,746,7418
39,8000,6,746,7404
40,8000,6,598,7421
41,8000,6,692,7406
42,8000,6,664,7423
43,8000,6,854,7399
44,8000,6,735,7406
45,8000,6,820,7420
46,8000,6,799,7421
47,8000,6,453,7423
48,8000,6,591,7421
49,8000,6,688,7425
50,8000,6,547,7427
51,8000,6,551,7414
52,8000,6,714,7407
53,8000,6,805,7409
54,8000,6,658,7418
55,8000,6,644,7422
56,8000,6,634,7407
57,8000,6,674,7422
58,8000,6,792,7404
59,8000,6,683,7414
60,8000,6,800,7406
61,8000,6,526,7397
62,8000,6,623,7407
63,8000,6,709,7427
64,8000,6,696,7400
65,8000,6,716,7413
66,8000,6,698,7430
67,8000,6,639,7433
68,8000,6,769,7409
69,8000,6,538,7436
70,8000,6,810,7413
71,8000,6,752,7413
72,8000,6,891,7416
73,8000,6,798,7454
74,8000,6,619,7411
75,8000,6,521,7432
76,8000,6,707,7410
77,8000,6,604,7399
78,8000,6,518,7453
79,8000,6,594,7465
80,8000,6,666,7400
81,8000,6,663,7425
82,8000,6,785,7421
83,8000,6,832,7418
84,8000,6,764,7411
85,8000,6,760,7434
86,8000,6,702,7424
87,8000,6,653,7429
88,8000,6,761,7427
89,8000,6,740,7390
90,8000,6,599,7392
91,8000,6,699,7411
92,8000,6,530,7408
93,8000,6,642,7412
94,8000,6,601,7363
95,8000,6,574,7417
96,8000,6,497,7439
97,8000,6,850,7430
98,8000,6,651,7409
99,8000,6,597,7420
