,n,k,n_changes_eadam,n_matches
0,3000,5,114,2706
1,3000,5,104,2737
2,3000,5,50,2737
3,3000,5,36,2730
4,3000,5,120,2720
5,3000,5,152,2724
6,3000,5,92,2732
7,3000,5,224,2737
8,3000,5,64,2720
9,3000,5,90,2725
10,3000,5,54,2727
11,3000,5,86,2719
12,3000,5,66,2732
13,3000,5,130,2745
14,3000,5,122,2718
15,3000,5,100,2708
16,3000,5,78,2729
17,3000,5,50,2736
18,3000,5,100,2705
19,3000,5,50,2724
20,3000,5,136,2733
21,3000,5,78,2730
22,3000,5,136,2730
23,3000,5,86,2736
24,3000,5,92,2714
25,3000,5,106,2714
26,3000,5,118,2722
27,3000,5,86,2716
28,3000,5,36,2729
29,3000,5,104,2733
30,3000,5,50,2717
31,3000,5,20,2732
32,3000,5,58,2724
33,3000,5,84,2697
34,3000,5,32,2727
35,3000,5,90,2730
36,3000,5,108,2731
37,3000,5,108,2741
38,3000,5,50,2714
39,3000,5,102,2726
40,3000,5,18,2716
41,3000,5,44,2721
42,3000,5,96,2722
43,3000,5,90,2714
44,3000,5,106,2731
45,3000,5,84,2720
46,3000,5,122,2726
47,3000,5,84,2738
48,3000,5,102,2731
49,3000,5,108,2732
50,3000,5,6,2711
51,3000,5,176,2724
52,3000,5,40,2734
53,3000,5,36,2734
54,3000,5,90,2733
55,3000,5,114,2721
56,3000,5,166,2716
57,3000,5,136,2738
58,3000,5,136,2725
59,3000,5,48,2724
60,3000,5,8,2725
61,3000,5,118,2748
62,3000,5,178,2718
63,3000,5,108,2744
64,3000,5,128,2727
65,3000,5,54,2738
66,3000,5,42,2708
67,3000,5,178,2727
68,3000,5,206,2716
69,3000,5,46,2715
70,3000,5,44,2730
71,3000,5,48,2709
72,3000,5,70,2714
73,3000,5,112,2722
74,3000,5,26,2731
75,3000,5,66,2741
76,3000,5,124,2726
77,3000,5,102,2735
78,3000,5,94,2727
79,3000,5,80,2707
80,3000,5,84,2727
81,3000,5,46,2745
82,3000,5,130,2736
83,3000,5,110,2725
84,3000,5,194,2729
85,3000,5,40,2721
86,3000,5,36,2725
87,3000,5,94,2738
88,3000,5,150,2733
89,3000,5,146,2723
90,3000,5,12,2717
91,3000,5,26,2715
92,3000,5,120,2742
93,3000,5,136,2703
94,3000,5,78,2745
95,3000,5,38,2710
96,3000,5,28,2726
97,3000,5,14,2725
98,3000,5,90,2713
99,3000,5,74,2715
