,n,k,n_changes_eadam,n_matches
0,5000,8,1264,4751
1,5000,8,1432,4758
2,5000,8,1284,4753
3,5000,8,1340,4761
4,5000,8,1398,4757
5,5000,8,1334,4759
6,5000,8,1248,4746
7,5000,8,1552,4767
8,5000,8,1390,4760
9,5000,8,1332,4747
10,5000,8,1316,4750
11,5000,8,1526,4760
12,5000,8,1590,4772
13,5000,8,1244,4736
14,5000,8,1298,4753
15,5000,8,1370,4767
16,5000,8,1402,4756
17,5000,8,1474,4763
18,5000,8,1284,4778
19,5000,8,1412,4773
20,5000,8,1294,4755
21,5000,8,1502,4752
22,5000,8,1344,4755
23,5000,8,1414,4759
24,5000,8,1318,4757
25,5000,8,1346,4751
26,5000,8,1476,4748
27,5000,8,1266,4750
28,5000,8,1450,4760
29,5000,8,1208,4765
30,5000,8,1372,4748
31,5000,8,1306,4762
32,5000,8,1234,4781
33,5000,8,1446,4756
34,5000,8,1078,4747
35,5000,8,1504,4758
36,5000,8,1286,4757
37,5000,8,1272,4751
38,5000,8,1270,4767
39,5000,8,1328,4741
40,5000,8,1232,4758
41,5000,8,1540,4760
42,5000,8,1436,4755
43,5000,8,1284,4762
44,5000,8,1520,4767
45,5000,8,1368,4765
46,5000,8,1302,4755
47,5000,8,1334,4757
48,5000,8,1446,4766
49,5000,8,1370,4763
50,5000,8,1528,4770
51,5000,8,1192,4749
52,5000,8,1474,4768
53,5000,8,1478,4746
54,5000,8,1412,4763
55,5000,8,1154,4754
56,5000,8,1252,4773
57,5000,8,1300,4750
58,5000,8,1448,4762
59,5000,8,1308,4764
60,5000,8,1494,4744
61,5000,8,1358,4762
62,5000,8,1244,4761
63,5000,8,1266,4759
64,5000,8,1374,4756
65,5000,8,1340,4766
66,5000,8,1264,4752
67,5000,8,1480,4743
68,5000,8,1168,4763
69,5000,8,1336,4754
70,5000,8,1192,4741
71,5000,8,1386,4767
72,5000,8,1392,4767
73,5000,8,1440,4757
74,5000,8,1508,4766
75,5000,8,1346,4763
76,5000,8,1148,4753
77,5000,8,1414,4759
78,5000,8,1382,4772
79,5000,8,1488,4754
80,5000,8,1274,4759
81,5000,8,1480,4749
82,5000,8,1358,4756
83,5000,8,1452,4751
84,5000,8,1584,4766
85,5000,8,1258,4753
86,5000,8,1232,4749
87,5000,8,1426,4754
88,5000,8,1406,4760
89,5000,8,1510,4762
90,5000,8,1270,4779
91,5000,8,1350,4749
92,5000,8,1344,4764
93,5000,8,1042,4755
94,5000,8,1366,4760
95,5000,8,1136,4770
96,5000,8,1340,4745
97,5000,8,1110,4759
98,5000,8,1264,4752
99,5000,8,1222,4766
