,n,k,differences,percent_diff,matches
947,10000,3,0,0.0,8396
948,10000,3,0,0.0,8417
949,10000,3,0,0.0,8420
950,10000,3,6,0.0007115749525616698,8432
951,10000,3,0,0.0,8397
952,10000,3,0,0.0,8430
953,10000,3,0,0.0,8395
954,10000,3,0,0.0,8437
955,10000,3,4,0.00047602046888016187,8403
956,10000,3,0,0.0,8361
957,10000,3,0,0.0,8388
958,10000,3,0,0.0,8409
959,10000,3,0,0.0,8400
960,10000,3,0,0.0,8402
961,10000,3,0,0.0,8412
962,10000,3,0,0.0,8424
963,10000,3,0,0.0,8410
964,10000,3,0,0.0,8377
965,10000,3,0,0.0,8398
966,10000,3,0,0.0,8438
967,10000,3,0,0.0,8410
968,10000,3,0,0.0,8396
969,10000,3,0,0.0,8442
970,10000,3,0,0.0,8409
971,10000,3,0,0.0,8394
972,10000,3,0,0.0,8413
973,10000,3,0,0.0,8379
974,10000,3,0,0.0,8406
975,10000,3,0,0.0,8406
976,10000,3,0,0.0,8424
977,10000,3,0,0.0,8423
978,10000,3,0,0.0,8389
979,10000,3,0,0.0,8418
980,10000,3,0,0.0,8420
981,10000,3,0,0.0,8473
982,10000,3,0,0.0,8406
983,10000,3,0,0.0,8397
984,10000,3,0,0.0,8426
985,10000,3,0,0.0,8397
986,10000,3,0,0.0,8401
987,10000,3,0,0.0,8379
988,10000,3,4,0.00047505938242280285,8420
989,10000,3,0,0.0,8365
990,10000,3,4,0.0004748338081671415,8424
991,10000,3,0,0.0,8379
992,10000,3,0,0.0,8413
993,10000,3,0,0.0,8395
994,10000,3,0,0.0,8385
995,10000,3,0,0.0,8389
996,10000,3,0,0.0,8430
997,10000,3,0,0.0,8430
998,10000,3,8,0.0009531752651018706,8393
999,10000,3,6,0.0007171886206072197,8366
